matrix_label,matrix,endpoint_numerator,endpoint_denominator,image_numerator,image_denominator,primitive_automorphy,primitive_absolute,affine_num,affine_den,coboundary_num,coboundary_den,affine_equals_coboundary
T,"[[1,1],[0,1]]",-3,5,2,5,1,1,1,1,1,1,True
T,"[[1,1],[0,1]]",-1,2,1,2,1,1,1,1,1,1,True
T,"[[1,1],[0,1]]",1,3,4,3,1,1,1,1,1,1,True
T,"[[1,1],[0,1]]",2,5,7,5,1,1,1,1,1,1,True
T,"[[1,1],[0,1]]",3,2,5,2,1,1,1,1,1,1,True
T,"[[1,1],[0,1]]",5,3,8,3,1,1,1,1,1,1,True
S,"[[0,-1],[1,0]]",-3,5,5,3,-1,1,3,5,3,5,True
S,"[[0,-1],[1,0]]",-1,2,2,1,-1,1,1,2,1,2,True
S,"[[0,-1],[1,0]]",1,3,-3,1,1,1,1,3,1,3,True
S,"[[0,-1],[1,0]]",2,5,-5,2,1,1,2,5,2,5,True
S,"[[0,-1],[1,0]]",3,2,-2,3,1,1,3,2,3,2,True
S,"[[0,-1],[1,0]]",5,3,-3,5,1,1,5,3,5,3,True
H,"[[2,1],[1,1]]",-3,5,-1,2,1,1,2,5,2,5,True
H,"[[2,1],[1,1]]",-1,2,0,1,1,1,1,2,1,2,True
H,"[[2,1],[1,1]]",1,3,5,4,1,1,4,3,4,3,True
H,"[[2,1],[1,1]]",2,5,9,7,1,1,7,5,7,5,True
H,"[[2,1],[1,1]]",3,2,8,5,1,1,5,2,5,2,True
H,"[[2,1],[1,1]]",5,3,13,8,1,1,8,3,8,3,True
G,"[[1,2],[2,5]]",-3,5,7,19,1,1,19,5,19,5,True
G,"[[1,2],[2,5]]",-1,2,3,8,1,1,4,1,4,1,True
G,"[[1,2],[2,5]]",1,3,7,17,1,1,17,3,17,3,True
G,"[[1,2],[2,5]]",2,5,12,29,1,1,29,5,29,5,True
G,"[[1,2],[2,5]]",3,2,7,16,1,1,8,1,8,1,True
G,"[[1,2],[2,5]]",5,3,11,25,1,1,25,3,25,3,True
R,"[[1,-1],[1,0]]",-3,5,8,3,-1,1,3,5,3,5,True
R,"[[1,-1],[1,0]]",-1,2,3,1,-1,1,1,2,1,2,True
R,"[[1,-1],[1,0]]",1,3,-2,1,1,1,1,3,1,3,True
R,"[[1,-1],[1,0]]",2,5,-3,2,1,1,2,5,2,5,True
R,"[[1,-1],[1,0]]",3,2,1,3,1,1,3,2,3,2,True
R,"[[1,-1],[1,0]]",5,3,2,5,1,1,5,3,5,3,True
