point,s_real,s_imag,cutoff,partial_real,partial_imag,target_real,target_imag,absolute_error,elementary_tail_bound,within_tail_bound
real_5_over_4,1.250000000000000000000000000000000000000000000000000000000000000000000,0.0,100,1.526375532962524717445729135435759723757843066670808168373775564997091,0.0,1.587308808166329639378589546413406577663213472909507584925659025088407,0.0,0.06093327520380492193286041097764685390537040623869941655188346009131619,0.2000000000000000000000000000000000000000000000000000000000000000000000,True
real_5_over_4,1.250000000000000000000000000000000000000000000000000000000000000000000,0.0,500,1.560118501655767596678255382482159194284937865030331534358152395634067,0.0,1.587308808166329639378589546413406577663213472909507584925659025088407,0.0,0.02719030651056204270033416393124738337827560787917605056750662945433954,0.08944271909999158785636694674925104941762473438446102897083588981642084,True
real_5_over_4,1.250000000000000000000000000000000000000000000000000000000000000000000,0.0,1000,1.568083027704651536168769867903496796200179930467385484160464603941515,0.0,1.587308808166329639378589546413406577663213472909507584925659025088407,0.0,0.01922578046167810320981967850990978146303354244212210076519442114689216,0.06324555320336758663997787088865437067439110278650433653715009705585189,True
real_5_over_4,1.250000000000000000000000000000000000000000000000000000000000000000000,0.0,2000,1.573715413860785080875166048738633304581518129673180391084881192314075,0.0,1.587308808166329639378589546413406577663213472909507584925659025088407,0.0,0.01359339430554455850342349767477327308169534323632719384077783277433223,0.04472135954999579392818347337462552470881236719223051448541794490821042,True
complex_3_over_2,1.500000000000000000000000000000000000000000000000000000000000000000000,0.4000000000000000000000000000000000000000000000000000000000000000000000,100,1.123570908090454254205818938053888330087317935393107568407006844672836,-0.1715673140576755228055225918113662460880590951946224835367792272547701,1.122744061062447757886730621861575528159302155141377476214806544393566,-0.1693326725841505511782390580627606213761220388906005599988221373605423,0.002382708232856266474206909663352035972451993449610683449793654413285668,0.01000000000000000000000000000000000000000000000000000000000000000000000,True
complex_3_over_2,1.500000000000000000000000000000000000000000000000000000000000000000000,0.4000000000000000000000000000000000000000000000000000000000000000000000,500,1.122362244596715864717055477314840166894115248485141710867128818847375,-0.1696148012503828354873111783156245572046740571213100746178505031629477,1.122744061062447757886730621861575528159302155141377476214806544393566,-0.1693326725841505511782390580627606213761220388906005599988221373605423,0.0004747424541938519655338858481130349812380271489162383680377990558227866,0.002000000000000000000000000000000000000000000000000000000000000000000000,True
complex_3_over_2,1.500000000000000000000000000000000000000000000000000000000000000000000,0.4000000000000000000000000000000000000000000000000000000000000000000000,1000,1.122507487209739958052345347620454803174452395749347129157147529272151,-0.1693521335414673713692163588991244851476364976939570687657352397813870,1.122744061062447757886730621861575528159302155141377476214806544393566,-0.1693326725841505511782390580627606213761220388906005599988221373605423,0.0002373729484265190407819596707347794182893376002719967142426809825459100,0.001000000000000000000000000000000000000000000000000000000000000000000000,True
complex_3_over_2,1.500000000000000000000000000000000000000000000000000000000000000000000,0.4000000000000000000000000000000000000000000000000000000000000000000000,2000,1.122638391953282136647284181590217924031708156584650894998204202458557,-0.1692786700701573869191581982317138920710353940594987146210014032051005,1.122744061062447757886730621861575528159302155141377476214806544393566,-0.1693326725841505511782390580627606213761220388906005599988221373605423,0.0001186685811385552896535818007595899508488180285739587721892081847849617,0.0005000000000000000000000000000000000000000000000000000000000000000000000,True
real_2,2.000000000000000000000000000000000000000000000000000000000000000000000,0.0,100,1.088303586839932950333277713880142889272871807805908925443066136613134,0.0,1.088318846662723499922569026762052817852069518031402153151458412320131,0.0,0.00001525982279054958929131288190992857919771022549322770839227570699733551,0.00005000000000000000000000000000000000000000000000000000000000000000000000,True
real_2,2.000000000000000000000000000000000000000000000000000000000000000000000,0.0,500,1.088318239104756185689664323182570985137302250357336580725107822171725,0.0,1.088318846662723499922569026762052817852069518031402153151458412320131,0.0,0.0000006075579673142329047035794818327147672676740655724263505901484066306574,0.000002000000000000000000000000000000000000000000000000000000000000000000000,True
real_2,2.000000000000000000000000000000000000000000000000000000000000000000000,0.0,1000,1.088318694714913028298438983484956678494798787884941023576861673196858,0.0,1.088318846662723499922569026762052817852069518031402153151458412320131,0.0,0.0000001519478104716241300432770961393572707301464611295745967391232734047943,0.0000005000000000000000000000000000000000000000000000000000000000000000000000,True
real_2,2.000000000000000000000000000000000000000000000000000000000000000000000,0.0,2000,1.088318808680221468714303605983067541412567304128207779105180039302812,0.0,1.088318846662723499922569026762052817852069518031402153151458412320131,0.0,0.00000003798250203120826542077898527643950221390319437404627837301731949117505,0.0000001250000000000000000000000000000000000000000000000000000000000000000000,True
