n,weights,pure_euler_determinant,diagonal_superdeterminant,ratio_diagonal_to_target,mixed_subset_factor_count,pure_coefficient_x1x2,diagonal_coefficient_x1x2,subset_size_exponents,mismatch,pass
2,1/4;1/9,2/3,24/35,36/35,1,1,2,1:1;2:-1,True,True
3,1/4;1/9;1/25,16/25,1798/2695,4495/4312,4,1,2,1:1;2:-1;3:1,True,True
4,1/4;1/9;1/25;1/49,768/1225,1097397699304/1666826440125,137174712413/130624765920,11,1,2,1:1;2:-1;3:1;4:-1,True,True
5,1/4;1/9;1/25;1/49;1/121,18432/29645,18685292210564236185814903752223520/28529241854867587529702441294881329,2919576907900661904033578711284925/2771604538438814372931119275738176,26,1,2,1:1;2:-1;3:1;4:-1;5:1,True,True
6,1/4;1/9;1/25;1/49;1/121;1/169,442368/715715,351388274623944765233002213618058482617201016166921400383009353333193342836475/538495952076203901307482318371773705126122144061598566196657957145115425201609,2078461644400633286353208093550815924680744010627340083265500324965838622877749625/1968705597752447664575110233169295788340763641522654830837051133771656367070953472,57,1,2,1:1;2:-1;3:1;4:-1;5:1;6:-1,True,True
7,1/4;1/9;1/25;1/49;1/121;1/169;1/289,127401984/206841635,831618305445148139639899355308368926736875118779954070433511667690187663037220060116957647854687193433242032082928764371866937803673856649244508005065317073977049664773182150680541839753940550423077248000/1277175099657353070385387283076240371871637196463934380280483266643190428438733853572191181510160832729283846543817370441485392388027178175732468346994443479239283680626567053754278595959924237574772542793,59305341877749460430772625948218101389475023239576441051965440711654369536858080820695945301172776200299317850242617202686064538830184969139193490185683720251907898909304740804342749109574632954192008125/56099429582592991395577650685038325694038569412010729735217544040834467616514489950724517566976666163521404337879364036664518937001622742369672320654964831253725863863490720196933624736036021302149064192,120,1,2,1:1;2:-1;3:1;4:-1;5:1;6:-1;7:1,True,True
8,1/4;1/9;1/25;1/49;1/121;1/169;1/289;1/361,9172942848/14933966047,265798430903766545608051997249405361210691586325294240683536053909590064123460341770779481304124479413565832534107855926749585703850657672947040212029838713102531617003388852039325113909121424154188426117726433039818397034649160114960160478777415936534184518927228344355573734893604930278787303706452490795206569872162288491148049878657758564216869611835257580887098023099003182519083112633894637866222708673318891788837654162893756316506013249722886801127182207510738381125207537814771536362222764921051582269427920000/408903994283623459954638796178458248657150975772767890814128750550068353763592841499443044043688535077112386907718056003823484137515163565140621439322843009657968590799301527885520448078437152314406208034141252579483648961839692430402377509876276000902071707870366912717329918719042619719969984480422491924043657919716683929754147702430251721666760400246835826336262322526782748648500665766692125298006425676130652599154459373167579178286695144888615421691581748126968786686551001376303331126130727377785349074873234031,730171900837984506436216310970492559492844927194900948524539814849062379570087081507792933435474032395587322500878299649695901315865222528021166088992579549199634235359240901198315460827908085796583192149219205430445727003686346218942346937420017789086637510833174577657063469063095109423049668797318823497613618855771575531065285161149931043229902449571068727497012302755360872581609203494307009354458494374786020309845361552549012138244439504068534199596816874997769686157833254153250655428016445188600560740575878870625/689965831442814784742073699890167394311379133568904461501581082479336188878676559854134598248639834272061229643712985371771342775375618090212815352334522885555154162395570571980910017452875090381510154236415756978058574026514053634019983220428284025303423994661914063998498924922716257852321737169620611217248613604434443877828923626809913262340552313044090034932179368435579774777393296302148997141113184412581937173487958870906785756924330926334724832280463959651993368959782047209787229435235337350245960456021065957376,247,1,2,1:1;2:-1;3:1;4:-1;5:1;6:-1;7:1;8:-1,True,True
