n,alphabet_dimension,rank,trivial_isotypic_dimension,nontrivial_isotypic_dimension,nontrivial_isotypic_eigenvalue,nonzero_eigenvalue,trivial_sector_determinant,nontrivial_sector_determinant,pass
2,3,1,2,1,0,5/9,4/9,1,True
3,7,1,3,4,0,19/27,8/27,1,True
4,15,1,4,11,0,65/81,16/81,1,True
5,31,1,5,26,0,211/243,32/243,1,True
6,63,1,6,57,0,665/729,64/729,1,True
7,127,1,7,120,0,2059/2187,128/2187,1,True
8,255,1,8,247,0,6305/6561,256/6561,1,True
