n,specialization,stabilizer_order,expected_order,fixed_fiber_nontrivial_symmetry,pass
2,distinct_prime_p^-2,1,1,False,True
2,equal_weight_1/3,2,2,True,True
3,distinct_prime_p^-2,1,1,False,True
3,equal_weight_1/3,6,6,True,True
4,distinct_prime_p^-2,1,1,False,True
4,equal_weight_1/3,24,24,True,True
5,distinct_prime_p^-2,1,1,False,True
5,equal_weight_1/3,120,120,True,True
6,distinct_prime_p^-2,1,1,False,True
6,equal_weight_1/3,720,720,True,True
7,distinct_prime_p^-2,1,1,False,True
7,equal_weight_1/3,5040,5040,True,True
8,distinct_prime_p^-2,1,1,False,True
8,equal_weight_1/3,40320,40320,True,True
