c,power,unnormalized_block_trace,channel_normalized_trace,odd_zero,H2_identity
0.25,1,0.0,0.0,True,True
0.25,2,2.5,1.25,False,True
0.25,3,0.0,0.0,True,True
0.25,4,2.5,1.25,False,True
0.25,5,0.0,0.0,True,True
0.25,6,2.5,1.25,False,True
0.25,7,0.0,0.0,True,True
0.25,8,2.5,1.25,False,True
0.25,9,0.0,0.0,True,True
0.25,10,2.5,1.25,False,True
0.25,11,0.0,0.0,True,True
0.25,12,2.5,1.25,False,True
0.25,13,0.0,0.0,True,True
0.25,14,2.5,1.25,False,True
0.25,15,0.0,0.0,True,True
0.25,16,2.5,1.25,False,True
1.0,1,0.0,0.0,True,True
1.0,2,4.0,2.0,False,True
1.0,3,0.0,0.0,True,True
1.0,4,4.0,2.0,False,True
1.0,5,0.0,0.0,True,True
1.0,6,4.0,2.0,False,True
1.0,7,0.0,0.0,True,True
1.0,8,4.0,2.0,False,True
1.0,9,0.0,0.0,True,True
1.0,10,4.0,2.0,False,True
1.0,11,0.0,0.0,True,True
1.0,12,4.0,2.0,False,True
1.0,13,0.0,0.0,True,True
1.0,14,4.0,2.0,False,True
1.0,15,0.0,0.0,True,True
1.0,16,4.0,2.0,False,True
3.0,1,0.0,0.0,True,True
3.0,2,8.0,4.0,False,True
3.0,3,0.0,0.0,True,True
3.0,4,8.0,4.0,False,True
3.0,5,0.0,0.0,True,True
3.0,6,8.0,4.0,False,True
3.0,7,0.0,0.0,True,True
3.0,8,8.0,4.0,False,True
3.0,9,0.0,0.0,True,True
3.0,10,8.0,4.0,False,True
3.0,11,0.0,0.0,True,True
3.0,12,8.0,4.0,False,True
3.0,13,0.0,0.0,True,True
3.0,14,8.0,4.0,False,True
3.0,15,0.0,0.0,True,True
3.0,16,8.0,4.0,False,True
