frequency,epsilon,density_minimum,density_nonnegative,first_leak_repetition,first_leak_equals_frequency,leak_value,determinant_real,determinant_imag,determinant_formula
11,0.25,0.5,True,11,True,1.25,0.38003123443539727,-0.14005467065687632,(1-q)*exp(-c*epsilon*q^k/k)
12,-0.25,0.5,True,12,True,0.75,0.3799752329171558,-0.13997294171523927,(1-q)*exp(-c*epsilon*q^k/k)
12,-0.1,0.8,True,12,True,0.9,0.3799900930625825,-0.13998917630124158,(1-q)*exp(-c*epsilon*q^k/k)
12,0.1,0.8,True,12,True,1.1,0.38000990707645244,-0.14001082421191924,(1-q)*exp(-c*epsilon*q^k/k)
12,0.25,0.5,True,12,True,1.25,0.3800247679518128,-0.14002706149201577,(1-q)*exp(-c*epsilon*q^k/k)
13,-0.25,0.5,True,13,True,0.75,0.3799823287613786,-0.13998771457725467,(1-q)*exp(-c*epsilon*q^k/k)
13,-0.1,0.8,True,13,True,0.9,0.3799929314152103,-0.13999508572669797,(1-q)*exp(-c*epsilon*q^k/k)
13,0.1,0.8,True,13,True,1.1,0.38000706870391326,-0.14000491441224466,(1-q)*exp(-c*epsilon*q^k/k)
13,0.25,0.5,True,13,True,1.25,0.3800176719831433,-0.14001228629113663,(1-q)*exp(-c*epsilon*q^k/k)
14,-0.25,0.5,True,14,True,0.75,0.37998822922184944,-0.1399952242469181,(1-q)*exp(-c*epsilon*q^k/k)
14,-0.1,0.8,True,14,True,0.9,0.37999529164503965,-0.1399980896793629,(1-q)*exp(-c*epsilon*q^k/k)
14,0.1,0.8,True,14,True,1.1,0.380004708413228,-0.14000191034651002,(1-q)*exp(-c*epsilon*q^k/k)
14,0.25,0.5,True,14,True,1.25,0.3800117711423234,-0.14000477591478747,(1-q)*exp(-c*epsilon*q^k/k)
15,-0.25,0.5,True,15,True,0.75,0.37999256456546676,-0.139998774454392,(1-q)*exp(-c*epsilon*q^k/k)
15,-0.1,0.8,True,15,True,0.9,0.37999702580936506,-0.13999950978219897,(1-q)*exp(-c*epsilon*q^k/k)
15,0.1,0.8,True,15,True,1.1,0.38000297421306384,-0.14000049021721145,(1-q)*exp(-c*epsilon*q^k/k)
15,0.25,0.5,True,15,True,1.25,0.3800074355747145,-0.14000122554192304,(1-q)*exp(-c*epsilon*q^k/k)
16,-0.25,0.5,True,16,True,0.75,0.37999551728251,-0.1400002635513831,(1-q)*exp(-c*epsilon*q^k/k)
16,-0.1,0.8,True,16,True,0.9,0.379998206907678,-0.14000010542326163,(1-q)*exp(-c*epsilon*q^k/k)
16,0.1,0.8,True,16,True,1.1,0.3800017930994233,-0.13999989457312714,(1-q)*exp(-c*epsilon*q^k/k)
16,0.25,0.5,True,16,True,1.25,0.3800044827618733,-0.13999973642604685,(1-q)*exp(-c*epsilon*q^k/k)
