step,a
1,1.551941486210356
2,1.5075918301322968
3,1.4707154139706464
4,1.4395212590979156
5,1.4127519134919837
6,1.389498240483229
7,1.3690863595073821
8,1.3510059595528303
9,1.3348633410197444
10,1.3203497749874653
11,1.3072196498527975
12,1.2952750447772439
13,1.2843546264312093
14,1.274325517328648
15,1.2650772465264097
16,1.256517185231325
17,1.248567058160184
18,1.241160245552064
19,1.2342396740056627
20,1.2277561511780148
21,1.2216670388258384
22,1.2159351864314496
23,1.2105280674557926
24,1.2054170745602173
25,1.2005769405844662
26,1.19598525978157
27,1.191622089563285
28,1.187469617340973
29,1.1835118803366342
30,1.1797345287583259
31,1.176124624678921
32,1.1726704704692874
33,1.1693614618209436
34,1.1661879613263986
35,1.1631411893254544
36,1.160213129316182
37,1.157396445702978
38,1.1546844120362052
39,1.1520708482076978
40,1.1495500653187831
41,1.1471168171440458
42,1.144766257283878
43,1.1424939012390853
44,1.140295592757048
45,1.1381674738956917
46,1.1361059583323296
47,1.134107707512197
48,1.1321696092885045
49,1.1302887587539503
50,1.1284624410043744
51,1.1266881156098545
52,1.1249634025980222
53,1.1232860697795712
54,1.1216540212675201
55,1.1200652870603212
56,1.118518013574892
57,1.1170104550294182
58,1.1155409655877242
59,1.1141079921873525
60,1.1127100679824986
61,1.1113458063407915
62,1.1100138953397614
63,1.1087130927148285
64,1.1074422212159063
65,1.1062001643343256
66,1.1049858623658553
67,1.1037983087791772
68,1.1026365468623327
69,1.1014996666224746
70,1.1003868019167236
71,1.0992971277941455
72,1.098229858030823
73,1.0971842428417382
74,1.0961595667547435
75,1.0951551466332878
76,1.0941703298358136
77,1.0932044925008455
78,1.0922570379478054
79,1.0913273951844746
80,1.0904150175128398
81,1.089519381225783
82,1.088639984387735
83,1.0877763456930014
84,1.0869280033960083
85,1.0860945143081955
86,1.0852754528567312
87,1.08447041020061
88,1.0836789934000661
89,1.0829008246355596
90,1.0821355404728894
91,1.0813827911712641
92,1.0806422400314037
93,1.0799135627809773
94,1.0791964469948876
95,1.0784905915480978
96,1.0777957060988728
97,1.0771115106004692
98,1.0764377348394432
99,1.0757741179988904
100,1.0751204082450452
101,1.0744763623357843
102,1.0738417452496822
103,1.0732163298343598
104,1.0725998964729557
105,1.071992232767632
106,1.071393133239098
107,1.070802399041211
108,1.070219837689763
109,1.0696452628046398
110,1.0690784938645785
111,1.0685193559738035
112,1.067967679639875
113,1.0674233005621145
114,1.0668860594300256
115,1.0663558017311559
116,1.0658323775678815
117,1.0653156414826361
118,1.0648054522911248
119,1.0643016729230992
120,1.0638041702702932
121,1.063312815041143
122,1.0628274816219372
123,1.0623480479440657
124,1.0618743953570542
125,1.0614064085070885
126,1.0609439752207521
127,1.0604869863937172
128,1.060035335884138
129,1.0595889204105193
130,1.0591476394538388
131,1.0587113951637124
132,1.0582800922684144
133,1.0578536379885617
134,1.0574319419542888
135,1.0570149161257514
136,1.0566024747167966
137,1.0561945341216592
138,1.0557910128445376
139,1.055391831431919
140,1.0549969124075327
141,1.054606180209802
142,1.0542195611316951
143,1.0538369832628562
144,1.0534583764339234
145,1.0530836721629306
146,1.052712803603709
147,1.0523457054961929
148,1.051982314118556
149,1.0516225672410913
150,1.0512664040817663
151,1.0509137652633795
152,1.0505645927722496
153,1.0502188299183775
154,1.0498764212970142
155,1.0495373127515808
156,1.049201451337882
157,1.0488687852895635
158,1.048539263984758
159,1.0482128379138762
160,1.0478894586484966
161,1.0475690788113048
162,1.047251652047048
163,1.0469371329944615
164,1.0466254772591257
165,1.0463166413872247
166,1.0460105828401645
167,1.0457072599700221
168,1.045406631995792
169,1.0451086589803995
170,1.0448133018084533
171,1.0445205221647074
172,1.044230282513208
