modulus,state_count,s_orbits,r_orbits,relation_rank,relative_betti,cusp_count,cuspidal_betti,cusp_rs_middle_distinct,cusp_rs_returns,adjacency_augmented_rank,adjacency_descends
2,3,2,1,2,1,2,0,1,1,3,0
3,4,2,2,3,1,2,0,1,1,4,0
4,6,3,2,4,2,3,0,1,1,6,0
5,6,4,2,5,1,2,0,1,1,6,0
6,12,6,4,9,3,4,0,1,1,12,0
7,8,4,4,7,1,2,0,1,1,8,0
8,12,6,4,9,3,4,0,1,1,12,0
9,12,6,4,9,3,4,0,1,1,12,0
10,18,10,6,15,3,4,0,1,1,18,0
11,12,6,4,9,3,2,2,1,1,12,0
12,24,12,8,19,5,6,0,1,1,24,0
13,14,8,6,13,1,2,0,1,1,14,0
14,24,12,8,19,5,4,2,1,1,24,0
15,24,12,8,19,5,4,2,1,1,24,0
16,24,12,8,19,5,6,0,1,1,24,0
17,18,10,6,15,3,2,2,1,1,18,0
18,36,18,12,29,7,8,0,1,1,36,0
19,20,10,8,17,3,2,2,1,1,20,0
20,36,18,12,29,7,6,2,1,1,36,0
21,32,16,12,27,5,4,2,1,1,32,0
22,36,18,12,29,7,4,4,1,1,36,0
23,24,12,8,19,5,2,4,1,1,24,0
24,48,24,16,39,9,8,2,1,1,48,0
25,30,16,10,25,5,6,0,1,1,30,0
26,42,22,14,35,7,4,4,1,1,42,0
27,36,18,12,29,7,6,2,1,1,36,0
28,48,24,16,39,9,6,4,1,1,48,0
29,30,16,10,25,5,2,4,1,1,30,0
30,72,36,24,59,13,8,6,1,1,72,0
31,32,16,12,27,5,2,4,1,1,32,0
32,48,24,16,39,9,8,2,1,1,48,0
33,48,24,16,39,9,4,6,1,1,48,0
34,54,28,18,45,9,4,6,1,1,54,0
35,48,24,16,39,9,4,6,1,1,48,0
36,72,36,24,59,13,12,2,1,1,72,0
37,38,20,14,33,5,2,4,1,1,38,0
38,60,30,20,49,11,4,8,1,1,60,0
39,56,28,20,47,9,4,6,1,1,56,0
40,72,36,24,59,13,8,6,1,1,72,0
41,42,22,14,35,7,2,6,1,1,42,0
42,96,48,32,79,17,8,10,1,1,96,0
43,44,22,16,37,7,2,6,1,1,44,0
44,72,36,24,59,13,6,8,1,1,72,0
45,72,36,24,59,13,8,6,1,1,72,0
46,72,36,24,59,13,4,10,1,1,72,0
47,48,24,16,39,9,2,8,1,1,48,0
48,96,48,32,79,17,12,6,1,1,96,0
49,56,28,20,47,9,8,2,1,1,56,0
50,90,46,30,75,15,12,4,1,1,90,0
51,72,36,24,59,13,4,10,1,1,72,0
52,84,42,28,69,15,6,10,1,1,84,0
53,54,28,18,45,9,2,8,1,1,54,0
54,108,54,36,89,19,12,8,1,1,108,0
55,72,36,24,59,13,4,10,1,1,72,0
56,96,48,32,79,17,8,10,1,1,96,0
57,80,40,28,67,13,4,10,1,1,80,0
58,90,46,30,75,15,4,12,1,1,90,0
59,60,30,20,49,11,2,10,1,1,60,0
60,144,72,48,119,25,12,14,1,1,144,0
61,62,32,22,53,9,2,8,1,1,62,0
62,96,48,32,79,17,4,14,1,1,96,0
63,96,48,32,79,17,8,10,1,1,96,0
64,96,48,32,79,17,12,6,1,1,96,0
65,84,44,28,71,13,4,10,1,1,84,0
66,144,72,48,119,25,8,18,1,1,144,0
67,68,34,24,57,11,2,10,1,1,68,0
68,108,54,36,89,19,6,14,1,1,108,0
69,96,48,32,79,17,4,14,1,1,96,0
70,144,72,48,119,25,8,18,1,1,144,0
71,72,36,24,59,13,2,12,1,1,72,0
72,144,72,48,119,25,16,10,1,1,144,0
73,74,38,26,63,11,2,10,1,1,74,0
74,114,58,38,95,19,4,16,1,1,114,0
75,120,60,40,99,21,12,10,1,1,120,0
76,120,60,40,99,21,6,16,1,1,120,0
77,96,48,32,79,17,4,14,1,1,96,0
78,168,84,56,139,29,8,22,1,1,168,0
79,80,40,28,67,13,2,12,1,1,80,0
80,144,72,48,119,25,12,14,1,1,144,0
81,108,54,36,89,19,12,8,1,1,108,0
82,126,64,42,105,21,4,18,1,1,126,0
83,84,42,28,69,15,2,14,1,1,84,0
84,192,96,64,159,33,12,22,1,1,192,0
85,108,56,36,91,17,4,14,1,1,108,0
86,132,66,44,109,23,4,20,1,1,132,0
87,120,60,40,99,21,4,18,1,1,120,0
88,144,72,48,119,25,8,18,1,1,144,0
89,90,46,30,75,15,2,14,1,1,90,0
90,216,108,72,179,37,16,22,1,1,216,0
91,112,56,40,95,17,4,14,1,1,112,0
92,144,72,48,119,25,6,20,1,1,144,0
93,128,64,44,107,21,4,18,1,1,128,0
94,144,72,48,119,25,4,22,1,1,144,0
95,120,60,40,99,21,4,18,1,1,120,0
96,192,96,64,159,33,16,18,1,1,192,0
97,98,50,34,83,15,2,14,1,1,98,0
98,168,84,56,139,29,16,14,1,1,168,0
99,144,72,48,119,25,8,18,1,1,144,0
100,180,90,60,149,31,18,14,1,1,180,0
101,102,52,34,85,17,2,16,1,1,102,0
102,216,108,72,179,37,8,30,1,1,216,0
103,104,52,36,87,17,2,16,1,1,104,0
104,168,84,56,139,29,8,22,1,1,168,0
