left,right,transported_sum,transported_product,baseline_sum_index,baseline_product_index,matches
y_11,y_0,y_11,y_0,11,0,1
y_11,y_1,y_12,y_11,12,11,1
y_11,y_2,y_13,y_22,13,22,1
y_11,y_3,y_14,y_33,14,33,1
y_11,y_4,y_15,y_44,15,44,1
y_11,y_5,y_16,y_55,16,55,1
y_11,y_6,y_17,y_66,17,66,1
y_11,y_7,y_18,y_77,18,77,1
y_11,y_8,y_19,y_88,19,88,1
y_11,y_9,y_20,y_99,20,99,1
y_11,y_10,y_21,y_110,21,110,1
y_11,y_11,y_22,y_121,22,121,1
y_11,y_12,y_23,y_132,23,132,1
y_12,y_0,y_12,y_0,12,0,1
y_12,y_1,y_13,y_12,13,12,1
y_12,y_2,y_14,y_24,14,24,1
y_12,y_3,y_15,y_36,15,36,1
y_12,y_4,y_16,y_48,16,48,1
y_12,y_5,y_17,y_60,17,60,1
y_12,y_6,y_18,y_72,18,72,1
y_12,y_7,y_19,y_84,19,84,1
y_12,y_8,y_20,y_96,20,96,1
y_12,y_9,y_21,y_108,21,108,1
y_12,y_10,y_22,y_120,22,120,1
y_12,y_11,y_23,y_132,23,132,1
y_12,y_12,y_24,y_144,24,144,1
