n,final_residue,accepts,independent_prime_audit,cycle_length_if_accepted,residue_path_sha256
29,28,1,1,28,da81e09008ee399d3d374685834b39963082c6ca1a88e87c40b22378876b00ad
30,0,0,0,0,58d5aa87f066e2b7bcab619ff1385396601be17bd2491a576fa8217851840f3a
31,30,1,1,30,8e334cdc792bb9029f27ea216b134e1ab778aabd6f5271b03ae1a3cede33a001
32,0,0,0,0,7e7e5870d9baee7616c9c2c882c3cabc8db9d84951a70aa1ad1dee1db96b29f7
33,0,0,0,0,57d9aa49a7e1ce3523308eb5f9148bc16a909b1259f1531a392bc53909482d5f
34,0,0,0,0,42f6c13d323440b2b7333bc2da02fbef14a25573a5dc413f71fd1b2294d08429
35,0,0,0,0,65a48ff2dbe729df0bf864db6252efbb91576bcf563958a30b2ea5f264b75081
36,0,0,0,0,d5f8e7c099b6c34b8f1031331c1443edb2ce12178d2ea19035d1f7da5f42eb97
37,36,1,1,36,3fb1aabfed05816ece24ff8da78200305f510415c4528c1497f80cf1f475155e
38,0,0,0,0,0961563ab24ba58061ed778b777df31344f85216fd342d62a2a375ff4fd9d486
39,0,0,0,0,f4594eed364c71901a5c092ac1fa67c940f64d23bf869e8fa84e5864691e8e9b
40,0,0,0,0,50fd2519db2c543589dc996c7c5b69af38748f553b632cc3c4366ea674d00e68
41,40,1,1,40,e0606bc53a5b8223617cff7639091fcbc9e3013edbf16c8172d942b1cb638098
42,0,0,0,0,621b0eca482bdb8bd8fe444430147a5b79516268099563db16562c3d4ffb1f43
43,42,1,1,42,d4cdaf079a9964e203c7c80246c11fbe95c373c9d3ac0b0027085bfd0a75020e
44,0,0,0,0,0ba02bcbbc1cec8ff93af4d10969972c14f270e2d4c5011d054c5f634154a328
45,0,0,0,0,14ded4613ac6e9445b2379e015716dd2a11b45a9506e02fa428e48604a43c809
46,0,0,0,0,4873a56e06ca689bd9dd4b9c3819ee750aa1e9849b2fd8a0eea515e0126b39cb
47,46,1,1,46,d489c853ca5698d43e9c324d00ee7f405bd462d9fdd7f6f14a7e7086df894aed
48,0,0,0,0,d0ddd828a42f3927e630698ec105a1349467eeb7d477bea88b5f0b63c376dde0
49,0,0,0,0,6d6fe898f4f49f053e5071285122927c479e97c6bb6b5e95162c029f4f5d8709
50,0,0,0,0,405f361ea699b441b69c89f6f03afb7286b83104cb662dbca89eb43ef46e92f3
51,0,0,0,0,d188e7fdeb1369215fccc873a05b877efe12c879b80c137563e5cc371825a614
52,0,0,0,0,c47a0e1be9a5aba08448176928bbab5aae0d33ee61d54a9589645687094b2927
53,52,1,1,52,e1cb7dc98c4096f969b044be450354d69f963699a26850bd940959492f499843
54,0,0,0,0,1bb3c2714ae632792d98cff13985ae01c9f2287cfe1df9b3eff08dbabf1ea785
55,0,0,0,0,a58c7635b41f9729b88e58b8ac81d699e942e313cc5a35e1029ea19846aa8cf3
56,0,0,0,0,e2450e924ec5e1e19af0faee54067c4159c2590ff3887033e960731a17ee036a
57,0,0,0,0,b17b7bd72c64a3c02ca581331db90aac22441c4fd403cbfa60fa97f25800c5e0
58,0,0,0,0,a9eb6a25b36d96f35a1f8498abec35074e5b4fffe0dd891ec15af27c9316b388
59,58,1,1,58,5e48f10b05c5042616cbb8f59f42feae0916bce5d91af700612dbca8fcc90bb4
60,0,0,0,0,83cd15e6ff16188deffaac685d6849e18090daae1c8e93bfb3c02be3dd90add8
61,60,1,1,60,dccdcbd7a2c9c65161157c007cbe195ec56a523df777f41040c98d6a26fb4d81
62,0,0,0,0,460b75b8b021b53b635521ab8638968d7d724a8e112e30047c3844283e70013c
63,0,0,0,0,9bc140873d7a51440f9a547d21cf2d004c4f646b36cda837234c3cacc70177ce
64,0,0,0,0,2e03af957ead20558bcec55f9efd3d06d3b5e5f0f71514e2d590f085b0fd338e
65,0,0,0,0,1218b550af3029ff27785554a3a789f37f5d28fdeb38a7d38a3dd3824c1454f0
66,0,0,0,0,0b57a394e679d2c0bbdabc0496b9be6eed5f496e4159bfecaceebb2f1e6346c3
67,66,1,1,66,db49ec3244564b67540bac67252a437bf47dd0af229f3ddba912b0b67e0561fb
68,0,0,0,0,ce7f64dfc58b0ff2287d5b948f8f4e6c2111f3139495c56b905b3c0d46fafdfb
69,0,0,0,0,04d381729a7e032d2572c5bb904adc119ba3c94d80ba6c2a3d5c856748d94a8e
70,0,0,0,0,8e3efd1a6121a661604250fb90d0e8fafbedf30b60984a84455052b26108619e
71,70,1,1,70,52da3dc99319b8f47434d1b48c1b72d6d021e873a7d70efb21e348dd8d6b027a
72,0,0,0,0,82b425817e21e95af26369988844c973ec0a529e7c2590350affd01be436b0a4
73,72,1,1,72,c32fa5d53d7a4f85c4d3f777a1773e121e52cfbceafdf35bdcfe5ab5609dba49
74,0,0,0,0,7f749eb1f14082279c1db7442474fa6952c66fdf4a1bd91b12f58384f9c8359f
75,0,0,0,0,3fb7ea5fdcc94bf904154cbb9d78df082895eec7c655ee02e3bb3db65ec234b3
76,0,0,0,0,b0877ac20c767333d01f34845200e0bb18dcb77c65d262668d9d95b4ff84f0f3
77,0,0,0,0,bfd36666e2250d98b3a9bebf6a68aedc3cb4b245e58adf1e16b3b51d63bd0c4d
