n,final_residue,accepts,independent_prime_audit,cycle_length_if_accepted,residue_path_sha256
886,0,0,0,0,cc093e0e856db05d8ca8238602b5ed97f490ccb05d15d1a4fe18dcb31f46ea68
887,886,1,1,886,06030160211a8f2a484d00bc18ed274f74d12e0283990064c087151e474d6f63
888,0,0,0,0,56ddcd7e23cc56c9aa040cc16139f49dd5c358e4774a3af1ca70323580a70f9c
889,0,0,0,0,38fc61fd8cf2eb2a9f077ba1a3a6edf9495fc97559f7b0a0c67f13fd8237d2ff
890,0,0,0,0,fde4f9a54cceb4f1e4d40ac1afb9087e11804707e254d18911936e6c9a0d5196
891,0,0,0,0,23e11ada827c477950ce4e18f04af9dd24248b335e4fee6740fccdd916ca0563
892,0,0,0,0,140f451b5de73bc5280aed30981551e871b1a0b39a687f1ac6c9bba9865d4bc0
893,0,0,0,0,3f09a3c6c449035d19a1a3472b4fd73f7ed66228fffdc3b3f4b194b6c21e863c
894,0,0,0,0,89c5905d1db2407eaf8160f667fe8f2155ab7fbbb870d136993655bc1f7ee7c5
895,0,0,0,0,40f4b025da3a13186f09ccbf7ff6d9a17ee6e782998da785087b57ca774c0884
896,0,0,0,0,b745342937e3fb4b9dd6498e1839980d6f5c6ae081921069186d20eec611f9ad
897,0,0,0,0,b020640e131d441a704ebfcb299ff76e87bfda6c0b8a44ebc36eafbdfee6157e
898,0,0,0,0,3b6369fa8f7a8b4b2923a4ae625841697c297527091e5c61d8532ec71a4e7954
899,0,0,0,0,360f59a53501e6c0b6af27daf8e878d4257f1f3a2ff0b01125c63d2b8130ddf7
900,0,0,0,0,df19abcd26fee09f061f40a13bcfc4b3a4227e9fc321e631e45a4a42322c5a69
901,0,0,0,0,6e817ef40893c89a21312999bbbb6c0367f4fa6e05c6d131350e918a00c4e6b0
902,0,0,0,0,584af3b974092bf48d8cebdf23fe91953b7d2bd67015502bacff9214ffc018f9
903,0,0,0,0,a099fb6f6fcc2f57c3d50d06e47b18d9268c763da45b4940d7bfe4ca5e22f2da
904,0,0,0,0,40ab10a7b09ede25f0b9b0196f68cd511282a2a29c6307a1885eb7a47c1b45d1
905,0,0,0,0,8b6e0fabc00dd17591c27df354a2374fd0be4167052d5183d634ddeeb7fc9f8e
906,0,0,0,0,dc3e69e6654c549c7913c274787ffdbd0888af821500034695cc7cf2c529af5a
907,906,1,1,906,56c588c80e5da11f03834396bcc54cc2e7b05ee6c12d656c08dbee2f403cdfad
908,0,0,0,0,8fa89880056bcc84f31a915d3832ac94c2f07ceceb11f172076e6ce5c9a7c923
909,0,0,0,0,4cd91aeb429e197b159c77d3584b7b7fd59d7c1402fb37bca7a3117f7df6452b
910,0,0,0,0,a984651e8567802f5d3977bb178170bde01ab16aeb9a8f6d3e1b9927e117913e
911,910,1,1,910,540b1ea23fcd65bed211a322d06ebb9d5bd641e356674f19f0f66abd2fa09024
912,0,0,0,0,8aa520720b20eeb71ea91092e1fb07a71ff73178ce35878fd5f01e9504394dba
913,0,0,0,0,d1ad14643ced72eee738d3fe822f6cc8c4264178dca15d395e15d7abb6bf673c
914,0,0,0,0,58e95c121403557df426b11f3b249fc7d31c7d54f762833352311f4aa2b004a0
915,0,0,0,0,fbff0c72639d6d83ac5a6164e1b050d7667321dc7e00109e6410087959cec945
916,0,0,0,0,cb2c2b7d7b777918eed7fdd3d2104edb743d6625e04056d0ce6b0ff75897ddb8
917,0,0,0,0,80256c45a227b6bbb1923cfbebbb1fc56ac29c12341f1abc90a307eaf60b8b1e
918,0,0,0,0,34f1a1a436a1e04a19a9faae43babb91df4ae976de4de40dc76ad5fccf9d289f
919,918,1,1,918,0ceae31a12a3a053df19b4543798cef2c6d06680b3115d04b04696ead876b2e8
920,0,0,0,0,eb7082f92d1cc0918dd1b5230c9d12e4e4438b92150f10294c6b464a5ba46f54
921,0,0,0,0,c9b96dafbed878c8fc4fbe3e181c907fce371f07b654f3013500894a62db6fff
922,0,0,0,0,6fbd2231d78a0bd18d624ed0092f50cfd598c3e1f0fae5ee4a9987c7790d91d1
923,0,0,0,0,11f9c46b1e10c2ccee59694fbe4cab3b97c57c0ddc888e103a2a4d9c5af6ce0e
924,0,0,0,0,7b411db59c02b1c904b1be31b600c53bd98cbedd36621fcc8242900487fc6e8e
925,0,0,0,0,fe4d0375ee68c870410a66d160f6bcb05b40ffb56d8079f8e3bcd2f7f5c25908
926,0,0,0,0,d9b2ec0ba49ce778cd601a73686b508493bc486017b1aec30284a41708341fcc
927,0,0,0,0,1e41135ddb0c7d6febcc1ff1faff13f6e6f8cf7bf0cc5d289c919084362105da
928,0,0,0,0,844a2dddc743c81e13dbec00bc2fc34b2f27288a5c70eec37583edfffc8ce91c
929,928,1,1,928,1f46cc5ab1b237d8f637de4a034dbb4f4cf714d7ba31d43f3e7d9ebbc0c4696d
930,0,0,0,0,cd941b86bb8461f81b6f6317073abd33b5ab3e63bfaf3bc36e11775abad35cd4
931,0,0,0,0,e2d1e28cb6eaa4dfd7b2437592a237e0c19bcd31bf640df249a3c795361d6088
932,0,0,0,0,eff95cb1fa0d7be8bd71fb08c0966c29b846bd13934f77d0ecfd8391c2603947
933,0,0,0,0,0f373fb63e0ff556ee97993fa53233f8d753adcbfa37058111fe61e8291d86a3
934,0,0,0,0,a95d0dc3acd94f48627a0aee7a7a9e52f25435d9307bf837c1d8f36937fd5910
935,0,0,0,0,1e5ebea31cd2faf9ced011d45cade737b5ad2b8ee83bfd73a7b94a3822e6301e
936,0,0,0,0,e237757b0465aab976e58e74d8dd05192f9667e80f7a8ad0b2b7f832cc99b183
937,936,1,1,936,28ccee9d69840aa740b20b954506954575743ba4f2e276096e95e43bd88af95d
938,0,0,0,0,f60a3b3644412f8df2526c374987d7fa183006811f56d64ac8a7d5fa77de79e9
939,0,0,0,0,43fd4da6076c7aaa7b7451b0ed21100daaf60b2ceee43d83447332805b08aa64
940,0,0,0,0,7a36941698866b021960901a8fe264a4ea7c0565e8ea81abaf6d1fdf824a9a18
941,940,1,1,940,1e7649a8c0c2df078b80b1b81c8d0c23fea01e10af5b99fd14643ebcbb5da564
942,0,0,0,0,244a42064b2cdc121a3316b24bc6dea345966d917ee947242fac633499ece96f
943,0,0,0,0,bf0f1dd678fde0e893a2513f8b243f693bc50a701c4f9badd67a98ace87246a2
944,0,0,0,0,f717fd84f6e81e87a6de885dd773f690b7dde561ba3e0c09e1dba4c18e3a7bfc
945,0,0,0,0,b11869cb0f8140e80861135e674c1442d8f524ff7efaba064042ffad4a621c14
946,0,0,0,0,2261421aa30ed21f77c3fbe270ac8a3da81b3a39fceb5fc26790549810d3942e
947,946,1,1,946,e784a6562c2e365aad9cf97670948ac256550f23c891aea0254bd12b848027ed
948,0,0,0,0,08e6bb1ec952310251e149f60d11cbd0aeb8b7d188d9c5a61b7349e1b3a3db84
949,0,0,0,0,06d003056d4a5abc3be606ccba57783bf422dcd1b18b48ef41fc1921cc7dea94
950,0,0,0,0,00c4b2dced11a79858583552b7dc464713b32ffec1d48fd48dc277e4d5e9ab37
951,0,0,0,0,ed19fe93efe730d14b983da6d7c5879738e190caa5b43725ec99988ab99a41c0
952,0,0,0,0,37826d8d3305da9f7face3f2797e72783946a5c32a4dde5b6f5806c10ac4d581
953,952,1,1,952,fd4eb8341a79771942a1b6b7e8a48806ebd5be723be4cb0f34ce88057b532d6e
954,0,0,0,0,16feb20ef50b5c2086b560bf3bde6bd3b1a428078339e04fa49701615fbfc719
955,0,0,0,0,3255226d2be1daff3c91669f2a0c536d3fab26af2e8eb782e82c32c42e68eab7
956,0,0,0,0,34675bcefb28e79aa5c4f26fd5cce329dfe74e8369c7d75764e0c0f9b6942a0a
957,0,0,0,0,a89909249a8cbfc09d07608ee56cb4fbc6fbdee9e31344e2db8ead7d221a7180
958,0,0,0,0,42e5203b2243e048310c57bff2e1fe5556bd30df7ad87f39411c29e21058690d
959,0,0,0,0,071426c9659744c0bf13f8accbc0af78f1260837c6098e3c1789d088b02f0fb9
960,0,0,0,0,970463d7e94f703c8a521ba6390a28624c92f5d382fb6114cd2b2fb82067ade3
961,0,0,0,0,e29e8b97b60cb06c80fecadc4c2a9363076cd510954fa52d15e3a00ad482a62a
962,0,0,0,0,6000c44462e0d8d847bf20924e1848a402b84602342b822f6c17666cecd46652
963,0,0,0,0,20e0d692ea5729c41cb4c0b0a9177c7bf4f1726f23df6de419d58b3c9c77138d
964,0,0,0,0,4235a1d74f8e82ddf5a5921e72d7852ddc0d2decdbddeb2b81887ed5eda4ca0c
965,0,0,0,0,8067798a3110e61548158a96fa36b94ee9a0d45bd76edf1f5e3a8d68818a218c
966,0,0,0,0,c79962a646a5e41467c119275a8e709fbb1e76dc34724ed01b603869bc1af659
967,966,1,1,966,f21db89cc348a7b62094e4e1b539a038c68c36b55fb68a95d8c65f64d2907fe9
968,0,0,0,0,bc16e4777733cc1f7a562e407155cf080b10d1b3d60e8916dc2de586b50b791b
969,0,0,0,0,8c14fee8b7d675cf1707e9eeb2075f1e6cf91bb1318cd0c472d046d2699651c4
970,0,0,0,0,056ce2041ea0c1fbd2def908126884190d924a416f726ba0648fa127335d0672
971,970,1,1,970,75297e0d08c327ea56e7fa1b14960afcb5f2465448a3fd661c3397160f67f6c4
972,0,0,0,0,9ebe3987752a62319d7ee8e28a0174c399e2851cad906b5520afdb5ff40f8495
973,0,0,0,0,63e604f4d07b2fee1971cdf60e6f8a11a2b5eee346466c37feca8cc08d7cd4a8
974,0,0,0,0,df8182ad7ec33af0c020f6abc11b19ca0c07d34ffbf763280f1cbd8268fce62a
975,0,0,0,0,63115638cf32b9c013283959041032811c381d8e45acffe694ef504a350294db
976,0,0,0,0,918990d0f3124582fd4a637e592a3ca6ff529d0ababd7ffefcf669a807891fa1
977,976,1,1,976,5c343291e749ba51a1bc74b7f3f4366b8ebf667818048f2a674eb34c02f11931
978,0,0,0,0,21357aa487b697bce812f1597dad9aaeb44d22ceae04f0daaeb5f19f053377cb
979,0,0,0,0,d14124f9c8823afe3397b659936cb7babce949227cdb17a397ba6f3af75baaa6
980,0,0,0,0,8f7cb7d23fa2d74a90af6e63035954b01bda06ea6dd75474db8a6b0bee3989ad
981,0,0,0,0,9d2de09e1ce59aff944655e0144af6435878ffef6f52cb8cb0531906064c3ee1
982,0,0,0,0,050992ae70d9b5a0c4e892a5f7b58f604c0ebfcfa12d559e54119fc9dcfeac9b
983,982,1,1,982,d657b7ca5fc4689e77ae9ca4db4ced910abb55ec025c55b27b5ba18f7dc65fd0
984,0,0,0,0,03152121b44924b51d39f35f255d48cc47cd9c16c05d789ecfc90e030f36b9cf
985,0,0,0,0,b6926fb29045d684fa4e496da33dc41e5129784ccd252d5f23c7a4be3d6d15b3
986,0,0,0,0,58bc737a4afd08d6f7a7ac7f3bb479407b3caeab53d4e6297bd24506dd7fefa2
987,0,0,0,0,00f42d9eaf84f6e0dc3a5911b7b7724f20ef59dd6abcba5192b23fbcb5ec62a7
988,0,0,0,0,56ea985b880743b50ae08bd8922d92779762d71de629605d33ac6c0e78f852f1
989,0,0,0,0,29850f3cc8105b78fc117e5272ca2bb2f401d93e8fe7a9ef348e59a6d1d5faff
990,0,0,0,0,091667e8f6d28fa974cc6382d746acdaacd64a20018cecf5dacb74366e36b28f
991,990,1,1,990,a5467f23920f3f9cbe9163a3c30f85be9f8aa2ad709c9500d68357252d6be295
992,0,0,0,0,ebb8de46572882abd3ef32024c9ff091eae7fbd5ffb3b86d61132aaddd8d9797
993,0,0,0,0,3bd91080e9f9d5d620b2ee5e383f7b782307e559b5aa8d4a68bc201887602325
994,0,0,0,0,c146c78cb85a0c2198f92d4a421ef7bd92a46b767514a86f3d7769df6daad1f3
995,0,0,0,0,6b965e12a43ea5f5684e2f65d96935d0cb15501cb07987a841233ef1caf350b5
996,0,0,0,0,bfced86b2c301055f807d5123e26c90e316b73541bba9fd4d65a4effb3aac3cb
997,996,1,1,996,3ec8f2a848398c47fc188bd89a651fb833128e5bae6dd181135820aa9769324c
998,0,0,0,0,8cb22d66075ccdb98960d3d4ae91ab0141e5e67a935920ed0616f3a41b64e28e
999,0,0,0,0,8bdce530a4549ada0c249a9a98d9040326c768837eaa848fe8c67f790b49d576
1000,0,0,0,0,93aab7d4679bc33f68075bb5667a97f1de89d8430a51db98beed49fabef784f1
1001,0,0,0,0,2b6c317ad6c084a0dba29e8071a8e54cd188cf55a79d16f4bd23301279fe1282
1002,0,0,0,0,f8f5016dc58710a4be8a855bbfeb421033afa5e51e844d85e322322551acc22d
1003,0,0,0,0,cc0282a067785b00610e018cd86d584abdb8b3d7386662ff9cded78af2c3e6c9
1004,0,0,0,0,a247134bc718421ab2b30d91980763e5f33516fbddda35f3a795c9ebd94392c5
1005,0,0,0,0,c09c467d867bf080c2fc97bf34a44cba0715223762a8b228b1853d065c976aca
1006,0,0,0,0,c345e11305568d02c126ace898afc3a065558f33a1a7f138b2d10785c000a31c
1007,0,0,0,0,1d2fa121c6d99e5fdb6eb1784bf02c47177fac363b789e23b401eaaeecd8ffdd
1008,0,0,0,0,6d847608e823261680604d93152ebb59ac2249f873178ac92d24a66ff69f3113
1009,1008,1,1,1008,e866d57733f12e5bcdffad00be7edf11fb25a700e9187a0658db60484630c15b
1010,0,0,0,0,e34cce510b42228ab7792e6e17e875227ae3a9a268f50797c01c22813a6f3677
1011,0,0,0,0,536d29bafae7a0f173e7e84c434271d700d34355330215e06c883218e9e131e5
1012,0,0,0,0,ea746d6b997ce753a5df57b36274cf21cc94bb5607df8694ede1f00d4778dc61
1013,1012,1,1,1012,ce016a8bc37727cc967bcf21ead1fada87f65a4d020355a095ee6b9fc5cff1ed
1014,0,0,0,0,ab57755bcf0400ac57f256681358b0a18b0b722367233b150e1ce23d8c943243
1015,0,0,0,0,7da6cddc74265988c85dd1d5f52331f186a81b689af60cebba38b24de4f691c2
1016,0,0,0,0,8f8c8fdf07f6d9039a9389d94cb5920231ec3f46ec32be86f7b1f4f3abbdf5c0
1017,0,0,0,0,bbc7d94f40480e43641218d104d2aded310f576f2943d2f0b9ffeaf0c10ef320
1018,0,0,0,0,ae80092ada346ce771c1eb2c690c194c604fc2559cd56e8d8d1a234c7959c7b2
1019,1018,1,1,1018,455aa0c2fc3dbf802c536d1f704ff63a0ab5b236a6cb53a7b5fb73cd27932abe
1020,0,0,0,0,0bf49d1918f7c7a336cf71f6efc08d7e1b71d7d4ee30208dd546ae5fbe75f4cc
1021,1020,1,1,1020,ddacdfb28b6ee4505e0e56c933848a70afc3b1d3c561055fd57644d3778b2e6a
1022,0,0,0,0,05a176d104ede4a6203bb87fef9a59af1229f16bba5f5cf9a512c2c70074b4b5
1023,0,0,0,0,3eab7c1366cdbdb11808b79809f72e97a9fb39b6ff23c1f1db2c8cec81ede54b
1024,0,0,0,0,3571caa07b2c84ea2785b49b4c749cabbce52556b10fbba488d816cc4f274ccf
1025,0,0,0,0,b7eaf2b9cc5a38681d64ca10fe4f6888279c91f9e928ed1feaf63176a024c839
1026,0,0,0,0,97bec61682f2ad64d81d3e286b8a3a8657026d2c870c58ba43f922fbb0e6515e
1027,0,0,0,0,044c0103c47324c6a698d0bd52fd935d2138acc55a0ff2951fd26f332f25a474
1028,0,0,0,0,c2b7fc28fb068c1c02e8e5fa1830b98141780285db29e1bf9806ac5fc77c43fe
1029,0,0,0,0,8e818bb9b134bfd142aa78afd7dce5ff86dd36b9089e2bb4db73ac0b39f056f2
1030,0,0,0,0,1bfd510979aaa71f8bd949f31b957481290045995896bf6fa1bad142b0dd6f2a
1031,1030,1,1,1030,618ad03e9c37da2f3f72d0d1952fa6004bc50a96e026abfa616b2936cdae869c
1032,0,0,0,0,54fbee6c864630f67253a4c69dcdc65bca5998be6b58fdd611fcd673edd9cca6
1033,1032,1,1,1032,e7ecfa37a884524255ee217c7220937c41a92ebd8149a9bb6147f2ce49b4c297
1034,0,0,0,0,d9c3d99cd6c8f5f89c8305163f8fd906bcf8a37d9dba13b2937158e0bce7456e
1035,0,0,0,0,d906caedb5cdefe5831ad1cede1314f2c92ff32ef74bda4838ef93c7bf7a1e09
1036,0,0,0,0,520a623ba5c9054c96cffdb02f28d190448aa1bed88b1d4f34fe28cad57f9afd
1037,0,0,0,0,550574c5a1f07d62b0b11c144f7f129468a9f356fb2943aad6469919dcf16593
1038,0,0,0,0,1cfb087ed0dbba487809abd8406a384c3306e108d58151ea75af6215abe3d57b
1039,1038,1,1,1038,06c326139081a96bab017e918b2bd1fd9740e6092070dfe2be79746de1c03489
1040,0,0,0,0,f932a3e404487013fe772cd05f9c83e9d5ab0cc52d7da0001bb247c349bbb95b
1041,0,0,0,0,601fd0272c08fd500889ad74b86aa56080c49ec9eec3c1736754f9fe46301b88
1042,0,0,0,0,eccdbe576cbb8bf90d685ba7320ba6e1d60b0ba7dc944e6b30bc7b13fb6a57b1
1043,0,0,0,0,12598be8f4ddf280a5cc5182c149997938247e6d9bb342fd95a976220597ef2d
1044,0,0,0,0,10b22e986c59955c23108ae44cfb95b5fdef39ffc77db470e6aff1990b1fcb86
1045,0,0,0,0,752ec9a3248dae9e9e9cab682105ae04df630c50b0b5e36bfd93a0ca79e6f8ca
1046,0,0,0,0,5221a1e7faa3db09e8e4483fbee57cc757c0fefb196f99a270bea405474b5adb
1047,0,0,0,0,7238655bed3115e6cae1576cec47f5e06940f09c8104e3ca4f7f2bd9f611aac6
1048,0,0,0,0,29cd512ce0f69e049b4589627a3a1bc6bab9fb9423d8049c8368a1ec8204ed58
1049,1048,1,1,1048,ec9c75d87ce02e625b1dc83a0cb90dda6b1dcdaa34fc38910b1631f5d413270d
1050,0,0,0,0,abad915f0fd9d20464ea9cab67a567e94be4563f77f41d4ede49d408838a0f6d
1051,1050,1,1,1050,3c062f9c40860296c697c6ab06d639f1d0d87c8ea933d4a0e7150ac5ba4ee263
1052,0,0,0,0,5f74926a4909e4e84d6fad4a879d5513b55d3db0e8e8c1b73ed502c7eb05544e
1053,0,0,0,0,a5fb01cf342ccf1d28626aaf63871b3a425b28aa49d82ff8f407bc1fabda76a5
1054,0,0,0,0,31d36924e0c618e058be99913cde5602759cb9de964c89a4fb6c8fb76dfef0f8
1055,0,0,0,0,a8ee0124a319cf448254bb06e9e58e1039f333ed40ab8c18625d0b3a8c8c52b9
1056,0,0,0,0,34a218931a9060f425f5a0d571aa99edb09fef61b029634eb5ea13030385d1aa
1057,0,0,0,0,cfeb71198c6725be6d232e272b2f608b82000ae6e6ad310538d900755ddb7745
1058,0,0,0,0,3c1d5b81f614c954f671715cbf9bfe6404bef3308d6896eea7f505132e2c2ae7
1059,0,0,0,0,07576505a8c75b552d1d68b370910e5b6108680a92e7ea838b442da783c9cb3d
1060,0,0,0,0,06b5a3c04d383fbcb804d5710f6714f6add837ed04393f9ad58776ba1389b3b7
1061,1060,1,1,1060,4474ca796e1a4d058182ccbe5c9a9c73e7da6ecc188a485e13f8d8ad1b247b78
1062,0,0,0,0,c0b4b496a8d43e75a48695fa724ef7b00481ac02ad10ee3d1381f56ddfb9cd5f
1063,1062,1,1,1062,4005b9e17866a2c06b7a9e9851bf3a1ce5b5dc6164afae7910e3e19d07c6c2d5
1064,0,0,0,0,b50b3129da4a7563c4cf85e2d5bd1e15d4a9c4c0db135516293a87d7745685bb
1065,0,0,0,0,cc5dc1f3bcc9e8991b619beb5ce850c6a830e97e7b9bc3965f59ea12385edf24
1066,0,0,0,0,387c4419d88a59092b1c9cbc5f7084e280f48c10c7b0f4c55477f340b68d0e3e
1067,0,0,0,0,0e0037054a9c7fcb7306bdff3c725d6f23507143331fb1acc82e847bf441ee84
1068,0,0,0,0,0d9f1b570adf0887c1a542b181946071036d2f66aa5f8e9d52c5122e61fb1f48
1069,1068,1,1,1068,4598c03b81ca5a2d16ebbf71c69e0dad05ac4de0b66ece26edd905269fbdfe11
1070,0,0,0,0,66a0d79256dde41c707fe744874e79949d46d1ac49269bfa559f7a528bf72513
1071,0,0,0,0,9d6f49b93fe8ef555b39cd135eeb09a024f84f875ed6a973972eb646fe06a10c
1072,0,0,0,0,9f9497dfb3245bee8b21f3ab0f7ac931a00c9983bc063d4601d79ebb958a6971
1073,0,0,0,0,af3911e1d466cf3846589393b46ce7c6a17cc0a2009e9d31c4121132b977d9c8
1074,0,0,0,0,74d91d60723a2973775ff5eb06dc3911087af99c623a3036ddc78dcd48de5c1d
1075,0,0,0,0,1168b558fcded2a51694a5373299410a0e7ffcc4981f4d5f3942910b29cb894a
1076,0,0,0,0,c41f034d7bf98579498f25a14e77f1e996aeef61101a068f4a4eeeaefc771471
1077,0,0,0,0,ca8616a30b7a62c30c0c9ee2ac86b17f79a0a5c85ce2fe8d438234089786105f
1078,0,0,0,0,18bee2e3e42426bf33e941ac78adcb34d16d7ea909bcd85e7e70911f649284bd
1079,0,0,0,0,d7070b8ea5ba829c9c9593a7f8e109ba5533d1c12d49f7d029901b05de42c179
1080,0,0,0,0,e64a8d1c3dfbc6719e2fc0e1cab5e16b0349b673c66f701fee08e37ef95c4934
1081,0,0,0,0,29c77244d3727ccd846853bf7db0ee3c266fec231f209519e414a7f9b289ed1d
1082,0,0,0,0,4523fcb95492d9c0823310dbfd3d04b424779882c96485e51ba6be8cab8dd507
1083,0,0,0,0,cf73156081982ec97b97a06c2980f9960b14e72bbf8dcd3a553b91924d2ba3ff
1084,0,0,0,0,92c6c876bd652d9b2a9039a23c42c34c6670fbfe0108cc12dfb8734580b3727b
1085,0,0,0,0,4cc43d577a1a999cfbe2bd772d3b955534716394a93de7f215615d06e9107697
1086,0,0,0,0,e9870de9fab9c24ba5f8acacee6023a9adb11d2dcc600cafff9eb4da5b12828a
1087,1086,1,1,1086,932c979ae17d2b92e673cf97fb3fc2ec01b925924e96afb6f5054092fa0c91b9
1088,0,0,0,0,6c854de5a7b6b6051f5f1afa85652ff98386151685e2ccf92745c9e9c96c7f27
1089,0,0,0,0,d33e96537914d7069e861dce07b84f43cbd5a348ef3e01080d06fbec24f131a3
1090,0,0,0,0,56a1e4c5fe1cef50a405b9572485651cb97ee69bdc5f45dda3a8bbbbe8a053e9
1091,1090,1,1,1090,a1be1bdbfec47fdadf87febe3344603d3e3426184e414694ccccc9765a048228
1092,0,0,0,0,f51b3aed8f5060cd04d2649d2c549faf092964b815a5fa5a240789bb25232b21
1093,1092,1,1,1092,7ff450550564edb12ec0fb551e3b50f94740fcdb7ac3cfcf78624fdd7ec736a2
1094,0,0,0,0,4174abaeae4f1d6e3c7431fa203212d276501622b90f3002e35f512a9693f650
1095,0,0,0,0,36ab9da5233ea3b250293d34e6b986d72094a1ac5346d7ae6b2f4c15b0ea2f18
1096,0,0,0,0,59177a9478802518cad924fb49d3284bca6bc17b22216850786a4a03dc132635
1097,1096,1,1,1096,b2d910cf8c818bd45d2de7cd2056b83f07ea3cf212a008db5e301235f29843e2
1098,0,0,0,0,78533f3e2b7ad2baf4419bf8118bd761a0292c32537e307f65d1554a5fcad5a1
1099,0,0,0,0,eabf6ad8457f711ce56ae697e32dad7a3de7d97c03ee968893eecb90a116290e
1100,0,0,0,0,9fffcd73f4c4e73e2d4dc85d83286b24caa583592d2345a1d2dd335c4c6f0ceb
1101,0,0,0,0,e585bae7c310702f8afcddd9d85d25f3a5c8bbc843ec98a776e91677efad5ce6
1102,0,0,0,0,63b42c2539616fbfc6ebf0a7a215b1c73b45f8528818b66bc63633a6f4d797e9
1103,1102,1,1,1102,7c376dd777e085f929a536de0b38a079530d442506b2f277aa66cfbec0df54fd
1104,0,0,0,0,d8e965406db00769b295f62afbf5cd6a02c19dde396d949cf3465bb312a3cd9a
1105,0,0,0,0,20aa9e7bef3e505b9e6377d0713f059dfc5d4bf623e081b89ef2eb444d60107b
1106,0,0,0,0,2fb6e45c5a991804902799e707e3dd6ceebfc2b108971d13d60fe7b00a78a7f0
1107,0,0,0,0,4cf5e454bb4503a598c191a0c91eb63abfce5779aab12a3fc293e50236031d01
1108,0,0,0,0,f8895fa32f741d8f2c20562ba537040456f4d555c5142b59ccd49b7882c6df04
1109,1108,1,1,1108,340f7c10a633a720dbdb5630b8c328592d22a37046d378e1276aed37213ab282
1110,0,0,0,0,324856b2332cbc3f834323d36c44e5b66e47b5d8db50e34bd2bb22b554274aad
1111,0,0,0,0,b6cf96e21a07d7ce2641839e5f4eeef3bf35f3b92fb8f57b7a417c11e90c5950
1112,0,0,0,0,8a57893c37fcade6d45d3f4e946cd253aed041cdfc09332afbb649ba40918cb7
1113,0,0,0,0,ac8786daa067654585ae4c55f08b006aab484075e621444847a249b45feac2fa
1114,0,0,0,0,b9834ba5b1c660fd050b72af7e11f809e3baa3a4feacf848ad1a42505032b2cc
1115,0,0,0,0,638ef4879d51c2bd6aa27f680d3663d3a869b53090f94a526784eb3ea5969f07
1116,0,0,0,0,084ab2d20948784670ab18aa8843a7dd6838c474daf692293ff29f7e9d2e5594
1117,1116,1,1,1116,00a1efee04c777f9067a18bb4d0b28e945176ca109c58b8a88b050cc569eb9f9
1118,0,0,0,0,6fc05050c9ba5b6c045929d2448d6d4988204529dea348b125ef8395705177e7
1119,0,0,0,0,0a79bf2216287b5a6132369d45e05139e0cad17abb774430a404d92c3fed614c
1120,0,0,0,0,072a75d276f882179f3a75eabd507cc67928b7dd868ca8d28f9b0ce644e9a327
1121,0,0,0,0,1fac9ea8359517d1023fea05f689b9cb272ebb5cbf4f5f767e025bf6548937c2
1122,0,0,0,0,1677baf76b7fa7b187f6f66e5cffd8760e2a8c7d04bcf7800f777c0facce65b6
1123,1122,1,1,1122,b3c1c0e99e3714d6dd55b8492222774bd45209da3836fe6d70166e5dd3730dbb
1124,0,0,0,0,11ca35197feb03bae62af764a3e7d7a8f7b690317073c9342a5d4e986c832e6e
1125,0,0,0,0,4c88cfe4dd6556082aa42aaab177f2b974172d163e8d82fc8c9d682d941d77d7
1126,0,0,0,0,2a756d6d868734b9f6e27418b8ef906fea2a6b3c69576752d613e8781be4f8bf
1127,0,0,0,0,72c595ccd0ccca3972d03483ceb2d5164d5237786dbd21bff0f8cfd8d7d059e9
1128,0,0,0,0,bbfefbe8d497258dd1ed0bee586fa64643aa05d6ef4e83364664d12c73c11c0d
1129,1128,1,1,1128,a866e3aa7662ff6d5b307f45c7aea5675023a23544044d1f86bfc54e16193de0
1130,0,0,0,0,62536c40179a721172d48ecdb259f8273066f20f0fb768a338b42f99cab8b395
1131,0,0,0,0,edc0816f4d7a519e78a8a5fc8e4ff6025a863f7af794d31dfd7c03faf84c4421
1132,0,0,0,0,2eb5a6d456f35d423147d9858f9b97360aa01aef97700ce8230d02bb0d92ff72
1133,0,0,0,0,64905546e382a42a0f198de9c5a115cf78ae19ec6028c852b10b53717168b480
1134,0,0,0,0,e294d7f34b6018c214217e0e011baac8434739541e8aae721e39bed8576cf14b
1135,0,0,0,0,526dd6774819e122df565f45d9a65b69f59479cb18afdb512251d8afbca6144b
1136,0,0,0,0,cc65339710a6406e9d19777cbaa692874a1f3f9496de078aeba17e936362b3a2
1137,0,0,0,0,dd4214c7c087af749ad601eddb15db6b40a81eb170f69725692df5a5cd0d3117
1138,0,0,0,0,336762c0599f74881b9e605a748e9876ac2729cfb0e7feff922ec310d3cc2457
1139,0,0,0,0,9cfb66068a5e127ed281e9b4694fe25b0eaf7488625d93c3787fb5379087780c
1140,0,0,0,0,164772ad39b157ca477d2bc8f4d0c3357af0fcc62e2e7a5c64630e58c53083b8
1141,0,0,0,0,40c7888dcc55e0fc51164dfd961d0e98d29eaad15e6dd3b46aa3392bcee600fd
1142,0,0,0,0,f8753c72845f9551beede715936fc87d6c82e69245ca90e968399f3b1bf56d6e
1143,0,0,0,0,9d44d2fcdfa1fad042cf76fcb481356f87e7e98c98d4cbb2a4e70f1bffcae996
