n,fermat_base2_residue,wilson_final_residue,wilson_accepts
341,1,0,0
561,1,0,0
645,1,0,0
1105,1,0,0
1387,1,0,0
1729,1,0,0
1905,1,0,0
2047,1,0,0
2465,1,0,0
2701,1,0,0
2821,1,0,0
3277,1,0,0
4033,1,0,0
