family,vertex_count,mask,first,second,root,root_exponent,root_weight,inward,outward
shared_state,2,7,0>0,0>1;1>0,0>0;0>1;1>0,1,2/5,,
shared_state,2,14,0>1;1>0,1>1,0>1;1>1;1>0,1,1/2,,
shared_state,2,15,0>0,0>1;1>0,0>0;0>1;1>0,1,2/5,,
mutual_connector,2,15,0>0,1>1,0>0;0>1;1>1;1>0,1,1/3,1>0,0>1
shared_state,2,15,0>1;1>0,1>1,0>1;1>1;1>0,1,1/2,,
shared_state,3,11,0>0,0>1;1>0,0>0;0>1;1>0,1,5/12,,
shared_state,3,15,0>0,0>1;1>0,0>0;0>1;1>0,1,5/12,,
shared_state,3,26,0>1;1>0,1>1,0>1;1>1;1>0,1,15/28,,
shared_state,3,27,0>0,0>1;1>0,0>0;0>1;1>0,1,5/12,,
mutual_connector,3,27,0>0,1>1,0>0;0>1;1>1;1>0,1,5/14,1>0,0>1
shared_state,3,27,0>1;1>0,1>1,0>1;1>1;1>0,1,15/28,,
shared_state,3,30,0>1;1>0,1>1,0>1;1>1;1>0,1,15/28,,
shared_state,3,31,0>0,0>1;1>0,0>0;0>1;1>0,1,5/12,,
mutual_connector,3,31,0>0,1>1,0>0;0>1;1>1;1>0,1,5/14,1>0,0>1
shared_state,3,31,0>1;1>0,1>1,0>1;1>1;1>0,1,15/28,,
shared_state,3,43,0>0,0>1;1>0,0>0;0>1;1>0,1,5/12,,
shared_state,3,47,0>0,0>1;1>0,0>0;0>1;1>0,1,5/12,,
shared_state,3,58,0>1;1>0,1>1,0>1;1>1;1>0,1,15/28,,
shared_state,3,59,0>0,0>1;1>0,0>0;0>1;1>0,1,5/12,,
mutual_connector,3,59,0>0,1>1,0>0;0>1;1>1;1>0,1,5/14,1>0,0>1
shared_state,3,59,0>1;1>0,1>1,0>1;1>1;1>0,1,15/28,,
shared_state,3,62,0>1;1>0,1>1,0>1;1>1;1>0,1,15/28,,
shared_state,3,63,0>0,0>1;1>0,0>0;0>1;1>0,1,5/12,,
mutual_connector,3,63,0>0,1>1,0>0;0>1;1>1;1>0,1,5/14,1>0,0>1
shared_state,3,63,0>1;1>0,1>1,0>1;1>1;1>0,1,15/28,,
shared_state,3,69,0>0,0>2;2>0,0>0;0>2;2>0,1,64/135,,
shared_state,3,71,0>0,0>2;2>0,0>0;0>2;2>0,1,64/135,,
shared_state,3,75,0>0,0>1;1>0,0>0;0>1;1>0,1,5/12,,
shared_state,3,77,0>0,0>2;2>0,0>0;0>2;2>0,1,64/135,,
shared_state,3,78,0>1;1>0,0>2;2>0,0>1;1>0;0>2;2>0,1,4/9,,
shared_state,3,79,0>0,0>1;1>0,0>0;0>1;1>0,1,5/12,,
shared_state,3,79,0>0,0>2;2>0,0>0;0>2;2>0,1,64/135,,
