vertex_count,mask,first,second,strict_external_witness_exists,minimal_repair
4,1395,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1402,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1403,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1490,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1491,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1498,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1499,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1510,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1511,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1518,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1519,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1522,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1523,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1530,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1531,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1558,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1559,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1566,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1567,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1590,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1591,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1598,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1599,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1621,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1629,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1653,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1661,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1686,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1687,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1694,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1695,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1718,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1719,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1726,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1727,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1749,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1757,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1781,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1789,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1844,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1845,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1852,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1853,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1859,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1867,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1891,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1899,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1972,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1973,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1980,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1981,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1987,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,1995,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2019,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2027,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2406,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2407,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2414,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2415,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2534,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2535,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,2542,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
