fixture,size,derived_atoms,selected_atoms,zeta_mobius_inverse,all_q_pair_relations,interpretation
standard_divisibility_N30,30,"2,3,5,7,11,13,17,19,23,29","2,3,5",True,True,INTEGER_SOURCE_BASELINE
mutated_divisibility_N12,12,"2,3,5,6,7,11","2,3,5,6",True,True,PROVES_TOO_MUCH
composite_only_divisibility_subposet,7,"4,6,9","4,6,9",True,True,PROVES_TOO_MUCH
seeded_random_locally_finite_DAG,10,"10,14,21","10,14,21",True,True,PROVES_TOO_MUCH
