power,deleted_by_det3,odd_block_trace_zero,visible_in_log_det3,first_visible,coefficient,exact
1,True,True,False,False,0,True
2,True,False,False,False,0,True
3,False,True,False,False,0,True
4,False,False,True,True,-z^4*Tr(B^4)/4,True
5,False,True,False,False,0,True
6,False,False,True,False,-z^6*Tr(B^6)/6,True
7,False,True,False,False,0,True
8,False,False,True,False,-z^8*Tr(B^8)/8,True
