fixture,selected_atoms,laurent_expression,terms,direct_equals_gram,phase_dependent,phase_flip_changes,scope
standard_divisibility_N30,"2,3,5",41*sqrt(10)*x0/(2025000*x2) + 313*sqrt(6)*x0/(1215000*x1) + 17*sqrt(15)*x1/(6075000*x2) + 5691873077258005117062299/2470231272093960375000000 + 17*sqrt(15)*x2/(6075000*x1) + 313*sqrt(6)*x1/(1215000*x0) + 41*sqrt(10)*x2/(2025000*x0),7,True,True,True,FINITE_CUTOFF_DIAGNOSTIC_ONLY
mutated_divisibility_N12,"2,3,5,6",sqrt(10)*x0/(50000*x2) + sqrt(2)*x1/(62208*x3) + 5110871429/1968300000 + sqrt(2)*x3/(62208*x1) + sqrt(10)*x2/(50000*x0),5,True,True,True,FINITE_CUTOFF_DIAGNOSTIC_ONLY
composite_only_divisibility_subposet,"4,6,9",sqrt(6)*x0/(124416*x1) + sqrt(6)*x1/(944784*x2) + 16675255/15116544 + sqrt(6)*x2/(944784*x1) + sqrt(6)*x1/(124416*x0),5,True,True,True,FINITE_CUTOFF_DIAGNOSTIC_ONLY
seeded_random_locally_finite_DAG,"10,14,21",sqrt(35)*x0/(13671875*x1) + 14065855955625398629/29466820622039062500 + sqrt(35)*x1/(13671875*x0),3,True,True,True,FINITE_CUTOFF_DIAGNOSTIC_ONLY
