fixture,selected_atoms,characteristic,expected_characteristic,characteristic_exact,phase_free,det3_factor,det3_phase_free,interpretation
standard_divisibility_N30,"2,3,5",-(z**2 - 5)*(z**2 - 3)*(z**2 - 2)/30,-(z**2 - 5)*(z**2 - 3)*(z**2 - 2)/30,True,True,(1 - z**2/2)*(1 - z**2/3)*(1 - z**2/5)*exp(31*z**2/30),True,ORTHOGONAL_ATOM_BLOCK_COLLAPSE
mutated_divisibility_N12,"2,3,5,6",(z**2 - 6)*(z**2 - 5)*(z**2 - 3)*(z**2 - 2)/180,(z**2 - 6)*(z**2 - 5)*(z**2 - 3)*(z**2 - 2)/180,True,True,(1 - z**2/2)*(1 - z**2/3)*(1 - z**2/5)*(1 - z**2/6)*exp(6*z**2/5),True,ORTHOGONAL_ATOM_BLOCK_COLLAPSE
composite_only_divisibility_subposet,"4,6,9",-(z - 3)*(z - 2)*(z + 2)*(z + 3)*(z**2 - 6)/216,-(z - 3)*(z - 2)*(z + 2)*(z + 3)*(z**2 - 6)/216,True,True,(1 - z**2/4)*(1 - z**2/6)*(1 - z**2/9)*exp(19*z**2/36),True,ORTHOGONAL_ATOM_BLOCK_COLLAPSE
seeded_random_locally_finite_DAG,"10,14,21",-(z**2 - 21)*(z**2 - 14)*(z**2 - 10)/2940,-(z**2 - 21)*(z**2 - 14)*(z**2 - 10)/2940,True,True,(1 - z**2/10)*(1 - z**2/14)*(1 - z**2/21)*exp(23*z**2/105),True,ORTHOGONAL_ATOM_BLOCK_COLLAPSE
