fixture,scope,selected_count,K_structure,K_positive_definite,required_q_selfadjoint,all_q_selfadjoint,dormant_coupling_present,Zt_H_Z_equals_K,active_coordinate_collapse
standard_divisibility_N30,full_family,30,positive_diagonal,True,True,True,False,True,True
standard_divisibility_N30,active_atoms_only,3,atom_diagonal_plus_dormant_positive_block,True,True,False,True,True,True
mutated_divisibility_N12,full_family,12,positive_diagonal,True,True,True,False,True,True
mutated_divisibility_N12,active_atoms_only,4,atom_diagonal_plus_dormant_positive_block,True,True,False,True,True,True
composite_only_divisibility_subposet,full_family,7,positive_diagonal,True,True,True,False,True,True
composite_only_divisibility_subposet,active_atoms_only,3,atom_diagonal_plus_dormant_positive_block,True,True,False,True,True,True
seeded_random_locally_finite_DAG,full_family,10,positive_diagonal,True,True,True,False,True,True
seeded_random_locally_finite_DAG,active_atoms_only,3,atom_diagonal_plus_dormant_positive_block,True,True,False,True,True,True
