q,T_s_condition,reflected_condition,common_lower,common_upper,common_strip_nonempty,critical_line_included,minimal_integer_order,exact
1,1*Re(s)>1,1*(1-Re(s))>1,1,0,False,False,False,True
2,2*Re(s)>1,2*(1-Re(s))>1,1/2,1/2,False,False,False,True
3,3*Re(s)>1,3*(1-Re(s))>1,1/3,2/3,True,True,True,True
4,4*Re(s)>1,4*(1-Re(s))>1,1/4,3/4,True,True,False,True
5,5*Re(s)>1,5*(1-Re(s))>1,1/5,4/5,True,True,False,True
6,6*Re(s)>1,6*(1-Re(s))>1,1/6,5/6,True,True,False,True
7,7*Re(s)>1,7*(1-Re(s))>1,1/7,6/7,True,True,False,True
8,8*Re(s)>1,8*(1-Re(s))>1,1/8,7/8,True,True,False,True
