fixture,source_atoms,native_offdiagonal_gram,native_B2_phase,native_B4_phase,positive_metric_active_collapse,orthogonalized_phase,arithmetic_selectivity_observed,interpretation
standard_divisibility_N30,"2,3,5,7,11,13,17,19,23,29",True,True,True,True,False,False,INTEGER_SOURCE_BASELINE
mutated_divisibility_N12,"2,3,5,6,7,11",True,True,True,True,False,False,PROVES_TOO_MUCH
composite_only_divisibility_subposet,"4,6,9",True,True,True,True,False,False,PROVES_TOO_MUCH
seeded_random_locally_finite_DAG,"10,14,21",True,True,True,True,False,False,PROVES_TOO_MUCH
