fixture,kind,left_label,right_label,frequency,coefficient,positive,unique_by_factorization,phase_dependent,phase_flip_changes,expression_sha256,interpretation
standard_divisibility_N30,finite_native_control,2,3,fixture_full_expression,see_expression_sha256,True,not_applicable_control,True,True,7f0ca52da0228ba534700c2c239e9da2c137210b139f4dd9409198703a645249,INTEGER_SOURCE_BASELINE
mutated_divisibility_N12,finite_native_control,2,3,fixture_full_expression,see_expression_sha256,True,not_applicable_control,True,True,b1238d09b32a40c99ab9f9040d9ada1a0c0d651032ffb75cab36d744197c7b73,PROVES_TOO_MUCH
composite_only_divisibility_subposet,finite_native_control,4,6,fixture_full_expression,see_expression_sha256,True,not_applicable_control,True,True,60a189331d5128950104b9c430a2ee7f24e4e0783d8e0b1b3225a561870c8bd8,PROVES_TOO_MUCH
seeded_random_locally_finite_DAG,finite_native_control,10,14,fixture_full_expression,see_expression_sha256,True,not_applicable_control,True,True,df8e5be7e5f72d81646038a68fdbca893175ce4d053d4542624e4f1e9845a007,PROVES_TOO_MUCH
infinite_prime_divisibility,unique_positive_frequency,2,3,2*log(3/2),3675/(971618*pi**8),True,True,True,not_applicable_infinite_theorem,e484f6ad906349875911764c3d5663acf7f150c609ca96ff6eb885bc70b52ff5,EXACT_SURVIVING_DET3_GERM_FREQUENCY
infinite_prime_divisibility,unique_positive_frequency,2,5,2*log(5/2),2205/(56626082*pi**8),True,True,True,not_applicable_infinite_theorem,bb8dba02938d47891bfef8236674fecf7b28159ac1371aaa730840550045ab82,EXACT_SURVIVING_DET3_GERM_FREQUENCY
infinite_prime_divisibility,unique_positive_frequency,3,5,2*log(5/3),735/(658743556*pi**8),True,True,True,not_applicable_infinite_theorem,0ad101a0e66f37f99523036692c2a8d4977163b549b151f35f80c69f865bc5ff,EXACT_SURVIVING_DET3_GERM_FREQUENCY
