point,s_real,s_imag,cutoff,partial_real,partial_imag,target_real,target_imag,absolute_error,absolute_tail_bound,within_tail_bound
real_5_over_4,1.250000000000000000000000000000000000000000000000000000000000000000000,0.0,100,1.825824626924937248416855771760966090362642695516309184268788026086718,0.0,1.947372466316956700069743419640406371427138522261588085798522111063817,0.0,0.1215478393920194516528876478794402810644958267452789015297340849770992,0.2000000000000000000000000000000000000000000000000000000000000000000000,True
real_5_over_4,1.250000000000000000000000000000000000000000000000000000000000000000000,0.0,1000,1.908930994538567066133493580740086677562215578338737140134717719921362,0.0,1.947372466316956700069743419640406371427138522261588085798522111063817,0.0,0.03844147177838963393624983890031969386492294392285094566380439114245540,0.06324555320336758663997787088865437067439110278650433653715009705585189,True
real_5_over_4,1.250000000000000000000000000000000000000000000000000000000000000000000,0.0,10000,1.935214037402474417570952447904662207267822565812203263160701160496088,0.0,1.947372466316956700069743419640406371427138522261588085798522111063817,0.0,0.01215842891448228249879097173574416415931595644938482263782095056772845,0.02000000000000000000000000000000000000000000000000000000000000000000000,True
real_5_over_4,1.250000000000000000000000000000000000000000000000000000000000000000000,0.0,50000,1.941935028534687185478851189038805405660723235515282419597885871887835,0.0,1.947372466316956700069743419640406371427138522261588085798522111063817,0.0,0.005437437782269514590892230601600965766415286746305666200636239175982124,0.008944271909999158785636694674925104941762473438446102897083588981642084,True
complex_3_over_2,1.500000000000000000000000000000000000000000000000000000000000000000000,0.4000000000000000000000000000000000000000000000000000000000000000000000,100,1.138100056517589061932422434757390338255275531738580732453320095608303,-0.2587308962650296944330190994332316060433144259284039704096028515655096,1.136459739512901921788878737027436316713355779497326615341294680137607,-0.2542793122525845212781747355097542775862934562188545135397422851075299,0.004744179601967368486357978515466715361900289388226297956073870344828153,0.01000000000000000000000000000000000000000000000000000000000000000000000,True
complex_3_over_2,1.500000000000000000000000000000000000000000000000000000000000000000000,0.4000000000000000000000000000000000000000000000000000000000000000000000,1000,1.135986798459364660276166687806591508163667278170641541933406135095347,-0.2543181519511503599825136139443575682013943113169508596376307495348042,1.136459739512901921788878737027436316713355779497326615341294680137607,-0.2542793122525845212781747355097542775862934562188545135397422851075299,0.0004745332046396964975109490000488145563620558945458745224267594683455646,0.001000000000000000000000000000000000000000000000000000000000000000000000,True
complex_3_over_2,1.500000000000000000000000000000000000000000000000000000000000000000000,0.4000000000000000000000000000000000000000000000000000000000000000000000,10000,1.136468660238447744099189082538335804705979166376816895249438190776146,-0.2542326877410247612358602377960218033642829886228374803956227801890925,1.136459739512901921788878737027436316713355779497326615341294680137607,-0.2542793122525845212781747355097542775862934562188545135397422851075299,0.00004747024776057193247357315288556134332720567826353000731346450835153258,0.0001000000000000000000000000000000000000000000000000000000000000000000000,True
complex_3_over_2,1.500000000000000000000000000000000000000000000000000000000000000000000,0.4000000000000000000000000000000000000000000000000000000000000000000000,50000,1.136469191544823580938201071018441354907708140210714555173809890436839,-0.2542784191681323235565426446494843316149358017758152636709453617058892,1.136459739512901921788878737027436316713355779497326615341294680137607,-0.2542793122525845212781747355097542775862934562188545135397422851075299,0.000009494130149035289880992653738894509170889256662792442602919028722417652,0.00002000000000000000000000000000000000000000000000000000000000000000000000,True
real_2,2.000000000000000000000000000000000000000000000000000000000000000000000,0.0,100,1.110596174984322167358953829166959373635070309597551520041178363172481,0.0,1.110626535326148117175468778614150535535919143867317552015220393657449,0.0,0.00003036034182594981651494944719116190084883426976603197404203048496738906,0.00005000000000000000000000000000000000000000000000000000000000000000000000,True
real_2,2.000000000000000000000000000000000000000000000000000000000000000000000,0.0,1000,1.110626231590714647403348525634490389649082573947823113704355769520485,0.0,1.110626535326148117175468778614150535535919143867317552015220393657449,0.0,0.0000003037354334697721202529796601458868365699194944383108646241369637010856,0.0000005000000000000000000000000000000000000000000000000000000000000000000000,True
real_2,2.000000000000000000000000000000000000000000000000000000000000000000000,0.0,10000,1.110626532286625672496754524710429857696882912558187173728065736329625,0.0,1.110626535326148117175468778614150535535919143867317552015220393657449,0.0,0.000000003039522444678714253903720677839036231309130378287154657327823052125535,0.000000005000000000000000000000000000000000000000000000000000000000000000000000,True
real_2,2.000000000000000000000000000000000000000000000000000000000000000000000,0.0,50000,1.110626535204565158052370595091790854516030960338202916729206403998285,0.0,1.110626535326148117175468778614150535535919143867317552015220393657449,0.0,0.0000000001215829591230981835223596810198881835291146352860139896591635276302891,0.0000000002000000000000000000000000000000000000000000000000000000000000000000000,True
