sample,matrix,trace,base_c,power,power_c,two_log_power_c,formula_prediction,formula_residual,normalized_height,translation_length,limit_error
conjugacy_witness,"[[2,1],[3,2]]",4,3,1,3,2.197224577336219382790490473845051409294981115645498903469388667274989,2.197224577336219382790490473845051409294981115645498903469388667274989,0.0,2.197224577336219382790490473845051409294981115645498903469388667274989,2.633915793849633417250092694615936888053963942935032959536944513840920,0.4366912165134140344596022207708854787589828272895340560675558465659318
conjugacy_witness,"[[2,1],[3,2]]",4,3,2,12,4.969813299576000620459418959677757681596981653086519919952108705248563,4.969813299576000620459418959677757681596981653086519919952108705248563,0.0,2.484906649788000310229709479838878840798490826543259959976054352624282,2.633915793849633417250092694615936888053963942935032959536944513840920,0.1490091440616331070203832147770580472554731163917729995608901612166388
conjugacy_witness,"[[2,1],[3,2]]",4,3,3,45,7.613324979540639514782499614142478097641164939828033250764073117498335,7.613324979540639514782499614142478097641164939828033250764073117498335,0.0,2.537774993180213171594166538047492699213721646609344416921357705832778,2.633915793849633417250092694615936888053963942935032959536944513840920,0.09614080066942024565592615656844418884024229632568854261558680800814199
conjugacy_witness,"[[2,1],[3,2]]",4,3,4,168,10.24792795880651784950458868948047027702215138097075280511224902411051,10.24792795880651784950458868948047027702215138097075280511224902411051,1.686751670916883715895771848203203041233593821178961208012442084017303e-80,2.561981989701629462376147172370117569255537845242688201278062256027628,2.633915793849633417250092694615936888053963942935032959536944513840920,0.07193380414800395487394552224581931879842609769234475825888225781329286
conjugacy_witness,"[[2,1],[3,2]]",4,3,5,627,12.88189308126584139093243249355101708341315334611859089098244455835472,12.88189308126584139093243249355101708341315334611859089098244455835472,1.686751670916883715895771848203203041233593821178961208012442084017303e-80,2.576378616253168278186486498710203416682630669223718178196488911670944,2.633915793849633417250092694615936888053963942935032959536944513840920,0.05753717759646513906360619590573347137133327371131478134045560216997612
conjugacy_witness,"[[2,1],[3,2]]",4,3,6,2340,15.51581241670349422455840298310582157955370136678946850008488417679884,15.51581241670349422455840298310582157955370136678946850008488417679884,0.0,2.585968736117249037426400497184303596592283561131578083347480696133140,2.633915793849633417250092694615936888053963942935032959536944513840920,0.04794705773238437982369219743163329146168038180345487618946381770778054
conjugacy_witness,"[[2,1],[3,2]]",4,3,7,8733,18.14972846482746583318292628494593477956695510786523438695076609184965,18.14972846482746583318292628494593477956695510786523438695076609184965,0.0,2.592818352118209404740418040706562111366707872552176340992966584549950,2.633915793849633417250092694615936888053963942935032959536944513840920,0.04109744173142401250967465390937477668725607038285661854397792929097054
conjugacy_witness,"[[2,1],[3,2]]",4,3,8,32592,20.78364427693317411257249617580474684079098145500882602530607778061765,20.78364427693317411257249617580474684079098145500882602530607778061765,0.0,2.597955534616646764071562021975593355098872681876103253163259722577206,2.633915793849633417250092694615936888053963942935032959536944513840920,0.03596025923298665317853067264034353295509126105892970637368479126371389
conjugacy_witness,"[[2,1],[3,2]]",4,3,9,121635,23.41756007209353472636099760179189811883250758646745693492419620057392,23.41756007209353472636099760179189811883250758646745693492419620057392,0.0,2.601951119121503858484555289087988679870278620718606326102688466730435,2.633915793849633417250092694615936888053963942935032959536944513840920,0.03196467472812955876553740552794820818368532221642663343425604711048502
conjugacy_witness,"[[2,1],[3,2]]",4,3,10,453948,26.05147586603727412227953505664974121019581876656456953463062080434893,26.05147586603727412227953505664974121019581876656456953463062080434893,3.373503341833767431791543696406406082467187642357922416024884168034606e-80,2.605147586603727412227953505664974121019581876656456953463062080434893,2.633915793849633417250092694615936888053963942935032959536944513840920,0.02876820724590600502213918895096276703438206627857600607388243340602763
conjugacy_witness,"[[2,1],[3,2]]",4,3,11,1694157,28.68539165989366404480961355603639604565393050317815289717266941586863,28.68539165989366404480961355603639604565393050317815289717266941586863,0.0,2.607762878172151276800873959639672367786720954834377536106606310533512,2.633915793849633417250092694615936888053963942935032959536944513840920,0.02615291567748214044921873497626452026724298810065542343033820330740873
conjugacy_witness,"[[2,1],[3,2]]",4,3,12,6322680,31.31930745374378255731343481967465170335900607983167253358386557429414,31.31930745374378255731343481967465170335900607983167253358386557429414,0.0,2.609942287811981879776119568306220975279917173319306044465322131191178,2.633915793849633417250092694615936888053963942935032959536944513840920,0.02397350603765153747397312630971591277404676961572691507162238264974197
conjugacy_witness,"[[2,1],[3,2]]",4,3,13,23596563,33.95322324759345080283575390328338427743673148650779720424418174922250,33.95322324759345080283575390328338427743673148650779720424418174922250,6.747006683667534863583087392812812164934375284715844832049768336069212e-80,2.611786403661034677141211838714106482879748575885215169557244749940192,2.633915793849633417250092694615936888053963942935032959536944513840920,0.02212939018859874010888085590183040517421536704981778997969976390072834
conjugacy_witness,"[[2,1],[3,2]]",4,3,14,88063572,36.58713904144308672064328753780591496511355899272114414045619045633303,36.58713904144308672064328753780591496511355899272114414045619045633303,0.0,2.613367074388791908617377681271851068936682785194367438604013604023788,2.633915793849633417250092694615936888053963942935032959536944513840920,0.02054871946084150863271501334408581911728115774066552093293090981713278
conjugacy_witness,"[[2,1],[3,2]]",4,3,15,328657725,39.22105483529272031742532700244627373183408523471614451528857001723538,39.22105483529272031742532700244627373183408523471614451528857001723538,0.0,2.614736989019514687828355133496418248788939015647742967685904667815692,2.633915793849633417250092694615936888053963942935032959536944513840920,0.01917880483011872942173756111951863926502492728728999185103984602522835
conjugacy_witness,"[[2,1],[3,2]]",4,3,16,1226567328,41.85497062914235374756523353749919793089209505755718772301605233089495,41.85497062914235374756523353749919793089209505755718772301605233089495,6.747006683667534863583087392812812164934375284715844832049768336069212e-80,2.615935664321397109222827096093699870680755941097324232688503270680934,2.633915793849633417250092694615936888053963942935032959536944513840920,0.01798012952823630802726559852223701737320800183770872684844124315998597
conjugacy_witness,"[[2,1],[3,2]]",4,3,17,4577611587,44.48888642299198716574077322820854392760313693769756580087724010628466,44.48888642299198716574077322820854392760313693769756580087724010628466,6.747006683667534863583087392812812164934375284715844832049768336069212e-80,2.616993318999528656808280778129914348682537466923386223581014123899098,2.633915793849633417250092694615936888053963942935032959536944513840920,0.01692247485010476044181191648602253937142647601164673595593038994182282
conjugacy_witness,"[[2,1],[3,2]]",4,3,18,17083879020,47.12280221684162058305731002769522107035470487750735984072623033658398,47.12280221684162058305731002769522107035470487750735984072623033658398,6.747006683667534863583087392812812164934375284715844832049768336069212e-80,2.617933456491201143503183890427512281686372493194853324484790574254666,2.633915793849633417250092694615936888053963942935032959536944513840920,0.01598233735843227374690880418842460636759144974017963505215393958625474
conjugacy_witness,"[[2,1],[3,2]]",4,3,19,63757904493,49.75671801069125400031217319440811241574744756765538670438215943402144,49.75671801069125400031217319440811241574744756765538670438215943402144,0.0,2.618774632141644947384851220758321706091970924613441405493797864948497,2.633915793849633417250092694615936888053963942935032959536944513840920,0.01514116170798846986524147385761518196199301832159155404314664889242349
conjugacy_witness,"[[2,1],[3,2]]",4,3,20,237947738952,52.39063380454088741756260839351067145184789248409831000177387028264883,52.39063380454088741756260839351067145184789248409831000177387028264883,0.0,2.619531690227044370878130419675533572592394624204915500088693514132441,2.633915793849633417250092694615936888053963942935032959536944513840920,0.01438410362258904637196227494040331546156931873011745944825099970847893
conjugacy_witness,"[[2,1],[3,2]]",4,3,21,888033051315,55.02454959839052083481272567884236395521381740450206142635961765349746,55.02454959839052083481272567884236395521381740450206142635961765349746,0.0,2.620216647542405754038701222802017331200657971642955306017124650166546,2.633915793849633417250092694615936888053963942935032959536944513840920,0.01369914630722766321139147181391955685330597129207765351981986367437462
conjugacy_witness,"[[2,1],[3,2]]",4,3,22,3314184466308,57.65846539224015425206282013899225730958875408991256780322943436222434,57.65846539224015425206282013899225730958875408991256780322943436222434,6.747006683667534863583087392812812164934375284715844832049768336069212e-80,2.620839336010916102366491824499648059526761549541480354692247016464743,2.633915793849633417250092694615936888053963942935032959536944513840920,0.01307645783871731488360087011628882852720239339355260484469749737617771
conjugacy_witness,"[[2,1],[3,2]]",4,3,23,12368704813917,60.29238118608978766931291296036782911082437545019747993503004312781523,60.29238118608978766931291296036782911082437545019747993503004312781523,6.747006683667534863583087392812812164934375284715844832049768336069212e-80,2.621407877656077724752735346102949091774972845660759997175219266426749,2.633915793849633417250092694615936888053963942935032959536944513840920,0.01250791619355569249735734851298779627899109727427296236172524741417133
conjugacy_witness,"[[2,1],[3,2]]",4,3,24,46160634789360,62.92629697993942108656300566408469831710057049355618280695875422843883,62.92629697993942108656300566408469831710057049355618280695875422843883,6.747006683667534863583087392812812164934375284715844832049768336069212e-80,2.621929040830809211940125236003529096545857103898174283623281426184951,2.633915793849633417250092694615936888053963942935032959536944513840920,0.01198675301882420530996745861240779150810683903685867591366308765596896
gauss_112,"[[1,1],[1,2]]",3,1,1,1,0.0,1.581329691484578483652286107690502851156494207355276132511664453766222e-81,1.581329691484578483652286107690502851156494207355276132511664453766222e-81,0.0,1.924847300238413789991035653697473692540737337542642078644072675360655,1.924847300238413789991035653697473692540737337542642078644072675360655
gauss_112,"[[1,1],[1,2]]",3,1,2,3,2.197224577336219382790490473845051409294981115645498903469388667274989,2.197224577336219382790490473845051409294981115645498903469388667274989,0.0,1.098612288668109691395245236922525704647490557822749451734694333637494,1.924847300238413789991035653697473692540737337542642078644072675360655,0.8262350115703040985957904167749479878932467797198926269093783417231612
gauss_112,"[[1,1],[1,2]]",3,1,3,8,4.158883083359671856503392728749059408453000806161531524724080056960362,4.158883083359671856503392728749059408453000806161531524724080056960362,8.433758354584418579478859241016015206167969105894806040062210420086515e-81,1.386294361119890618834464242916353136151000268720510508241360018986787,1.924847300238413789991035653697473692540737337542642078644072675360655,0.5385529391185231711565714107811205563897370688221315704027126563738682
gauss_112,"[[1,1],[1,2]]",3,1,4,21,6.089044875446845993001195960731410868569150574809221280388168967150148,6.089044875446845993001195960731410868569150574809221280388168967150148,8.433758354584418579478859241016015206167969105894806040062210420086515e-81,1.522261218861711498250298990182852717142287643702305320097042241787537,1.924847300238413789991035653697473692540737337542642078644072675360655,0.4025860813767022917407366635146209753984496938403367585470304335731184
gauss_112,"[[1,1],[1,2]]",3,1,5,55,8.014666370464941837325405822382633878694616416411869794262431201209505,8.014666370464941837325405822382633878694616416411869794262431201209505,1.686751670916883715895771848203203041233593821178961208012442084017303e-80,1.602933274092988367465081164476526775738923283282373958852486240241901,1.924847300238413789991035653697473692540737337542642078644072675360655,0.3219140261454254225259544892209469168018140542602681197915864351187544
gauss_112,"[[1,1],[1,2]]",3,1,6,144,9.939626599152001240918837919355515363193963306173039839904217410497126,9.939626599152001240918837919355515363193963306173039839904217410497126,0.0,1.656604433192000206819806319892585893865660551028839973317369568416188,1.924847300238413789991035653697473692540737337542642078644072675360655,0.2682428670464135831712293338048877986750767865138021053267031069444678
gauss_112,"[[1,1],[1,2]]",3,1,7,377,11.86449037489602152647351894785446042059956171736590239068143172461249,11.86449037489602152647351894785446042059956171736590239068143172461249,0.0,1.694927196413717360924788421122065774371365959623700341525918817801784,1.924847300238413789991035653697473692540737337542642078644072675360655,0.2299201038246964290662472325754079181693713779189417371181538575588711
gauss_112,"[[1,1],[1,2]]",3,1,8,987,13.78934007886696316664309730027575828636125157884966934678918566076378,13.78934007886696316664309730027575828636125157884966934678918566076378,0.0,1.723667509858370395830387162534469785795156447356208668348648207595473,1.924847300238413789991035653697473692540737337542642078644072675360655,0.2011797903800433941606484911630039067455808901864334102954244677651824
gauss_112,"[[1,1],[1,2]]",3,1,9,2584,15.71418772980498493702051682827101955410416535393127873639447600554353,15.71418772980498493702051682827101955410416535393127873639447600554353,0.0,1.746020858867220548557835203141224394900462817103475415154941778393726,1.924847300238413789991035653697473692540737337542642078644072675360655,0.1788264413711932414332004505562492976402745204391666634891308969669297
gauss_112,"[[1,1],[1,2]]",3,1,10,6765,17.63903508120977682784942304230250046474241847085597196497034568900445,17.63903508120977682784942304230250046474241847085597196497034568900445,0.0,1.763903508120977682784942304230250046474241847085597196497034568900445,1.924847300238413789991035653697473692540737337542642078644072675360655,0.1609437921174361072060933494672236460664954904570448821470381064602104
gauss_112,"[[1,1],[1,2]]",3,1,11,17711,19.56388238891326446745587366507677284259153133540486372602631713046411,19.56388238891326446745587366507677284259153133540486372602631713046411,3.373503341833767431791543696406406082467187642357922416024884168034606e-80,1.778534762628478587950533969552433894781048303218623975093301557314919,1.924847300238413789991035653697473692540737337542642078644072675360655,0.1463125376099352020405016841450397977596890343240181035507711180457367
gauss_112,"[[1,1],[1,2]]",3,1,12,46368,21.48872969024081785157751331277862019550389366373814420906162848432506,21.48872969024081785157751331277862019550389366373814420906162848432506,0.0,1.790727474186734820964792776064885016291991138644845350755135707027088,1.924847300238413789991035653697473692540737337542642078644072675360655,0.1341198260516789690262428776325886762487461988977967278889369683335672
