N,anchor,index,gap,target,diagnostic_prediction,relative_error_percent,shape_ratio_to_N250,log_raw_gap_ratio,log_first_gap_ratio,log_original_prediction_ratio
250,1,1,0.06662192369085673,14.1347,14.1347,0.0,1.0,0.0,0.0,0.0
250,1,2,0.07909808467084822,21.022,16.781678394412346,-20.170876251487265,1.0,0.0,0.0,0.0
250,1,3,0.11826221401469539,25.0108,25.090853338162127,0.3200750802138561,1.0,0.0,0.0,0.0
250,1,4,0.13953910585522067,30.4248,29.605020243545958,-2.6944458351543576,1.0,0.0,0.0,0.0
250,1,5,0.1679782728708581,32.935,35.63875616328942,8.209370466948291,1.0,0.0,0.0,0.0
250,1,6,0.17307233751090045,37.5861,36.71952764929034,-2.305566022305214,1.0,0.0,0.0,0.0
250,1,7,0.1931323331051722,40.9187,40.975514327820704,0.1388468544228022,1.0,0.0,0.0,0.0
250,1,8,0.19758536183830522,43.327,41.92028178194412,-3.2467473355087564,1.0,0.0,0.0,0.0
250,1,9,0.20349937948756747,48.0051,43.1750168696747,-10.061604142737542,1.0,0.0,0.0,0.0
250,1,10,0.22244935535073473,49.7738,47.195498551891134,-5.180037385349054,1.0,0.0,0.0,0.0
250,1,11,0.25392126529117753,52.9703,53.8726699812149,1.703539495179178,1.0,0.0,0.0,0.0
250,1,12,0.25634998824017785,56.4462,54.387954865910395,-3.646383873652439,1.0,0.0,0.0,0.0
250,1,13,0.2766165886487304,59.347,58.68777541933704,-1.110796806347355,1.0,0.0,0.0,0.0
250,1,14,0.2905053664667001,60.8317,61.63445868736459,1.319638753091882,1.0,0.0,0.0,0.0
250,1,15,0.2914217963977901,65.1125,61.82889111184824,-5.0429777510489595,1.0,0.0,0.0,0.0
250,1,16,0.31227755512277966,67.0798,66.25370919752847,-1.2315045698877165,1.0,0.0,0.0,0.0
250,1,17,0.31550566469091024,69.5464,66.93859425915446,-3.74973505579807,1.0,0.0,0.0,0.0
250,1,18,0.3265148517015035,72.0671,69.27433521374941,-3.875228483247677,1.0,0.0,0.0,0.0
250,1,19,0.3363374407721178,75.7046,71.35832411777238,-5.741098800109393,1.0,0.0,0.0,0.0
250,1,20,0.3682811349719568,77.1448,78.13559065996367,1.2843259169298056,1.0,0.0,0.0,0.0
250,1,21,0.38081729531529085,79.3373,80.79529869282017,1.8377215922651378,1.0,0.0,0.0,0.0
250,1,22,0.3996888492162469,82.9103,84.79914214473857,2.278175503813834,1.0,0.0,0.0,0.0
250,1,23,0.40903928184589056,84.7354,86.78295697277485,2.4164127068201204,1.0,0.0,0.0,0.0
250,1,24,0.42225736433321437,87.4252,89.5873435798103,2.4731354115407123,1.0,0.0,0.0,0.0
250,1,25,0.43662827006367166,88.8091,92.63631650005895,4.309486865714158,1.0,0.0,0.0,0.0
250,1,26,0.4681479852961896,92.4918,99.32363043840168,7.386417432033631,1.0,0.0,0.0,0.0
250,1,27,0.4717650589657705,94.6513,100.09103924867055,5.747136329528013,1.0,0.0,0.0,0.0
250,1,28,0.47652328796778143,95.8706,101.10055887447437,5.455227018996833,1.0,0.0,0.0,0.0
250,1,29,0.47722969275957006,98.8311,101.25043175801383,2.4479457964282756,1.0,0.0,0.0,0.0
250,1,30,0.49378308440852514,101.3178,104.76244720245224,3.3998440574629836,1.0,0.0,0.0,0.0
250,1,31,0.4944612023162911,103.7255,104.90631865887214,1.1384072950934354,1.0,0.0,0.0,0.0
250,1,32,0.5114311678277481,105.4466,108.50671561870521,2.9020524309984497,1.0,0.0,0.0,0.0
250,1,33,0.5128837580822623,107.1686,108.81490136797531,1.5361788508717216,1.0,0.0,0.0,0.0
250,1,34,0.5388683317518108,111.0295,114.32786366476012,2.9707092842533895,1.0,0.0,0.0,0.0
250,1,35,0.546809362737358,111.8746,116.01265576401345,3.6988340195302993,1.0,0.0,0.0,0.0
250,1,36,0.5473197361457718,114.3202,116.12093806233587,1.5751704968464604,1.0,0.0,0.0,0.0
250,1,37,0.5512061995748212,116.2266,116.94550138304531,0.6185342968350673,1.0,0.0,0.0,0.0
250,1,38,0.5645121965366204,118.7907,119.768540179233,0.8231622334349395,1.0,0.0,0.0,0.0
250,1,39,0.5736915636100015,121.3701,121.71606124413323,0.28504651815664267,1.0,0.0,0.0,0.0
250,1,40,0.5812693985973372,122.9468,123.32379663004784,0.30663395065820465,1.0,0.0,0.0,0.0
250,1,41,0.5849481337000455,124.2568,124.10428770829313,-0.12273959389495784,1.0,0.0,0.0,0.0
250,1,42,0.5937334875847267,127.5166,125.9682137955977,-1.2142624602618728,1.0,0.0,0.0,0.0
250,1,43,0.6143498829686251,129.5787,130.3422478625963,0.5892541463962145,1.0,0.0,0.0,0.0
250,1,44,0.6223729333313806,131.0876,132.04444143011713,0.7299252027782361,1.0,0.0,0.0,0.0
250,1,45,0.6227443531546495,133.4977,132.12324293396324,-1.0295735926811986,1.0,0.0,0.0,0.0
250,1,46,0.6418072067353275,134.7565,136.16767307916768,1.047202234525011,1.0,0.0,0.0,0.0
250,1,47,0.6491872112408892,138.116,137.7334361779459,-0.27698733097839756,1.0,0.0,0.0,0.0
250,1,48,0.6655960643423544,139.7362,141.2147859061452,1.0581266029455596,1.0,0.0,0.0,0.0
250,1,49,0.6668207114647906,141.1237,141.47461058130503,0.24865460677761103,1.0,0.0,0.0,0.0
250,1,50,0.676154810090658,143.1118,143.45495993986242,0.23978451802187623,1.0,0.0,0.0,0.0
250,1,51,0.6950670837791062,146.0009,147.46744261965625,1.0044750543703855,1.0,0.0,0.0,0.0
250,1,52,0.6981598793844697,147.4427,148.12361907961534,0.46181945909518474,1.0,0.0,0.0,0.0
250,1,53,0.7003555073292524,150.0515,148.58944985410827,-0.9743655650838128,1.0,0.0,0.0,0.0
250,1,54,0.7163446244416356,150.9252,151.98174718099287,0.700046898061344,1.0,0.0,0.0,0.0
250,1,55,0.7243624550086647,153.0246,153.6828333015568,0.4301486829939797,1.0,0.0,0.0,0.0
250,1,56,0.7474353171209458,156.1129,158.5780384537193,1.5790741532053438,1.0,0.0,0.0,0.0
250,1,57,0.7560354183304376,157.5975,160.40266079770737,1.7799525993162157,1.0,0.0,0.0,0.0
250,1,58,0.759520836021462,158.8499,161.1421370948183,1.443020798136051,1.0,0.0,0.0,0.0
250,1,59,0.7639868452408738,161.1889,162.08965852645002,0.5588216846507629,1.0,0.0,0.0,0.0
250,1,60,0.7807496528954427,163.0306,165.64610427626786,1.604302674631554,1.0,0.0,0.0,0.0
250,1,61,0.8020562942177136,165.5373,170.166582917734,2.7965195262542055,1.0,0.0,0.0,0.0
250,1,62,0.8023409139374245,167.1844,170.2269686605844,1.8198878965886645,1.0,0.0,0.0,0.0
250,1,63,0.803356975080872,169.0945,170.442539131214,0.7972105131828618,1.0,0.0,0.0,0.0
250,1,64,0.8040375467592291,169.9119,170.58693118669882,0.39728305474708775,1.0,0.0,0.0,0.0
250,1,65,0.8066722074537651,173.4115,171.14590841905647,-1.3064828923938272,1.0,0.0,0.0,0.0
250,1,66,0.8121390778279736,174.7541,172.30577544776745,-1.4010112221873758,1.0,0.0,0.0,0.0
250,1,67,0.8274653167473556,176.4414,175.5574346201897,-0.5009965800601739,1.0,0.0,0.0,0.0
250,1,68,0.8518431720423347,178.3774,180.72951090001695,1.3186148581697867,1.0,0.0,0.0,0.0
