target_index,target,predicted,residual,absolute_error,percent_error,shifted_energy,original_eigen_index,phase,hbase_expectation,integer_branch,branch_margin
1,14.1347,14.1347,0.0,0.0,0.0,0.5579025282925087,220,-1.947492733994137,4.66289715516098,3626,0.056499467246794666
2,21.022,90.29929519069009,69.2772951906901,69.2772951906901,329.5466425206455,3.5641509964779994,147,2.8959507782153953,7.668881119343272,5965,0.2622279607521705
3,25.0108,90.71472170744816,65.70392170744816,65.70392170744816,262.70219947961743,3.580548055065665,245,-1.8382002699068418,7.685145095343061,5977,0.3657382289684392
4,30.4248,128.5024986609655,98.0776986609655,98.0776986609655,322.36103001816116,5.072047436086891,191,-2.2961178332558045,9.176504705047135,7137,0.4744509220281543
5,32.935,139.45135152302888,106.51635152302887,106.51635152302887,323.41385007751285,5.504203243684351,174,-3.0899531828116205,9.608985698906455,7473,0.22152439179899375
6,37.5861,140.50468793931424,102.91858793931424,102.91858793931424,273.8208751089212,5.54577887314859,13,1.0751890199551655,9.649973115214763,7506,0.3209694647548531
7,40.9187,145.20559429543007,104.28689429543007,104.28689429543007,254.8636547481471,5.731325615657688,137,-0.9124849909488806,9.835751947446271,7650,0.49851353598660353
8,43.327,145.94995270930073,102.62295270930073,102.62295270930073,236.85681609458476,5.760705753973623,54,0.02013175964688111,9.864707834990789,7673,0.17150857704018563
9,48.0051,158.11391791312911,110.10881791312912,110.10881791312912,229.3690001960815,6.240822554562101,163,-2.681072015435389,10.344888687604584,8046,0.2213275836156754
10,49.7738,161.86875955511672,112.09495955511673,112.09495955511673,225.20876355656333,6.389027726614064,58,1.8902050008195246,10.493443145168598,8162,0.4929982628036669
11,52.9703,162.99193348135725,110.02163348135724,110.02163348135724,207.70438053278392,6.433359871842601,140,-1.1325515257270664,10.538260504041233,8196,0.12960755479798536
12,56.4462,164.4239611112607,107.97776111126069,107.97776111126069,191.29323339969864,6.489882602095657,134,-0.8988063882974254,10.594712112103961,8240,0.18492566300665203
13,59.347,166.85407085955862,107.50707085955861,107.50707085955861,181.14996690575532,6.585800051535948,35,1.5918121333113053,10.690046879914025,8315,0.3618705573535408
14,60.8317,166.87103717601488,106.03933717601488,106.03933717601488,174.31591945649208,6.5864697191515855,234,-1.6808514384485935,10.690848835177807,8315,0.46476252962020226
15,65.1125,176.5771635074828,111.4646635074828,111.4646635074828,171.1878111076718,6.969574590160693,201,-1.5239526718454839,11.073447096826115,8613,0.07072697880721535
16,67.0798,181.2999935410982,114.22019354109818,114.22019354109818,170.27509554455764,7.155986669401839,215,-1.4573393155746703,11.26095603353827,8758,0.07614856042346219
17,69.5464,182.8418464887305,113.2954464887305,113.2954464887305,162.90627047371322,7.216844250938012,123,2.724742202643202,11.321111364341357,8806,0.3776480413926038
18,72.0671,183.29767719831423,111.23057719831424,111.23057719831424,154.34307360545137,7.234836079936867,128,2.7633236891474393,11.338949712800076,8820,0.2582724556832545
19,75.7046,185.05079962711744,109.34619962711744,109.34619962711744,144.43798610271693,7.304032556369732,179,-2.3908218920243556,11.40876086619573,8873,0.26363812405361386
20,77.1448,185.77055641955687,108.62575641955686,108.62575641955686,140.80761946308354,7.332441658385173,225,-2.9959390436774185,11.436944953757953,8895,0.4386520516982273
21,79.3373,187.56116311868539,108.22386311868539,108.22386311868539,136.40981369253225,7.403117654665342,203,-2.814122940062165,11.508128447585664,8950,0.04392567837203387
22,82.9103,188.56640482742128,105.65610482742127,105.65610482742127,127.43423293296642,7.442794965881628,224,-1.9382759300827554,11.54703318094515,8981,0.3551712098706048
23,84.7354,189.7111082207312,104.9757082207312,104.9757082207312,123.88648453979233,7.487976888191449,187,-2.830705124186342,11.592884435994485,9016,0.12422866881388472
24,87.4252,189.87747353141674,102.45227353141674,102.45227353141674,117.18849202680317,7.494543396674235,125,2.7779000206823756,11.599047900735817,9022,0.4377119459786627
25,88.8091,191.4689742317312,102.65987423173121,102.65987423173121,115.59612047834197,7.557360595800127,159,-2.6166635767772073,11.662410184379135,9070,0.013750814021477709
26,92.4918,191.72746502970338,99.23566502970338,99.23566502970338,107.29131126186688,7.5675633358461845,222,-2.211940249768044,11.672524303110352,9078,0.08267956131567189
27,94.6513,192.61286511561707,97.96156511561706,97.96156511561706,103.49732662479761,7.602510448022718,157,2.930818953646318,11.706926333416103,9106,0.4933613652610802
28,95.8706,193.67185572487455,97.80125572487455,97.80125572487455,102.01381416709039,7.644309250851414,75,-0.27787169440753223,11.748604136974697,9138,0.3992493773421302
29,98.8311,193.76267658139713,94.93157658139712,94.93157658139712,96.05435594807416,7.647893988092081,10,1.0530843906338572,11.751731333466056,9141,0.04337888792179001
30,101.3178,193.77038678466326,92.45258678466325,92.45258678466325,91.25009305834044,7.648198313043853,90,-0.43415070985578014,11.752727436565468,9141,0.4185631831533101
31,103.7255,194.54025651079567,90.81475651079568,90.81475651079568,87.5529705914126,7.67858539353832,47,1.8607280277561975,11.783334007870526,9165,0.24784548793832073
32,105.4466,195.459923693265,90.01332369326501,90.01332369326501,85.36389385078799,7.714885042366189,1,0.39364478856925617,11.819379008393915,9193,0.4459083203382761
33,107.1686,196.36218540388654,89.19358540388654,89.19358540388654,83.2273496190923,7.750497689931208,88,2.2839346015894577,11.854542371559978,9221,0.20464289463598107
34,111.0295,197.88964232204347,86.86014232204347,86.86014232204347,78.23158919210073,7.810787054155256,145,2.959707064081082,11.915234330274556,9268,0.48222325094684493
35,111.8746,199.4835516219042,87.60895162190421,87.60895162190421,78.30995741830962,7.8736993217139055,173,-2.8994556709814168,11.97870720015569,9316,0.04619252980410238
36,114.3202,200.93735278580314,86.61715278580314,86.61715278580314,75.76714595128695,7.931081462472026,108,-0.5824617134187418,12.03589597660037,9361,0.19658930422156118
37,116.2266,202.31168895771165,86.08508895771165,86.08508895771165,74.06659831545588,7.985327086718144,228,-1.7868771591368848,12.090195738679952,9403,0.15448145411028236
38,118.7907,202.59420517664697,83.80350517664696,83.80350517664696,70.54719365796058,7.99647812019092,32,0.2667244240848774,12.100540351506051,9412,0.21829286020511063
