object_id,readout,window,count,mape_percent,max_percent_error,rmse,max_absolute_error
bridge-n52,power_3_2,1-100,100,1.8618595996562695,9.568465737379858,2.930897931503282,5.924744403952474
bridge-n52,power_3_2,101-300,200,0.7630915242079485,2.2680632612290292,3.2797529416127453,8.004450878672515
bridge-n52,power_3_2,301-320,20,1.446500347908875,2.031948887431829,8.245248942631783,11.560243977605637
bridge-n52,power_3_2,1-320,320,1.1491695992668567,9.568465737379858,3.695459520907009,11.560243977605637
bridge-n52,raw_J,1-100,100,50.353259297902476,61.55922501789314,87.31017919915493,145.6024644997716
bridge-n52,raw_J,101-300,200,66.7352665343818,70.08733646281173,274.31614654560127,379.56954962400494
bridge-n52,raw_J,301-320,20,70.33495121299306,70.49510260131375,392.0199024101075,401.79619587719935
bridge-n52,raw_J,1-320,320,61.84086956539521,70.49510260131375,242.93626008184367,401.79619587719935
fine-n64,power_3_2,1-100,100,1.8618612253236304,9.568465737349202,2.9309024210644967,5.924750241687434
fine-n64,power_3_2,101-300,200,0.7366696729364348,2.268076825902533,3.0940812087487295,7.347651366423975
fine-n64,power_3_2,301-320,20,1.1068176217792056,1.6346598067594906,6.277753361908954,9.318396451333342
fine-n64,power_3_2,1-320,320,1.1114262798601064,9.568465737349202,3.336301447198752,9.318396451333342
fine-n64,raw_J,1-100,100,50.35325973723887,61.55922566665748,87.31018062998842,145.60246603425628
fine-n64,raw_J,101-300,200,66.74114831785914,70.13060670101179,274.354378436732,379.69880293761906
fine-n64,raw_J,301-320,20,70.40109210814384,70.6063166590606,392.3921145880887,402.01629294166617
fine-n64,raw_J,1-320,320,61.8486796233081,70.6063166590606,243.0007921120286,402.01629294166617
fine-n80,power_3_2,1-100,100,1.8618612406757278,9.568465737373133,2.930902463508834,5.924750261903569
fine-n80,power_3_2,101-300,200,0.7363693992103648,2.268076962665844,3.092046516319123,7.339333638225298
fine-n80,power_3_2,301-320,20,1.1031771284895968,1.6291995301906974,6.256843168308879,9.287270083882731
fine-n80,power_3_2,1-320,320,1.1110110827482427,9.568465737373133,3.332665499234776,9.287270083882731
fine-n80,raw_J,1-100,100,50.35325974138475,61.55922566890415,87.31018064351188,145.6024660395702
fine-n80,raw_J,101-300,200,66.74121598109748,70.13087176364958,274.3548173512214,379.70044013564416
fine-n80,raw_J,301-320,20,70.40180157170208,70.60715385452788,392.3961017662941,402.02231139257594
fine-n80,raw_J,1-320,320,61.848766255600054,70.60715385452788,243.00150423140616,402.02231139257594
fine-n96,power_3_2,1-100,100,1.8618612407305655,9.568465737351026,2.9309024636584793,5.924750261972065
fine-n96,power_3_2,101-300,200,0.7363676856022356,2.2680769633802482,3.0920344144782517,7.339259465342593
fine-n96,power_3_2,301-320,20,1.1031563717833208,1.6291500788829583,6.256721396859311,9.286988186151689
fine-n96,power_3_2,1-320,320,1.1110087144661565,9.568465737351026,3.332644193227922,9.286988186151689
fine-n96,raw_J,1-100,100,50.35325974140045,61.55922566891176,87.31018064355968,145.6024660395882
fine-n96,raw_J,101-300,200,66.74121636691491,70.13087298136566,274.3548198672664,379.70045473530445
fine-n96,raw_J,301-320,20,70.40180561563076,70.60715932756233,392.3961245240361,402.02236589951406
fine-n96,raw_J,1-320,320,61.84876674948639,70.60715932756233,243.00150830364456,402.02236589951406
width080-n96,power_3_2,1-100,100,1.8618612407191613,9.568465737371188,2.9309024636357344,5.9247502619288355
width080-n96,power_3_2,101-300,200,0.7363676685143574,2.268076963364872,3.092034292170402,7.339258618872691
width080-n96,power_3_2,301-320,20,1.1031561705372142,1.6291496101573408,6.256720229111962,9.28698551417608
width080-n96,power_3_2,1-320,320,1.1110086912047872,9.568465737371188,3.3326439852773624,9.28698551417608
width080-n96,raw_J,1-100,100,50.353259741395576,61.55922566890697,87.31018064355216,145.60246603957685
width080-n96,raw_J,101-300,200,66.74121637069513,70.13087299705717,274.3548198921182,379.70045490191757
width080-n96,raw_J,301-320,20,70.40180565484435,70.60715937976727,392.39612474456163,402.0223664161597
width080-n96,raw_J,1-320,320,61.84876675429835,70.60715937976727,243.0015083434366,402.0223664161597
width125-n96,power_3_2,1-100,100,1.8618612406194361,9.568465737416059,2.9309024633554976,5.924750261821771
width125-n96,power_3_2,101-300,200,0.7363706621398569,2.26807696219411,3.092055112354932,7.339384349801094
width125-n96,power_3_2,301-320,20,1.1031939784074387,1.6292332886037733,6.256941590968336,9.287462524092803
width125-n96,power_3_2,1-320,320,1.1110129251814493,9.568465737416059,3.332682032722563,9.287462524092803
width125-n96,raw_J,1-100,100,50.35325974136534,61.55922566889506,87.31018064346313,145.6024660395487
width125-n96,raw_J,101-300,200,66.74121569770378,70.13087056110598,274.3548155098544,379.70043015394026
width125-n96,raw_J,301-320,20,70.40179828842162,70.60715033599851,392.3960833049625,402.02227418289306
width125-n96,raw_J,1-320,320,61.84876587326789,70.60715033599851,243.0015010688602,402.02227418289306
