control,n,support_size,probability_sum_error,min_abs_standardized_sum,max_grid_relative_error,median_grid_relative_error,max_native_radial_relative_error,median_native_radial_relative_error,max_low_sigma_relative_error
fair_F2,31,32,0.0,0.1796053020267749,33890.010578864334,2.2690403521542626,33890.010578864334,2.2690403521542626,33890.010578864334
biased_F2_p_0.3_centered_variance_normalized,31,32,0.0,0.11757927025044267,15536.48256025832,0.9799421985783032,15536.48256025832,0.9799421985783032,15536.48256025832
fair_F2,127,128,0.0,0.08873565094161139,30433.48287525825,1.0502544115981847,30433.48287525825,1.0502544115981847,30433.48287525825
biased_F2_p_0.3_centered_variance_normalized,127,128,0.0,0.01936370653719616,26796.299193017145,1.7018004157783924,26796.299193017145,1.7018004157783924,26796.299193017145
fair_F2,511,512,0.0,0.04423739552038088,26031.974319999812,0.5602083397411556,26031.974319999812,0.5602083397411557,26031.974319999812
biased_F2_p_0.3_centered_variance_normalized,511,512,0.0,0.028960173359976325,11162.626072567324,0.324930485862087,11162.626072567324,0.32493048586208717,11162.626072567324
fair_F2,2047,2048,0.0,0.02210248368512676,21984.701257231533,0.27555292336454934,21984.701257231533,0.2755529233645495,21984.701257231533
biased_F2_p_0.3_centered_variance_normalized,2047,2048,0.0,0.0048231573587449,18666.401807696653,0.18463865250083236,18666.401807696653,0.18463865250083236,18666.401807696653
fair_F2,8191,8192,0.0,0.011049217867360808,18506.828161085312,0.10871421433266061,18506.828161085312,0.10871421433266061,18506.828161085312
biased_F2_p_0.3_centered_variance_normalized,8191,8192,2.220446049250313e-16,0.007233411035313341,7901.447437201488,0.04006333707273216,7901.447437201488,0.04006333707273216,7901.447437201488
fair_F2,32767,32768,2.220446049250313e-16,0.005524356023646303,15566.526909982933,0.04575799266983685,15566.526909982933,0.04575799266983685,15566.526909982933
biased_F2_p_0.3_centered_variance_normalized,32767,32768,1.1102230246251565e-16,0.001205513316396978,13186.034090628535,0.035730081566364195,13186.034090628535,0.035730081566364195,13186.034090628535
uniform_F3_observable_minus1_0_sqrt2,31,528,0.0,0.006075267801887641,10610.151237718947,0.24415328523376106,10610.151237718947,0.24415328523376129,10610.151237718947
uniform_F3_observable_minus1_0_sqrt2,127,8256,1.1102230246251565e-16,0.000364148096914807,8489.581660603673,0.07704514755042646,8489.581660603673,0.07704514755042646,8489.581660603673
uniform_F3_observable_minus1_0_sqrt2,511,131328,2.220446049250313e-16,0.00013749009914048896,6098.762732787996,0.01597904040361125,6098.762732787996,0.01597904040361125,6098.762732787996
uniform_K3_regular_simplex_radial_dimension_2,31,528,0.0,0.1796053020267749,5094.0998209736035,1.4948467983776843,904.1380126138056,0.1505743547492452,5094.0998209736035
uniform_K3_regular_simplex_radial_dimension_2,127,8256,1.1102230246251565e-16,0.08873565094161137,2025.1067390081532,1.1682932494782539,360.9416547627085,0.03837091507137115,2025.1067390081532
uniform_K3_regular_simplex_radial_dimension_2,511,131328,2.220446049250313e-16,0.04423739552038088,842.8731922967631,1.5792527232235896,149.38386562827753,0.009958356090575526,842.8731922967631
uniform_K4_regular_simplex_radial_dimension_3,31,5984,0.0,0.1796053020267749,3480.196693035822,2.604458781835348,192.39308850718908,0.04991321817002073,3480.196693035822
uniform_K4_regular_simplex_radial_dimension_3,63,45760,0.0,0.12598815766974242,1697.2438379635528,2.5642804047042347,94.32015845851372,0.02467102525246806,1697.2438379635528
uniform_K4_regular_simplex_radial_dimension_3,127,357760,1.1102230246251565e-16,0.08873565094161137,832.7367442149806,2.550624390601298,44.995951987576674,0.010091497520062097,832.7367442149806
