n,characteristic_max_abs_error_t_le_4,local_clt_max_relative_error_abs_z_le_3,local_clt_median_relative_error_abs_z_le_3
31,0.0058970141503290885,0.034201734631367,0.009127500963140633
127,0.0014253329092882572,0.016663757806630985,0.002105759998379697
511,0.00035340197946898133,0.004492556333673292,0.0005423280724496937
2047,8.816918044324273e-05,0.001175331680592806,0.00013851027209133004
8191,2.203099212871873e-05,0.0003011390114016077,3.4922569929152214e-05
32767,5.507042013824792e-06,7.624965194186206e-05,8.729103654903092e-06
