name,atom_count,parry_exponent,degenerate,product_error,conjugacy_error,gauge_residual,eigenvalue_residual
multiplicative_atoms,97,1.3835743437973604,False,6.353424509524692e-16,0.0,1.1102230246251565e-16,1.665695898455916e-16
shifted_atoms_p_plus_1,97,1.2282230288956015,False,6.121561103240073e-16,0.0,1.2412670766236366e-16,3.330680367628952e-16
additive_singleton_atom,1,,True,0.0,0.0,0.0,4.440892098500626e-16
matched_random_atoms_seed_00,97,0.9774347179772542,False,6.595550644753479e-16,0.0,8.441528768080324e-17,2.7755575615628914e-16
matched_random_atoms_seed_01,97,0.9988112093203823,False,6.632124950076061e-16,0.0,1.1443916996305594e-16,2.220446049250313e-16
matched_random_atoms_seed_02,97,0.9955946817383428,False,6.13528868337327e-16,0.0,5.721958498152797e-17,2.237726045655905e-16
matched_random_atoms_seed_03,97,1.085870264625339,False,7.509254068233544e-16,0.0,1.1123893155135927e-16,2.237726045655905e-16
matched_random_atoms_seed_04,97,0.9244039414471517,False,7.115962781126166e-16,0.0,7.850462293418876e-17,1.1188630228279524e-16
matched_random_atoms_seed_05,97,0.9520174825441786,False,6.3468598225586e-16,0.0,6.938893903907228e-17,1.6667795129466247e-16
matched_random_atoms_seed_06,97,0.9501403098497173,False,3.9179359685914152e-16,0.0,1.4946834900704541e-16,2.2247786310271853e-16
matched_random_atoms_seed_07,97,0.9643895043335861,False,4.4379280423681124e-16,0.0,8.355534721610419e-17,1.1188630228279524e-16
matched_random_atoms_seed_08,97,1.1391764657481842,False,6.034979543394956e-16,0.0,1.5700924586837752e-16,2.220446049250313e-16
matched_random_atoms_seed_09,97,1.0210273462664998,False,5.996746820154194e-16,0.0,8.441528768080324e-17,2.220446049250313e-16
matched_random_atoms_seed_10,97,0.9871902422626051,False,5.343276861161442e-16,0.0,1.3877787807814457e-16,2.7790248428167774e-16
matched_random_atoms_seed_11,97,1.043576857942443,False,4.40320700048297e-16,0.0,5.551115123125783e-17,2.220446049250313e-16
matched_random_atoms_seed_12,97,1.055302486453742,False,6.483276222734292e-16,0.0,1.2412670766236366e-16,2.2247786310271853e-16
matched_random_atoms_seed_13,97,0.9334652567832445,False,5.954348940022245e-16,0.0,1.665695898455916e-16,2.2247786310271853e-16
matched_random_atoms_seed_14,97,0.9267099035859427,False,5.855227242061994e-16,0.0,8.441528768080324e-17,1.3895124214083887e-16
matched_random_atoms_seed_15,97,1.1360090084934846,False,6.517108187053594e-16,0.0,8.427703712348019e-17,3.3422138886441676e-16
matched_random_atoms_seed_16,97,1.0182170610324117,False,3.926794760032876e-16,0.0,1.2412670766236366e-16,3.3306690738754696e-16
matched_random_atoms_seed_17,97,0.9276601443856582,False,5.439867120731812e-16,0.0,8.777083671441753e-17,1.6711069443220838e-16
matched_random_atoms_seed_18,97,0.9423400308976885,False,4.863141206077098e-16,0.0,5.594315114139762e-17,1.1102230246251565e-16
matched_random_atoms_seed_19,97,1.2468513701610981,False,4.425501096258848e-16,0.0,2.237726045655905e-16,3.3335590258932494e-16
matched_random_atoms_seed_20,97,1.045559214791828,False,5.858044403831616e-16,0.0,1.1443916996305594e-16,1.6667795129466247e-16
matched_random_atoms_seed_21,97,1.0809789137014474,False,5.834308703674139e-16,0.0,1.1150912609939193e-16,1.6653345369377348e-16
matched_random_atoms_seed_22,97,0.9352479373478746,False,4.2760238266318875e-16,0.0,5.835586632320839e-17,1.3947004136484323e-16
matched_random_atoms_seed_23,97,1.0042473547041437,False,4.3642238001969363e-16,0.0,6.206335383118183e-17,1.1443916996305594e-16
matched_random_atoms_seed_24,97,0.9072218346663183,False,7.501832549273427e-16,0.0,5.55149627486669e-17,8.441528768080326e-17
matched_random_atoms_seed_25,97,1.0344235015548888,False,7.516718917762393e-16,0.0,1.2412670766236366e-16,2.220446049250313e-16
matched_random_atoms_seed_26,97,1.2264070642868634,False,5.445456169962142e-16,0.0,1.6883057536160646e-16,4.440892098500626e-16
matched_random_atoms_seed_27,97,1.0279543695006126,False,6.787215643787512e-16,0.0,5.928593550334435e-17,2.220446049250313e-16
matched_random_atoms_seed_28,97,0.9348715926495352,False,4.002267769327567e-16,0.0,6.206335383118183e-17,1.6883057536160649e-16
matched_random_atoms_seed_29,97,1.1188409946765587,False,7.766814933589702e-16,0.0,1.1188630228279524e-16,2.7755575615628914e-16
matched_random_atoms_seed_30,97,0.988547970251031,False,5.946522090398098e-16,0.0,8.777083671441753e-17,1.6653345369377348e-16
matched_random_atoms_seed_31,97,1.027723150992358,False,5.451461529006463e-16,0.0,2.237726045655905e-16,1.1443916996305594e-16
