control,n,sigma,t,empirical_re,empirical_im,completed_gamma_target_re,completed_gamma_target_im,native_dimension,native_radial_target_re,native_radial_target_im,relative_error,native_radial_relative_error
fair_F2,31,0.25,0.0,3.627232987904813,0.0,6.529478786631148,0.0,1,6.529478786631151,0.0,0.4444835328462311,0.44448353284623143
fair_F2,31,0.25,2.0,0.2844565361866772,0.969071160419934,-0.42350573011318954,-0.16788114598323828,1,-0.42350573011318954,-0.16788114598323828,2.93997390186402,2.93997390186402
fair_F2,31,0.25,6.0,-2.547531313836943,0.1927879674328049,-0.010709747565107109,0.00725523954933623,1,-0.010709747565107109,0.00725523954933623,196.63103947072466,196.63103947072466
fair_F2,31,0.25,12.0,3.031068377209036,-0.15372263399601968,-8.140533749949723e-05,-3.732818018299887e-05,1,-8.140533749949723e-05,-3.732818018299887e-05,33890.010578864334,33890.010578864334
fair_F2,31,0.5,0.0,2.259067654298156,0.0,2.7232882163306718,0.0,1,2.7232882163306718,0.0,0.17046325073076596,0.17046325073076596
fair_F2,31,0.5,2.0,0.04286440192066138,0.2867744771408386,-0.3225735154575873,-0.22819168658441463,1,-0.3225735154575873,-0.22819168658441463,1.5981068024445049,1.5981068024445049
fair_F2,31,0.5,6.0,-1.3980474425901193,0.10552525208061261,-0.011916643170136196,0.004842505907298266,1,-0.011916643170136196,0.004842505907298266,108.04515000271454,108.04515000271454
fair_F2,31,0.5,12.0,1.768361466605121,-0.042744842708314384,-7.830052174713392e-05,-5.742749343687102e-05,1,-7.830052174713392e-05,-5.742749343687102e-05,18217.404639895725,18217.404639895725
fair_F2,31,1.0,0.0,1.0,0.0,0.9999999999999986,0.0,1,0.9999999999999987,0.0,1.4432899320127057e-15,1.3322676295501896e-15
fair_F2,31,1.0,2.0,-0.04610246506115176,-0.1582263042100832,-0.1482128284599034,-0.25357384686510887,1,-0.1482128284599034,-0.25357384686510887,0.47565537626390286,0.47565537626390286
fair_F2,31,1.0,6.0,-0.43948054209480825,0.03409888287698248,-0.012702407914335976,-0.00021878589380265343,1,-0.012702407914335988,-0.00021878589380265365,33.70165547424008,33.70165547424004
fair_F2,31,1.0,12.0,0.6491751798011653,0.01251900019696097,-5.868335392333621e-05,-9.788303348623909e-05,1,-5.868335392333621e-05,-9.788303348623909e-05,5689.802871937562,5689.802871937562
fair_F2,31,1.5,0.0,0.5269559611241029,0.0,0.5193036689589141,0.0,1,0.5193036689589142,0.0,0.014735678992081684,0.014735678992081468
fair_F2,31,1.5,2.0,-0.0083040989087236,-0.20271384516583107,-0.03734735441642855,-0.2155221141113438,1,-0.037347354416428565,-0.21552211411134387,0.14511740102156667,0.1451174010215668
fair_F2,31,1.5,6.0,-0.14906190626823407,0.009627850916098985,-0.011559917380324742,-0.004879510315897615,1,-0.011559917380324742,-0.004879510315897615,11.019286641783197,11.019286641783197
fair_F2,31,1.5,12.0,0.26390162778241666,0.009321095824018188,-2.0388338117314626e-05,-0.00013257629053293161,1,-2.0388338117314626e-05,-0.00013257629053293161,1968.8491322798257,1968.8491322798257
fair_F2,31,2.0,0.0,0.32088683189937206,0.0,0.3183098861837907,0.0,1,0.31830988618379075,0.0,0.008095713728770122,0.008095713728769946
fair_F2,31,2.0,2.0,0.028534417582879085,-0.16571080754451345,0.020603838677028995,-0.16473550821746696,1,0.020603838677029,-0.16473550821746702,0.048128980269640735,0.04812898026964064
fair_F2,31,2.0,6.0,-0.055417680824598456,-0.0016146490764164766,-0.008992170836832014,-0.008559532122861287,1,-0.008992170836832014,-0.008559532122861287,3.7811701378901907,3.7811701378901907
fair_F2,31,2.0,12.0,0.1171427789901821,0.0017131883612744696,3.5106855416458105e-05,-0.0001537630992552455,1,3.5106855416458105e-05,-0.0001537630992552455,742.5982212702946,742.5982212702946
fair_F2,31,3.0,0.0,0.15915494309189565,0.0,0.15915494309189507,0.0,1,0.15915494309189512,0.0,3.66226192290907e-15,3.3134750731082047e-15
fair_F2,31,3.0,2.0,0.05718915325246489,-0.08944412008971589,0.05712625805579406,-0.08753513972545902,1,0.05712625805579406,-0.08753513972545902,0.018273015605207207,0.018273015605207207
fair_F2,31,3.0,6.0,-0.007843969646718456,-0.011013910516693407,-0.0018127258698713616,-0.012164726908894578,1,-0.0018127258698713616,-0.012164726908894578,0.4992301752229332,0.4992301752229332
fair_F2,31,3.0,12.0,0.02742039696442731,-0.0034797541235976814,0.00017760307763586375,-0.000127655518873486,1,0.00017760307763586375,-0.000127655518873486,125.49446713008305,125.49446713008305
biased_F2_p_0.3_centered_variance_normalized,31,0.25,0.0,3.8387685937980724,0.0,6.529478786631148,0.0,1,6.529478786631151,0.0,0.41208652034251175,0.4120865203425121
biased_F2_p_0.3_centered_variance_normalized,31,0.25,2.0,0.5959121685673823,0.23082534927681828,-0.42350573011318954,-0.16788114598323828,1,-0.42350573011318954,-0.16788114598323828,2.4027514002331305,2.4027514002331305
biased_F2_p_0.3_centered_variance_normalized,31,0.25,6.0,1.5788629988122933,0.15375697394982524,-0.010709747565107109,0.00725523954933623,1,-0.010709747565107109,0.00725523954933623,123.40162509585997,123.40162509585997
biased_F2_p_0.3_centered_variance_normalized,31,0.25,12.0,1.2718346029090575,0.5640275844136058,-8.140533749949723e-05,-3.732818018299887e-05,1,-8.140533749949723e-05,-3.732818018299887e-05,15536.48256025832,15536.48256025832
biased_F2_p_0.3_centered_variance_normalized,31,0.5,0.0,2.3221149258837226,0.0,2.7232882163306718,0.0,1,2.7232882163306718,0.0,0.14731209426943637,0.14731209426943637
biased_F2_p_0.3_centered_variance_normalized,31,0.5,2.0,0.12414507131661273,-0.06936487359702125,-0.3225735154575873,-0.22819168658441463,1,-0.3225735154575873,-0.22819168658441463,1.199902001314382,1.199902001314382
biased_F2_p_0.3_centered_variance_normalized,31,0.5,6.0,0.7254774813894631,0.003688147448039525,-0.011916643170136196,0.004842505907298266,1,-0.011916643170136196,0.004842505907298266,57.326921347693954,57.326921347693954
biased_F2_p_0.3_centered_variance_normalized,31,0.5,12.0,0.6688053675398625,0.1997944609263781,-7.830052174713392e-05,-5.742749343687102e-05,1,-7.830052174713392e-05,-5.742749343687102e-05,7189.331508312061,7189.331508312061
biased_F2_p_0.3_centered_variance_normalized,31,1.0,0.0,1.0,0.0,0.9999999999999986,0.0,1,0.9999999999999987,0.0,1.4432899320127057e-15,1.3322676295501896e-15
biased_F2_p_0.3_centered_variance_normalized,31,1.0,2.0,-0.059800844501765565,-0.2361169243906995,-0.1482128284599034,-0.25357384686510887,1,-0.1482128284599034,-0.25357384686510887,0.3068275680618808,0.3068275680618808
biased_F2_p_0.3_centered_variance_normalized,31,1.0,6.0,0.13650967626964317,-0.042567892092078785,-0.012702407914335976,-0.00021878589380265343,1,-0.012702407914335988,-0.00021878589380265365,12.208899601568147,12.208899601568138
biased_F2_p_0.3_centered_variance_normalized,31,1.0,12.0,0.2043347564087263,0.015222679527958333,-5.868335392333621e-05,-9.788303348623909e-05,1,-5.868335392333621e-05,-9.788303348623909e-05,1795.964011434116,1795.964011434116
biased_F2_p_0.3_centered_variance_normalized,31,1.5,0.0,0.5248216707636721,0.0,0.5193036689589141,0.0,1,0.5193036689589142,0.0,0.010625770882421018,0.010625770882420801
biased_F2_p_0.3_centered_variance_normalized,31,1.5,2.0,-0.019126916843132155,-0.21765874555150191,-0.03734735441642855,-0.2155221141113438,1,-0.037347354416428565,-0.21552211411134387,0.08387026329549228,0.08387026329549228
biased_F2_p_0.3_centered_variance_normalized,31,1.5,6.0,0.01215778549448248,-0.027920937108549662,-0.011559917380324742,-0.004879510315897615,1,-0.011559917380324742,-0.004879510315897615,2.6353450755804917,2.6353450755804917
biased_F2_p_0.3_centered_variance_normalized,31,1.5,12.0,0.07289987295132201,0.0004746951591274723,-2.0388338117314626e-05,-0.00013257629053293161,1,-2.0388338117314626e-05,-0.00013257629053293161,543.6528358933512,543.6528358933512
biased_F2_p_0.3_centered_variance_normalized,31,2.0,0.0,0.3202092098881566,0.0,0.3183098861837907,0.0,1,0.31830988618379075,0.0,0.005966901396424886,0.005966901396424711
biased_F2_p_0.3_centered_variance_normalized,31,2.0,2.0,0.024192315421682074,-0.16778210955813228,0.020603838677028995,-0.16473550821746696,1,0.020603838677029,-0.16473550821746702,0.028354158765514434,0.028354158765514174
biased_F2_p_0.3_centered_variance_normalized,31,2.0,6.0,-0.00925280066979322,-0.01799088356673075,-0.008992170836832014,-0.008559532122861287,1,-0.008992170836832014,-0.008559532122861287,0.7599823958422245,0.7599823958422245
biased_F2_p_0.3_centered_variance_normalized,31,2.0,12.0,0.03044985346454227,0.0026639881946279517,3.5106855416458105e-05,-0.0001537630992552455,1,3.5106855416458105e-05,-0.0001537630992552455,193.66600324685473,193.66600324685473
biased_F2_p_0.3_centered_variance_normalized,31,3.0,0.0,0.1591549430918954,0.0,0.15915494309189507,0.0,1,0.15915494309189512,0.0,2.0927210988051826e-15,1.7439342490043182e-15
biased_F2_p_0.3_centered_variance_normalized,31,3.0,2.0,0.056580578286247005,-0.08900541074578386,0.05712625805579406,-0.08753513972545902,1,0.05712625805579406,-0.08753513972545902,0.015003526474844256,0.015003526474844256
biased_F2_p_0.3_centered_variance_normalized,31,3.0,6.0,-0.0045926837912004075,-0.013566571862114128,-0.0018127258698713616,-0.012164726908894578,1,-0.0018127258698713616,-0.012164726908894578,0.253142554806914,0.253142554806914
biased_F2_p_0.3_centered_variance_normalized,31,3.0,12.0,0.007746542560654157,0.002339913144583535,0.00017760307763586375,-0.000127655518873486,1,0.00017760307763586375,-0.000127655518873486,36.39806575393899,36.39806575393899
fair_F2,127,0.25,0.0,4.1044081547520275,0.0,6.529478786631148,0.0,1,6.529478786631151,0.0,0.3714034015769157,0.37140340157691604
fair_F2,127,0.25,2.0,0.6270423561406183,-0.6114263785963922,-0.42350573011318954,-0.16788114598323828,1,-0.42350573011318954,-0.16788114598323828,2.5031311653369195,2.5031311653369195
fair_F2,127,0.25,6.0,0.8544906813428401,-2.0120514268637972,-0.010709747565107109,0.00725523954933623,1,-0.010709747565107109,0.00725523954933623,169.82636764597694,169.82636764597694
fair_F2,127,0.25,12.0,-1.665199866867744,-2.1577409941709096,-8.140533749949723e-05,-3.732818018299887e-05,1,-8.140533749949723e-05,-3.732818018299887e-05,30433.48287525825,30433.48287525825
fair_F2,127,0.5,0.0,2.399643010680081,0.0,2.7232882163306718,0.0,1,2.7232882163306718,0.0,0.11884353764313155,0.11884353764313155
fair_F2,127,0.5,2.0,0.08294793937927278,-0.42811318529006387,-0.3225735154575873,-0.22819168658441463,1,-0.3225735154575873,-0.22819168658441463,1.1442510616059696,1.1442510616059696
fair_F2,127,0.5,6.0,0.38346782878539276,-0.9221327225985874,-0.011916643170136196,0.004842505907298266,1,-0.011916643170136196,0.004842505907298266,78.34699007291792,78.34699007291792
fair_F2,127,0.5,12.0,-0.7991922248347826,-1.084488720625223,-7.830052174713392e-05,-5.742749343687102e-05,1,-7.830052174713392e-05,-5.742749343687102e-05,13872.576302147248,13872.576302147248
fair_F2,127,1.0,0.0,1.0,0.0,0.9999999999999986,0.0,1,0.9999999999999987,0.0,1.4432899320127057e-15,1.3322676295501896e-15
fair_F2,127,1.0,2.0,-0.09130166208442625,-0.2967264806564108,-0.1482128284599034,-0.25357384686510887,1,-0.1482128284599034,-0.25357384686510887,0.24316847880285788,0.24316847880285788
