form,index,window,target,predicted,percent_error
A,1,train,14.1347,14.1347,0.0
A,2,train,21.022,16.781678394412417,20.170876251486927
A,3,train,25.0108,25.090853338162415,0.3200750802150067
A,4,train,30.4248,29.60502024354637,2.694445835153003
A,5,train,32.935,35.36597948902029,7.381143127433696
A,6,train,37.5861,36.719527649291315,2.305566022302624
A,7,train,40.9187,40.97551432782104,0.13884685442361835
A,8,train,43.327,42.193058456214565,2.617170687528407
A,9,train,48.0051,43.175016869675474,10.061604142735927
A,10,train,49.7738,46.92272187762231,5.7280700335873345
A,11,train,52.9703,54.145446655485664,2.2185010382906305
A,12,train,56.4462,54.38795486591146,3.6463838736505507
A,13,train,59.347,58.68777541933823,1.1107968063453437
A,14,train,60.8317,61.361682013096164,0.8712267010393698
A,15,train,65.1125,61.82889111184989,5.042977751046428
A,16,train,67.0798,65.98093252326052,1.6381496020254762
A,17,train,69.5464,66.93859425915586,3.749735055796047
A,18,train,72.0671,69.00155853948078,4.253732230822683
A,19,train,75.7046,71.08554744350383,6.101415972736362
A,20,train,77.1448,78.13559065996539,1.2843259169320345
A,21,train,79.3373,80.79529869282231,1.8377215922678425
A,22,train,82.9103,84.79914214474044,2.278175503816096
A,23,train,84.7354,87.05573364704686,2.7383285463299467
A,24,train,87.4252,89.58734357981231,2.47313541154302
A,25,train,88.8091,92.36353982579135,4.002337402125851
A,26,train,92.4918,99.32363043840432,7.386417432036488
A,27,train,94.6513,100.3638159229433,6.035327484084525
A,28,train,95.8706,100.82778220020661,5.170701132783791
A,29,train,98.8311,101.25043175801616,2.4479457964306337
A,30,train,101.3178,104.63354198460486,3.2726154580980396
A,31,train,103.7255,104.76244720245465,0.9997032575930271
A,32,train,105.4466,108.50671561870811,2.902052431001199
A,33,train,107.1686,108.81490136797782,1.5361788508740686
A,34,train,111.0295,114.32786366476279,2.970709284255796
A,35,train,111.8746,116.01265576401617,3.698834019532738
A,36,train,114.3202,116.12093806233895,1.5751704968491578
A,37,train,116.2266,116.94550138304805,0.6185342968374271
A,38,train,118.7907,119.76854017923581,0.8231622334373082
A,39,train,121.3701,121.7160612441361,0.28504651815900783
A,40,train,122.9468,123.32379663005075,0.3066339506605742
A,41,train,124.2568,124.10428770829643,0.12273959389230453
A,42,train,127.5166,125.96821379560068,1.2142624602595438
A,43,train,129.5787,130.06947118832971,0.37874371970834464
A,44,train,131.0876,132.12324293396637,0.790038824394037
A,45,train,133.4977,132.31721810438998,0.8842713362177993
A,46,train,134.7565,136.16767307917092,1.0472022345274152
A,47,train,138.116,137.7334361779492,0.2769873309760105
A,48,train,139.7362,141.21478590614822,1.0581266029477154
A,49,train,141.1237,141.4746105813084,0.24865460678000764
A,50,train,143.1118,143.4549599398659,0.23978451802429912
A,51,train,146.0009,147.4674426196598,1.0044750543728187
A,52,train,147.4427,147.85084240534883,0.27681425078951094
A,53,train,150.0515,148.58944985411188,0.9743655650814073
A,54,train,150.9252,151.98174718099654,0.7000468980637733
A,55,train,153.0246,153.68283330156015,0.4301486829961713
A,56,train,156.1129,158.30526177945347,1.4043437662444793
A,57,train,157.5975,160.40266079771126,1.7799525993186864
A,58,train,158.8499,161.14213709482223,1.4430207981385201
A,59,train,161.1889,162.08965852645434,0.5588216846534431
A,60,train,163.0306,165.37332760200258,1.4369864319965595
A,61,train,165.5373,170.16658291773814,2.796519526256712
A,62,train,167.1844,170.22696866058854,1.8198878965911465
A,63,train,169.0945,170.44253913121818,0.7972105131853326
A,64,train,169.9119,170.58693118670297,0.39728305474952996
A,65,train,173.4115,171.14590841906065,1.3064828923914178
A,66,train,174.7541,172.57855212204174,1.2449195057273346
A,67,train,176.4414,175.2846579459243,0.6555955994883813
A,68,train,178.3774,180.4567342257517,1.165693762635678
A,69,train,179.9164,184.0463515850587,2.2954836718935443
A,70,train,182.207,186.03083015270312,2.098618687922596
A,71,train,184.8744,186.48511289933023,0.8712471274174379
A,72,train,185.9589,186.57371495011802,0.3306187281802684
A,73,train,187.2289,186.91735243778837,0.16639929103447357
A,74,train,189.4161,187.128782388348,1.207562404490439
A,75,train,192.0266,187.69286072361362,2.256843206298701
A,76,train,193.0797,188.12395653326632,2.5666828085674873
A,77,train,195.2658,189.035423430524,3.190715716462392
A,78,train,196.8764,189.8364919729626,3.575800871530259
A,79,train,198.0153,190.4755333443709,3.807668728441241
A,80,train,201.2647,191.6925901286054,4.75598049304951
A,81,train,202.4935,194.04078037243147,4.174316522539509
A,82,train,204.1896,194.65411658406154,4.669916301289817
A,83,train,205.3946,198.0976965764925,3.5526267114653947
A,84,train,207.9062,201.93792173742673,2.870659106160989
A,85,train,209.5765,202.45663085270854,3.3972650308080663
A,86,train,211.3289,205.2221572775552,2.8896865135079994
A,87,train,213.3479,206.5180231161906,3.2012862014622216
A,88,train,214.547,213.49127296281284,0.49207261680990827
A,89,train,216.1695,213.88878591032605,1.0550582249919391
A,90,train,219.0675,215.57248701566343,1.5954046055834703
A,91,train,220.7149,217.44962604868934,1.4794080287786013
A,92,train,221.3952,219.8848057948969,0.682216328584855
A,93,train,224.007,220.61259258874847,1.5153130979172682
A,94,train,224.9833,220.79488108554781,1.8616576939053697
A,95,train,227.4214,228.67319031246873,0.5504276697218151
A,96,train,229.3374,229.1367587944184,0.08748734640821962
A,97,train,231.2882,229.3477108684589,0.8389918428787483
A,98,train,231.9872,229.47813059755785,1.081555104092877
A,99,train,233.6934,229.92244858263572,1.6136319713625944
A,100,train,236.5242,232.6385984271674,1.6427923962252482
A,101,extrapolation,237.7698204809252,235.18292580795074,1.0879827674269522
A,102,extrapolation,239.55547757332764,235.43141374645245,1.7215485400924784
A,103,extrapolation,241.04915779621658,237.73597784044446,1.3744831079530602
A,104,extrapolation,242.8232719342226,238.4221931927356,1.8124616748757048
A,105,extrapolation,244.07089849707816,240.72707042559753,1.37002325638616
A,106,extrapolation,247.1369900748975,241.01654837982744,2.476538090560707
A,107,extrapolation,248.10199006014847,241.66622794027953,2.593998588366296
A,108,extrapolation,249.5736896447072,242.58883638792864,2.798713785384266
A,109,extrapolation,251.014947795016,244.5362839330065,2.580987275427168
A,110,extrapolation,253.06998674799948,245.96937680074984,2.8057890382395447
A,111,extrapolation,255.30625645491403,248.67451329787028,2.597563901930815
A,112,extrapolation,256.38071369443446,250.9182585089709,2.130603003147092
A,113,extrapolation,258.6104394915314,252.15265957399495,2.497107205043017
A,114,extrapolation,259.874406989678,252.56967291352365,2.810870897511845
A,115,extrapolation,260.8050845045969,254.38702565581403,2.4608641587544433
A,116,extrapolation,263.57389390487015,255.31730856082572,3.1325505048024276
A,117,extrapolation,265.55785183887633,256.616769176235,3.3669057799376354
A,118,extrapolation,266.6149737815011,258.61569752876864,3.000310199864501
A,119,extrapolation,267.92191508282406,258.8118379527284,3.400273220381917
A,120,extrapolation,269.9704490239976,260.6416222573214,3.4554992223785916
A,121,extrapolation,271.494055641645,261.2571039737519,3.770598823498819
A,122,extrapolation,273.4596091884033,261.81446900463476,4.258449801171729
A,123,extrapolation,275.58749264934386,263.09758044915685,4.5321041532458475
A,124,extrapolation,276.4520495031329,265.7054572980899,3.8873259302500487
A,125,extrapolation,278.25074352984194,268.3731457342809,3.549890889869868
A,126,extrapolation,279.22925092774517,268.81265999589226,3.7304798466649043
A,127,extrapolation,282.4651147650521,269.0328967412215,4.755354669196288
A,128,extrapolation,283.2111857332339,269.36542798456503,4.888845655167957
A,129,extrapolation,284.83596398090475,269.971844699109,5.218484026403433
A,130,extrapolation,286.6674453630029,270.8793462381029,5.507461478546244
A,131,extrapolation,287.9119205014222,271.29880660754696,5.770207035867814
A,132,extrapolation,289.5798549292188,275.41663759830845,4.8909539423494195
A,133,extrapolation,291.8462913290674,277.7508340849205,4.829753765229034
A,134,extrapolation,293.5584341393563,283.7730556104252,3.3333665093355167
A,135,extrapolation,294.9653696192655,283.95322474494293,3.7333687302129093
A,136,extrapolation,295.57325487895827,284.7414758480012,3.6646681836598707
A,137,extrapolation,297.97927706194344,287.3020545865886,3.583209738821959
A,138,extrapolation,299.8403260537213,287.782079714611,4.021555905375414
A,139,extrapolation,301.64932546219416,288.29200545927984,4.428095432485361
A,140,extrapolation,302.6967495896069,288.81685786214126,4.585411553405792
A,141,extrapolation,304.8643713408573,288.82321538605436,5.2617352051506
A,142,extrapolation,305.7289126020368,290.3001495730324,5.046550193009657
A,143,extrapolation,307.2194961281701,290.51772917732336,5.4364280787306685
A,144,extrapolation,310.1094631467019,291.4549656512219,6.015455738174357
A,145,extrapolation,311.165141530356,292.3673287179109,6.041104964391156
A,146,extrapolation,312.4278011806009,299.7947645214591,4.043505927258754
A,147,extrapolation,313.9852857311589,300.6982040162018,4.231752989321217
A,148,extrapolation,315.47561608947575,301.56454747755146,4.409554305451871
A,149,extrapolation,317.7348059423702,302.6066190060994,4.761262113353338
A,150,extrapolation,318.8531042563166,304.0295046323952,4.649037260745996
B,1,train,14.1347,14.1347,0.0
B,2,train,21.022,20.41732057007946,2.876412472269705
B,3,train,25.0108,22.535911948651698,9.895277445536735
B,4,train,30.4248,31.24315735075632,2.689770682983352
B,5,train,32.935,35.18677654296746,6.837032163253242
B,6,train,37.5861,54.720788819330394,45.587833851690895
B,7,train,40.9187,55.92325946257147,36.669198832249
B,8,train,43.327,57.8460283298361,33.51034765812566
B,9,train,48.0051,58.65693462280939,22.188964553369097
B,10,train,49.7738,58.9515530436077,18.438923778388833
B,11,train,52.9703,69.26483106344689,30.76163635744349
B,12,train,56.4462,75.2998869712049,33.40116247188456
B,13,train,59.347,75.9735615621194,28.01584168048831
B,14,train,60.8317,77.54431813675839,27.473534582723143
B,15,train,65.1125,78.33353798096323,20.304915309599895
B,16,train,67.0798,79.1878448297297,18.05021009265038
B,17,train,69.5464,82.09982062267272,18.050424784996373
B,18,train,72.0671,87.68131642484946,21.666219987830036
B,19,train,75.7046,87.69157446515044,15.833878608632022
B,20,train,77.1448,94.06796053103686,21.93687783368011
B,21,train,79.3373,95.10792850397229,19.8779495949223
B,22,train,82.9103,96.1842368520622,16.009997373139637
B,23,train,84.7354,96.90490816014476,14.361775786914038
B,24,train,87.4252,103.65130952030654,18.559991307204943
B,25,train,88.8091,106.58067604485902,20.010985411246164
B,26,train,92.4918,107.58664454213215,16.32019761982376
B,27,train,94.6513,110.28088280079331,16.51280310021447
B,28,train,95.8706,111.53015151042592,16.334049761267718
B,29,train,98.8311,112.46640683291108,13.796574998063432
B,30,train,101.3178,117.66555268185598,16.13512401755267
B,31,train,103.7255,118.88437396899411,14.614413976306805
B,32,train,105.4466,119.84601293308924,13.655644594599767
B,33,train,107.1686,121.46084097870737,13.336220664175299
B,34,train,111.0295,126.65778418633697,14.07579443871851
B,35,train,111.8746,126.81293918458853,13.35275315807925
B,36,train,114.3202,127.47596654454027,11.507823240809822
B,37,train,116.2266,127.88424436001291,10.030100131994663
B,38,train,118.7907,128.24300083674703,7.957105090505426
B,39,train,121.3701,128.38584784291749,5.78045815478235
B,40,train,122.9468,128.98025423540474,4.907369883075239
B,41,train,124.2568,130.73062140910775,5.210033904871007
B,42,train,127.5166,130.95047002496852,2.6928807896136875
B,43,train,129.5787,133.47651764553615,3.0080697256077973
B,44,train,131.0876,134.0285885169852,2.243529149198846
B,45,train,133.4977,134.7268262833172,0.9207097075958504
B,46,train,134.7565,134.98081313370233,0.1664581179403877
B,47,train,138.116,135.08332010278392,2.195748426841277
B,48,train,139.7362,135.619463995831,2.9460769680075636
B,49,train,141.1237,136.1411635372916,3.530616376064703
B,50,train,143.1118,137.0463828035928,4.2382369562867614
B,51,train,146.0009,137.50786837668224,5.817109088586277
B,52,train,147.4427,137.58354895405463,6.686767839944173
B,53,train,150.0515,138.84649305102118,7.467440811307331
B,54,train,150.9252,139.29718205489004,7.704490664985004
B,55,train,153.0246,139.8538212595929,8.606968252429404
B,56,train,156.1129,140.60676547532782,9.932641392653764
B,57,train,157.5975,140.8269379147081,10.64138840101644
B,58,train,158.8499,141.23512181269743,11.0889450904927
B,59,train,161.1889,141.7646414152006,12.050617992181467
B,60,train,163.0306,143.8579543654246,11.760151551043418
B,61,train,165.5373,144.76652386752994,12.547489981091903
B,62,train,167.1844,145.2272470238573,13.133493900233937
B,63,train,169.0945,145.56230797475052,13.91659221633435
B,64,train,169.9119,146.19582180740406,13.957867690606685
B,65,train,173.4115,147.62836246032862,14.868182063860454
B,66,train,174.7541,150.33264282124017,13.974754914911767
B,67,train,176.4414,150.99136633910987,14.424071482594286
B,68,train,178.3774,152.4043999080414,14.560701126913274
B,69,train,179.9164,154.87527629488545,13.91819962222152
B,70,train,182.207,156.7959680028542,13.946243556584426
B,71,train,184.8744,159.11180313218154,13.935188900041581
B,72,train,185.9589,159.34121487770065,14.313746275278758
B,73,train,187.2289,160.39921464740473,14.329884623899023
B,74,train,189.4161,161.45989407045178,14.759149792202573
B,75,train,192.0266,162.27197284154136,15.495054934294856
B,76,train,193.0797,162.82295566757014,15.670598375919303
B,77,train,195.2658,163.6210328828443,16.20599568237536
B,78,train,196.8764,163.63454609810128,16.88463111977805
B,79,train,198.0153,163.82845636159442,17.264748551453135
B,80,train,201.2647,164.05928304141077,18.485813438019303
B,81,train,202.4935,166.04341988516464,18.000617360475953
B,82,train,204.1896,166.90096855266466,18.261768203344023
B,83,train,205.3946,167.66537912833041,18.36913963252665
B,84,train,207.9062,167.6752535998459,19.3505274975706
B,85,train,209.5765,167.77316577751753,19.94657522312019
B,86,train,211.3289,168.20182025081704,20.407563636200713
B,87,train,213.3479,168.7249515333801,20.915578951852773
B,88,train,214.547,168.74368193088605,21.348850400664627
B,89,train,216.1695,169.23173965009346,21.713405614532363
B,90,train,219.0675,169.67065831409076,22.548685535695274
B,91,train,220.7149,172.94566409082145,21.64295926970882
B,92,train,221.3952,174.2801965522467,21.280950737754605
B,93,train,224.007,174.63252781080826,22.0414862880141
B,94,train,224.9833,174.69991975867322,22.349827850034554
B,95,train,227.4214,174.793886414162,23.140968082088147
B,96,train,229.3374,176.24660681517335,23.149644665382382
B,97,train,231.2882,178.75168956796318,22.714738768357748
B,98,train,231.9872,178.82989424339826,22.91389600659077
B,99,train,233.6934,179.5444340886532,23.17094360018161
B,100,train,236.5242,179.92482783499992,23.92963264012735
B,101,extrapolation,237.7698204809252,180.01291655209067,24.291099607179966
B,102,extrapolation,239.55547757332764,181.5497159427377,24.213915798620988
B,103,extrapolation,241.04915779621658,182.33793432694995,24.356535407977326
B,104,extrapolation,242.8232719342226,183.04833460361846,24.616642735460843
B,105,extrapolation,244.07089849707816,183.16810391514923,24.952911206109242
B,106,extrapolation,247.1369900748975,184.32262384924354,25.416820932640395
B,107,extrapolation,248.10199006014847,185.1144816177236,25.38774817048203
B,108,extrapolation,249.5736896447072,189.23574868403205,24.17640298806023
B,109,extrapolation,251.014947795016,190.0175192847285,24.300317190711393
B,110,extrapolation,253.06998674799948,190.24141871270137,24.82655839305874
B,111,extrapolation,255.30625645491403,191.05146068828205,25.167732533800677
B,112,extrapolation,256.38071369443446,191.82811723558126,25.178413589951138
B,113,extrapolation,258.6104394915314,192.73020207120612,25.47470146597954
B,114,extrapolation,259.874406989678,192.74274698487517,25.832347549125622
B,115,extrapolation,260.8050845045969,193.75595494063649,25.7085208638939
B,116,extrapolation,263.57389390487015,193.94290653653516,26.418013687450546
B,117,extrapolation,265.55785183887633,194.95568243148702,26.58636109551987
B,118,extrapolation,266.6149737815011,196.23203910985112,26.398717848957304
B,119,extrapolation,267.92191508282406,196.6943741760852,26.585186540160375
B,120,extrapolation,269.9704490239976,196.7671428606772,27.115303333370896
B,121,extrapolation,271.494055641645,198.10973663929371,27.02980690642227
B,122,extrapolation,273.4596091884033,200.41845195574578,26.710034966200414
B,123,extrapolation,275.58749264934386,200.45830132183,27.261466260773986
B,124,extrapolation,276.4520495031329,201.4580371018579,27.12731286892671
B,125,extrapolation,278.25074352984194,201.6678445685401,27.522980887592297
B,126,extrapolation,279.22925092774517,201.9199543840393,27.686675477889253
B,127,extrapolation,282.4651147650521,202.04570712300423,28.470562713182773
B,128,extrapolation,283.2111857332339,202.3770567212868,28.541997309416818
B,129,extrapolation,284.83596398090475,204.0320872193094,28.36856541297306
B,130,extrapolation,286.6674453630029,204.14993379007288,28.785100264328683
B,131,extrapolation,287.9119205014222,205.82722295735215,28.510350457567995
B,132,extrapolation,289.5798549292188,206.64222062812354,28.640678171956225
B,133,extrapolation,291.8462913290674,207.18957752511668,29.00729470243539
B,134,extrapolation,293.5584341393563,207.47877346603872,29.32283684019596
B,135,extrapolation,294.9653696192655,207.62967644472332,29.60879552988647
B,136,extrapolation,295.57325487895827,207.66487479528536,29.741655793475875
B,137,extrapolation,297.97927706194344,207.91767059513603,30.22411737984234
B,138,extrapolation,299.8403260537213,208.6836333279082,30.40174546417778
B,139,extrapolation,301.64932546219416,209.1321246129401,30.67044844456292
B,140,extrapolation,302.6967495896069,209.8511121787936,30.67282272990788
B,141,extrapolation,304.8643713408573,211.53961832928297,30.611892298569533
B,142,extrapolation,305.7289126020368,212.07800354297126,30.63200933860308
B,143,extrapolation,307.2194961281701,212.1623401909596,30.941120968948276
B,144,extrapolation,310.1094631467019,212.20573991686618,31.570698370955842
B,145,extrapolation,311.165141530356,213.32939818681396,31.441742755107924
B,146,extrapolation,312.4278011806009,214.20363397238114,31.438997053735513
B,147,extrapolation,313.9852857311589,214.53965754087042,31.672066402320525
B,148,extrapolation,315.47561608947575,215.67373640500315,31.63537040408429
B,149,extrapolation,317.7348059423702,217.35587377770332,31.592047924039303
B,150,extrapolation,318.8531042563166,218.64473046712558,31.42775543080066
C,1,train,14.1347,14.1347,0.0
C,2,train,21.022,18.940419886416034,9.901912822680831
C,3,train,25.0108,20.33300773182933,18.703089338088624
C,4,train,30.4248,30.577976367559724,0.5034589136484818
C,5,train,32.935,39.23767635816188,19.136712792354256
C,6,train,37.5861,40.077631285698125,6.62886355779962
C,7,train,40.9187,42.89455176544284,4.828725657078158
C,8,train,43.327,44.31824896269732,2.2878319816680586
C,9,train,48.0051,48.39796803543178,0.8183881200784541
C,10,train,49.7738,48.77422502424239,2.008235207594378
C,11,train,52.9703,57.883033485114694,9.274505685477886
C,12,train,56.4462,59.077879180747075,4.662278737536058
C,13,train,59.347,61.847514201108076,4.21337927967391
C,14,train,60.8317,63.741308222746156,4.783046047942369
C,15,train,65.1125,74.10881408433251,13.816569912585926
C,16,train,67.0798,78.9336726659613,17.671299953132372
C,17,train,69.5464,82.45396900486952,18.559650830049456
C,18,train,72.0671,82.8305305065566,14.935290176178315
C,19,train,75.7046,86.02163246596493,13.628012651760828
C,20,train,77.1448,89.3324713020853,15.798435282851587
C,21,train,79.3373,91.79838612452616,15.706466094165243
C,22,train,82.9103,97.00390820793508,16.998621652478732
C,23,train,84.7354,97.13079882003554,14.628359363424895
C,24,train,87.4252,97.6697432386479,11.718066688606823
C,25,train,88.8091,98.95046683074776,11.41928792291303
C,26,train,92.4918,101.39893851966853,9.630192643746295
C,27,train,94.6513,102.226177526159,8.002930256804714
C,28,train,95.8706,102.68640497931241,7.109379704844256
C,29,train,98.8311,103.87094920001655,5.099456749966911
C,30,train,101.3178,108.25006920012197,6.842103954213341
C,31,train,103.7255,110.4871924232283,6.518833289044927
C,32,train,105.4466,113.12564007617296,7.282397039044362
C,33,train,107.1686,113.2792373310468,5.701891534504326
C,34,train,111.0295,113.3823928248035,2.119160065391184
C,35,train,111.8746,114.29507127896748,2.1635574821876307
C,36,train,114.3202,115.4678271097011,1.0038708029736696
C,37,train,116.2266,116.21584228471508,0.009255811737523535
C,38,train,118.7907,119.69971120064189,0.7652208469534104
C,39,train,121.3701,121.6142866374327,0.2011917576344626
C,40,train,122.9468,123.00957661157992,0.051059980072617125
C,41,train,124.2568,125.26797185932648,0.8137758732934384
C,42,train,127.5166,126.9188430115252,0.468767978815934
C,43,train,129.5787,128.12680135265396,1.120476318519974
C,44,train,131.0876,130.8256490141184,0.19982895856023877
C,45,train,133.4977,130.85962361999344,1.9761212215690356
C,46,train,134.7565,131.17281419936404,2.6593788059469845
C,47,train,138.116,131.618116231619,4.704656787324423
C,48,train,139.7362,132.3978209759426,5.251594807972014
C,49,train,141.1237,134.23048045903883,4.884522968828895
C,50,train,143.1118,136.66783563039533,4.502748459319677
C,51,train,146.0009,137.21698655894195,6.016341982178224
C,52,train,147.4427,138.20512953738523,6.265193504062778
C,53,train,150.0515,141.10855099420885,5.959919764741538
C,54,train,150.9252,141.1687143579833,6.464451027407408
C,55,train,153.0246,141.18521435464876,7.736916577694847
C,56,train,156.1129,141.239929626321,9.527060463087297
C,57,train,157.5975,141.6245900291403,10.135255934173886
C,58,train,158.8499,141.81817635264827,10.721897619924045
C,59,train,161.1889,142.8126174659319,11.400464010901546
C,60,train,163.0306,148.00027243029152,9.219329113496777
C,61,train,165.5373,153.56242613951167,7.233942960582488
C,62,train,167.1844,158.2923638315373,5.318699692353299
C,63,train,169.0945,159.34023087926815,5.768531277322363
C,64,train,169.9119,160.36177619880058,5.620632693295419
C,65,train,173.4115,160.41052228745755,7.49718312369274
C,66,train,174.7541,161.33191599218512,7.680611789832042
C,67,train,176.4414,162.05460020840601,8.153868531758404
C,68,train,178.3774,162.06258116136792,9.146236484348398
C,69,train,179.9164,162.5541554799369,9.650173369444428
