transverse_model,transverse_hilbert_dimension,ordinary_Hilbert_trace_I_tensor_P0,finite_tau_projection,normalization,ordinary_trace_status
uniform_1_atom,1,1,1,1 fibers each weighted 1/1,finite and dimension-dependent
uniform_2_atom,2,2,1,2 fibers each weighted 1/2,finite and dimension-dependent
uniform_4_atom,4,4,1,4 fibers each weighted 1/4,finite and dimension-dependent
uniform_16_atom,16,16,1,16 fibers each weighted 1/16,finite and dimension-dependent
uniform_256_atom,256,256,1,256 fibers each weighted 1/256,finite and dimension-dependent
nonatomic_probability_base,infinite,infinite,1,integral of rank-one fiber trace over probability mass 1,not trace class in the ordinary representation
