prime_cutoff,prime_count,sigma,repetition_cutoff,tau_Log_D_partial,log_Z_partial,tau_Log_D,log_Z,nonnegative_log_Z_tail,D,Z,compiled_D,compiled_Z,sign_residual,reciprocal_residual,D_product_residual,Z_product_residual,domain
5,3,1.25,1,-0.80747483050600577,0.80747483050600577,-0.98114280691703859,0.98114280691703859,0.17366797641103282,0.37488243571784097,2.667502941515937,0.37488243571784102,2.6675029415159361,0,0,5.5511151231257827e-17,8.8817841970012523e-16,finite-prime positive-real control
5,3,1.25,2,-0.93688246501930261,0.93688246501930261,-0.98114280691703859,0.98114280691703859,0.044260341897735977,0.37488243571784097,2.667502941515937,0.37488243571784102,2.6675029415159361,0,0,5.5511151231257827e-17,8.8817841970012523e-16,finite-prime positive-real control
5,3,1.25,4,-0.97679238162300652,0.97679238162300652,-0.98114280691703859,0.98114280691703859,0.0043504252940320676,0.37488243571784097,2.667502941515937,0.37488243571784102,2.6675029415159361,0,0,5.5511151231257827e-17,8.8817841970012523e-16,finite-prime positive-real control
5,3,1.25,8,-0.98106853849759346,0.98106853849759346,-0.98114280691703859,0.98114280691703859,7.4268419445133738e-05,0.37488243571784097,2.667502941515937,0.37488243571784102,2.6675029415159361,0,0,5.5511151231257827e-17,8.8817841970012523e-16,finite-prime positive-real control
5,3,1.25,16,-0.98114276774060771,0.98114276774060771,-0.98114280691703859,0.98114280691703859,3.9176430877141399e-08,0.37488243571784097,2.667502941515937,0.37488243571784102,2.6675029415159361,0,0,5.5511151231257827e-17,8.8817841970012523e-16,finite-prime positive-real control
5,3,1.25,32,-0.98114280691701894,0.98114280691701894,-0.98114280691703859,0.98114280691703859,1.9650947535865271e-14,0.37488243571784097,2.667502941515937,0.37488243571784102,2.6675029415159361,0,0,5.5511151231257827e-17,8.8817841970012523e-16,finite-prime positive-real control
5,3,2,1,-0.40111111111111108,0.40111111111111108,-0.44628710262841947,0.44628710262841947,0.045175991517308389,0.64000000000000001,1.5625,0.64000000000000001,1.5625,0,0,0,0,finite-prime positive-real control
5,3,2,2,-0.43933395061728392,0.43933395061728392,-0.44628710262841947,0.44628710262841947,0.0069531520111355549,0.64000000000000001,1.5625,0.64000000000000001,1.5625,0,0,0,0,finite-prime positive-real control
5,3,2,4,-0.44603617110234717,0.44603617110234717,-0.44628710262841947,0.44628710262841947,0.00025093152607230662,0.64000000000000001,1.5625,0.64000000000000001,1.5625,0,0,0,0,finite-prime positive-real control
5,3,2,8,-0.4462865549520742,0.4462865549520742,-0.44628710262841947,0.44628710262841947,5.4767634527497222e-07,0.64000000000000001,1.5625,0.64000000000000001,1.5625,0,0,0,0,finite-prime positive-real control
5,3,2,16,-0.44628710262393589,0.44628710262393589,-0.44628710262841947,0.44628710262841947,4.4835801737974634e-12,0.64000000000000001,1.5625,0.64000000000000001,1.5625,0,0,0,0,finite-prime positive-real control
5,3,2,32,-0.44628710262841947,0.44628710262841947,-0.44628710262841947,0.44628710262841947,0,0.64000000000000001,1.5625,0.64000000000000001,1.5625,0,0,0,0,finite-prime positive-real control
