clock_system,labels,lengths,component_count,composite_label_count,sigma,tau_Log_D,log_Z,D,Z,compiled_D,compiled_Z,sign_residual,reciprocal_residual,D_product_residual,Z_product_residual,analytic_compiles,provenance_status
prime_reference,p=2;p=3;p=5,0.69314718055994529;1.0986122886681098;1.6094379124341003,3,0,2,-0.44628710262841947,0.44628710262841947,0.64000000000000001,1.5625,0.64000000000000001,1.5625,0,0,0,0,true,rational-prime labels supplied externally
arbitrary_positive_clocks,alpha;beta;gamma,0.69999999999999996;1.1000000000000001;2.2999999999999998,3,0,2,-0.41069429929809953,0.41069429929809953,0.6631896381532576,1.5078643309093867,0.6631896381532576,1.5078643309093864,0,0,0,2.2204460492503131e-16,true,analytic compiler only; no arithmetic provenance claimed
composite_augmented,p=2;p=3;n=4;n=6,0.69314718055994529;1.0986122886681098;1.3862943611198906;1.791759469228055,4,2,2,-0.49817450621243181,0.49817450621243181,0.60763888888888895,1.6457142857142857,0.60763888888888895,1.6457142857142859,0,0,0,2.2204460492503131e-16,true,analytic compiler survives; rational-prime provenance fails
