n,is_prime_power,prime,repetition,return_time_r_log_p,von_mangoldt,coefficient_Lambda_n_times_n_minus_sigma,sigma
1,false,,,,0,0,2
2,true,2,1,0.69314718055994529,0.69314718055994529,0.17328679513998632,2
3,true,3,1,1.0986122886681098,1.0986122886681098,0.12206803207423442,2
4,true,2,2,1.3862943611198906,0.69314718055994529,0.04332169878499658,2
5,true,5,1,1.6094379124341003,1.6094379124341003,0.064377516497364007,2
6,false,,,,0,0,2
7,true,7,1,1.9459101490553132,1.9459101490553132,0.039712452021537004,2
8,true,2,3,2.0794415416798357,0.69314718055994529,0.010830424696249145,2
9,true,3,2,2.1972245773362196,1.0986122886681098,0.013563114674914934,2
10,false,,,,0,0,2
11,true,11,1,2.3978952727983707,2.3978952727983707,0.019817316304118766,2
12,false,,,,0,0,2
13,true,13,1,2.5649493574615367,2.5649493574615367,0.015177215132908501,2
14,false,,,,0,0,2
15,false,,,,0,0,2
16,true,2,4,2.7725887222397811,0.69314718055994529,0.0027076061740622863,2
17,true,17,1,2.8332133440562162,2.8332133440562162,0.0098035063808173568,2
18,false,,,,0,0,2
19,true,19,1,2.9444389791664403,2.9444389791664403,0.0081563406625109157,2
20,false,,,,0,0,2
21,false,,,,0,0,2
22,false,,,,0,0,2
23,true,23,1,3.1354942159291497,3.1354942159291497,0.005927210238051323,2
24,false,,,,0,0,2
25,true,5,2,3.2188758248682006,1.6094379124341003,0.0025751006598945607,2
26,false,,,,0,0,2
27,true,3,3,3.2958368660043291,1.0986122886681098,0.0015070127416572149,2
28,false,,,,0,0,2
29,true,29,1,3.3672958299864741,3.3672958299864741,0.0040039189417199455,2
30,false,,,,0,0,2
31,true,31,1,3.4339872044851463,3.4339872044851463,0.0035733477674143046,2
32,true,2,5,3.4657359027997265,0.69314718055994529,0.00067690154351557157,2
33,false,,,,0,0,2
34,false,,,,0,0,2
35,false,,,,0,0,2
36,false,,,,0,0,2
37,true,37,1,3.6109179126442243,3.6109179126442243,0.0026376317842543642,2
38,false,,,,0,0,2
39,false,,,,0,0,2
40,false,,,,0,0,2
41,true,41,1,3.713572066704308,3.713572066704308,0.0022091445964927472,2
42,false,,,,0,0,2
