prime,prime_rank_zero_based,sigma,mass_model,mass,copies,single_unit_mass_log_Z,single_weighted_log_Z,copied_additive_log_Z,tau_Log_D,log_Z,D,Z,sign_residual,reciprocal_residual,additivity_residual
2,0,2,unit,1,1,0.2876820724517809,0.2876820724517809,0.2876820724517809,-0.2876820724517809,0.2876820724517809,0.75,1.3333333333333333,0,0,0
2,0,2,unit,1,2,0.2876820724517809,0.2876820724517809,0.5753641449035618,-0.5753641449035618,0.5753641449035618,0.5625,1.7777777777777777,0,0,0
2,0,2,unit,1,3,0.2876820724517809,0.2876820724517809,0.8630462173553427,-0.8630462173553427,0.8630462173553427,0.42187500000000006,2.3703703703703702,0,0,0
2,0,2,rank_modulated,0.75,1,0.2876820724517809,0.21576155433883568,0.21576155433883568,-0.21576155433883568,0.21576155433883568,0.80592744886765644,1.2408064788027995,0,0,0
2,0,2,rank_modulated,0.75,2,0.2876820724517809,0.21576155433883568,0.43152310867767135,-0.43152310867767135,0.43152310867767135,0.649519052838329,1.5396007178390019,0,1.1102230246251565e-16,0
2,0,2,rank_modulated,0.75,3,0.2876820724517809,0.21576155433883568,0.647284663016507,-0.647284663016507,0.647284663016507,0.52346523324493111,1.9103465454640745,0,2.2204460492503131e-16,0
2,0,2,clock_decay,0.59061610914964124,1,0.2876820724517809,0.16990966630357604,0.16990966630357604,-0.16990966630357604,0.16990966630357604,0.84374103140014034,1.1851977831877594,0,0,0
2,0,2,clock_decay,0.59061610914964124,2,0.2876820724517809,0.16990966630357604,0.33981933260715208,-0.33981933260715208,0.33981933260715208,0.71189892806817257,1.4046937852731791,0,0,0
2,0,2,clock_decay,0.59061610914964124,3,0.2876820724517809,0.16990966630357604,0.50972899891072809,-0.50972899891072809,0.50972899891072809,0.60065833582089423,1.6648399603633943,0,1.1102230246251565e-16,0
3,1,2,unit,1,1,0.11778303565638344,0.11778303565638344,0.11778303565638344,-0.11778303565638343,0.11778303565638343,0.88888888888888895,1.125,0,0,1.3877787807814457e-17
3,1,2,unit,1,2,0.11778303565638344,0.11778303565638344,0.23556607131276688,-0.23556607131276686,0.23556607131276686,0.79012345679012352,1.265625,0,0,2.7755575615628914e-17
3,1,2,unit,1,3,0.11778303565638344,0.11778303565638344,0.35334910696915034,-0.35334910696915028,0.35334910696915028,0.70233196159122091,1.4238281249999998,0,1.1102230246251565e-16,5.5511151231257827e-17
