length,mesh_2pi_over_L,frequency_radius,trace_norm_sum_abs_fhat,scaled_riemann_sum,fourier_L1_target_2pi,absolute_error,trace_norm_over_L,scope
1,6.2831853071795862,2,2.5066282880429052,15.749610029991901,6.2831853071795862,9.4664247228123148,2.5066282880429052,Schwartz convention control only; compact-support theorem remains analytic.
2,3.1415926535897931,4,2.5426830443780304,7.9880743726253503,6.2831853071795862,1.704889065445764,1.2713415221890152,Schwartz convention control only; compact-support theorem remains analytic.
4,1.5707963267948966,8,4.0026837010233214,6.2874008548892348,6.2831853071795862,0.0042155477096486038,1.0006709252558303,Schwartz convention control only; compact-support theorem remains analytic.
8,0.78539816339744828,16,8.0000000000002025,6.2831853071797452,6.2831853071795862,1.5898393712632242e-13,1.0000000000000253,Schwartz convention control only; compact-support theorem remains analytic.
16,0.39269908169872414,31,15.999999999999998,6.2831853071795853,6.2831853071795862,8.8817841970012523e-16,0.99999999999999989,Schwartz convention control only; compact-support theorem remains analytic.
32,0.19634954084936207,62,31.999999999999996,6.2831853071795853,6.2831853071795862,8.8817841970012523e-16,0.99999999999999989,Schwartz convention control only; compact-support theorem remains analytic.
64,0.098174770424681035,123,63.999999999999993,6.2831853071795853,6.2831853071795862,8.8817841970012523e-16,0.99999999999999989,Schwartz convention control only; compact-support theorem remains analytic.
