prime_cutoff,prime_count,mass_model,f_at_zero,partial_sum_m_p_log_p_f0,increment_from_previous_cutoff,monotone_positive,scope
10,4,unit,1,5.3471075307174685,5.3471075307174685,true,finite partial-sum witness; no regularized value assigned
10,4,rank_modulated,1,6.5491352882136642,6.5491352882136642,true,finite partial-sum witness; no regularized value assigned
100,25,unit,1,83.728390399063926,78.38128286834646,true,finite partial-sum witness; no regularized value assigned
100,25,rank_modulated,1,93.70670367224065,87.157568384026987,true,finite partial-sum witness; no regularized value assigned
1000,168,unit,1,956.24526512005889,872.51687472099502,true,finite partial-sum witness; no regularized value assigned
1000,168,rank_modulated,1,1077.8016828882712,984.09497921603054,true,finite partial-sum witness; no regularized value assigned
5000,669,unit,1,4911.6953517068632,3955.4500865868044,true,finite partial-sum witness; no regularized value assigned
5000,669,rank_modulated,1,5525.006368550492,4447.204685662221,true,finite partial-sum witness; no regularized value assigned
