length,time_radius,frequency_radius,return_side_L_sum_f_rL,spectral_side_sum_fhat_2pi_n_over_L,absolute_error,relative_error,fourier_convention,scope
0.69314718055994529,18,2,2.5066282746310007,2.5066282746310002,4.4408920985006262e-16,1.7716596207925435e-16,fhat(xi)=integral_R f(t)*exp(-i*t*xi) dt,Schwartz convention control only; compact-support theorem remains analytic.
1.0986122886681098,11,3,2.5066286703551235,2.506628670355123,4.4408920985006262e-16,1.7716593410987629e-16,fhat(xi)=integral_R f(t)*exp(-i*t*xi) dt,Schwartz convention control only; compact-support theorem remains analytic.
1.6094379124341003,8,4,2.5090863514629125,2.5090863514629125,0,0,fhat(xi)=integral_R f(t)*exp(-i*t*xi) dt,Schwartz convention control only; compact-support theorem remains analytic.
2,6,4,2.5426830443780304,2.5426830443780304,0,0,fhat(xi)=integral_R f(t)*exp(-i*t*xi) dt,Schwartz convention control only; compact-support theorem remains analytic.
4,3,8,4.0026837010233214,4.0026837010233214,0,0,fhat(xi)=integral_R f(t)*exp(-i*t*xi) dt,Schwartz convention control only; compact-support theorem remains analytic.
8,2,16,8.0000000000002025,8.0000000000002025,0,0,fhat(xi)=integral_R f(t)*exp(-i*t*xi) dt,Schwartz convention control only; compact-support theorem remains analytic.
