layer,verdict,overall_verdict,route_b_invocation_allowed,target_zero_data_used
A0,A0_STRUCTURAL_ARITHMETIC_RELATION,ROUTE_A_REJECTED,False,False
A1,A1_FAIL,ROUTE_A_REJECTED,False,False
A2,A2_ANALYTIC_DETERMINANT,ROUTE_A_REJECTED,False,False
A3,A3_FAIL,ROUTE_A_REJECTED,False,False
A4,A4_FAIL,ROUTE_A_REJECTED,False,False
