color_count,index_words_per_side,letter_submatrix_determinant,trace_completion_empty_value,trace_completion_hankel_rank,literal_language_empty_value,literal_language_hankel_rank,syntactic_trace_algebra_dimension,finite_trace_dimension_lower_bound,no_fixed_dimension_as_colors_grow,exact
1,3,1,1,1,0,2,1,1,True,True
2,7,1,2,2,0,3,2,2,True,True
3,13,1,3,3,0,4,3,3,True,True
4,21,1,4,4,0,5,4,4,True,True
5,31,1,5,5,0,6,5,5,True,True
6,43,1,6,6,0,7,6,6,True,True
7,57,1,7,7,0,8,7,7,True,True
8,73,1,8,8,0,9,8,8,True,True
