support_size,reduced_dimension,exterior_dimensions,superdimension,expected,exact,mixed_cohomology_nonzero,stationary_fixed_fiber,ownership
1,0,1,1,1,True,False,False,word_support_indexed_virtual_fiber
2,1,1|1,0,0,True,True,False,word_support_indexed_virtual_fiber
3,2,1|2|1,0,0,True,True,False,word_support_indexed_virtual_fiber
4,3,1|3|3|1,0,0,True,True,False,word_support_indexed_virtual_fiber
5,4,1|4|6|4|1,0,0,True,True,False,word_support_indexed_virtual_fiber
6,5,1|5|10|10|5|1,0,0,True,True,False,word_support_indexed_virtual_fiber
7,6,1|6|15|20|15|6|1,0,0,True,True,False,word_support_indexed_virtual_fiber
8,7,1|7|21|35|35|21|7|1,0,0,True,True,False,word_support_indexed_virtual_fiber
9,8,1|8|28|56|70|56|28|8|1,0,0,True,True,False,word_support_indexed_virtual_fiber
10,9,1|9|36|84|126|126|84|36|9|1,0,0,True,True,False,word_support_indexed_virtual_fiber
11,10,1|10|45|120|210|252|210|120|45|10|1,0,0,True,True,False,word_support_indexed_virtual_fiber
12,11,1|11|55|165|330|462|462|330|165|55|11|1,0,0,True,True,False,word_support_indexed_virtual_fiber
