label,degree,translation,contraction,weight,power,actual_supertrace,expected_weight_power,power_exact,chain_exact,quotient_exact,quotient_factor
2,2,1/8,1/8,1/4,1,1/4,1/4,True,True,True,1 - z/4
2,2,1/8,1/8,1/4,2,1/16,1/16,True,True,True,1 - z/4
2,2,1/8,1/8,1/4,3,1/64,1/64,True,True,True,1 - z/4
2,2,1/8,1/8,1/4,4,1/256,1/256,True,True,True,1 - z/4
2,2,1/8,1/8,1/4,5,1/1024,1/1024,True,True,True,1 - z/4
2,2,1/8,1/8,1/4,6,1/4096,1/4096,True,True,True,1 - z/4
2,3,1/8,1/8,1/4,1,1/4,1/4,True,True,True,1 - z/4
2,3,1/8,1/8,1/4,2,1/16,1/16,True,True,True,1 - z/4
2,3,1/8,1/8,1/4,3,1/64,1/64,True,True,True,1 - z/4
2,3,1/8,1/8,1/4,4,1/256,1/256,True,True,True,1 - z/4
2,3,1/8,1/8,1/4,5,1/1024,1/1024,True,True,True,1 - z/4
2,3,1/8,1/8,1/4,6,1/4096,1/4096,True,True,True,1 - z/4
2,4,1/8,1/8,1/4,1,1/4,1/4,True,True,True,1 - z/4
2,4,1/8,1/8,1/4,2,1/16,1/16,True,True,True,1 - z/4
2,4,1/8,1/8,1/4,3,1/64,1/64,True,True,True,1 - z/4
2,4,1/8,1/8,1/4,4,1/256,1/256,True,True,True,1 - z/4
2,4,1/8,1/8,1/4,5,1/1024,1/1024,True,True,True,1 - z/4
2,4,1/8,1/8,1/4,6,1/4096,1/4096,True,True,True,1 - z/4
2,5,1/8,1/8,1/4,1,1/4,1/4,True,True,True,1 - z/4
2,5,1/8,1/8,1/4,2,1/16,1/16,True,True,True,1 - z/4
2,5,1/8,1/8,1/4,3,1/64,1/64,True,True,True,1 - z/4
2,5,1/8,1/8,1/4,4,1/256,1/256,True,True,True,1 - z/4
2,5,1/8,1/8,1/4,5,1/1024,1/1024,True,True,True,1 - z/4
2,5,1/8,1/8,1/4,6,1/4096,1/4096,True,True,True,1 - z/4
3,2,1/6,1/8,1/9,1,1/9,1/9,True,True,True,1 - z/9
3,2,1/6,1/8,1/9,2,1/81,1/81,True,True,True,1 - z/9
3,2,1/6,1/8,1/9,3,1/729,1/729,True,True,True,1 - z/9
3,2,1/6,1/8,1/9,4,1/6561,1/6561,True,True,True,1 - z/9
3,2,1/6,1/8,1/9,5,1/59049,1/59049,True,True,True,1 - z/9
3,2,1/6,1/8,1/9,6,1/531441,1/531441,True,True,True,1 - z/9
3,3,1/6,1/8,1/9,1,1/9,1/9,True,True,True,1 - z/9
3,3,1/6,1/8,1/9,2,1/81,1/81,True,True,True,1 - z/9
3,3,1/6,1/8,1/9,3,1/729,1/729,True,True,True,1 - z/9
3,3,1/6,1/8,1/9,4,1/6561,1/6561,True,True,True,1 - z/9
3,3,1/6,1/8,1/9,5,1/59049,1/59049,True,True,True,1 - z/9
3,3,1/6,1/8,1/9,6,1/531441,1/531441,True,True,True,1 - z/9
3,4,1/6,1/8,1/9,1,1/9,1/9,True,True,True,1 - z/9
3,4,1/6,1/8,1/9,2,1/81,1/81,True,True,True,1 - z/9
