color_count,algebra_dimension,primitive_idempotents,multiplication_checks,multiplication_failures,separability_centrality_checks,separability_centrality_failures,separability_multiplication_is_identity,hh0_dimension,positive_hh_dimension,surviving_sector
1,1,1,1,0,1,0,True,1,0,direct_sum_of_color_lines
2,2,2,4,0,4,0,True,2,0,direct_sum_of_color_lines
3,3,3,9,0,9,0,True,3,0,direct_sum_of_color_lines
4,4,4,16,0,16,0,True,4,0,direct_sum_of_color_lines
5,5,5,25,0,25,0,True,5,0,direct_sum_of_color_lines
6,6,6,36,0,36,0,True,6,0,direct_sum_of_color_lines
7,7,7,49,0,49,0,True,7,0,direct_sum_of_color_lines
8,8,8,64,0,64,0,True,8,0,direct_sum_of_color_lines
9,9,9,81,0,81,0,True,9,0,direct_sum_of_color_lines
10,10,10,100,0,100,0,True,10,0,direct_sum_of_color_lines
11,11,11,121,0,121,0,True,11,0,direct_sum_of_color_lines
12,12,12,144,0,144,0,True,12,0,direct_sum_of_color_lines
