orbit_id,reverse_partner_id,self_reversing,primitive_period,repetition,total_period,primitive_action,direct_repeated_action,action_repetition_error,primitive_length,repeated_length,primitive_trace,repeated_trace,trace_repetition_relative_error,primitive_orientation,repeated_orientation,primitive_maslov,repeated_maslov,negative_symbol_count,symbol_count_maslov_match,maslov_repetition_defect,maslov_mod4,maslov_phase_real,maslov_phase_imag,hessian_signature,minimum_absolute_hessian_eigenvalue,diagonal_dominance_margin,hessian_determinant_sign,hill_expected_sign,hill_sign_match,hill_logabs_error,maslov_orientation_parity_ok,reversal_action_error,reversal_length_error,reversal_trace_error,reversal_orientation_mismatch,reversal_maslov_mismatch
--,--,True,1,1,1,0.5281529477305951,0.5281529477305951,0.0,1.96734662909421,1.96734662909421,7.291502622129181,7.291502622129181,0.0,1,1,1,1,1,True,0,1,0.0,-1.0,-1,5.291502622129181,5.291502622129181,-1,-1,True,0.0,True,0.0,0.0,0.0,0,0
--,--,True,1,2,2,0.5281529477305951,1.0563058954611901,0.0,1.96734662909421,3.93469325818842,7.291502622129181,51.166010488516726,0.0,1,1,1,2,2,True,0,2,-1.0,0.0,-2,5.291502622129181,5.291502622129181,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--,--,True,1,3,3,0.5281529477305951,1.5844588431917852,0.0,1.96734662909421,5.90203988728263,7.291502622129181,365.7855970187797,0.0,1,1,1,3,3,True,0,3,0.0,1.0,-3,5.291502622129179,5.291502622129181,-1,-1,True,0.0,True,0.0,0.0,0.0,0,0
--,--,True,1,4,4,0.5281529477305951,2.1126117909223803,0.0,1.96734662909421,7.86938651637684,7.291502622129181,2615.9606293110032,1.7383570142117788e-16,1,1,1,4,4,True,0,0,1.0,0.0,-4,5.291502622129178,5.291502622129181,1,1,True,8.881784197001252e-16,True,0.0,0.0,0.0,0,0
--,--,True,1,5,5,0.5281529477305951,2.640764738652975,0.0,1.96734662909421,9.836733145471051,7.291502622129181,18708.498190989103,3.8891190195522325e-16,1,1,1,5,5,True,0,1,0.0,-1.0,-5,5.29150262212918,5.291502622129181,-1,-1,True,1.7763568394002505e-15,True,0.0,0.0,0.0,0,0
--,--,True,1,6,6,0.5281529477305951,3.16891768638357,4.440892098500626e-16,1.96734662909421,11.80407977456526,7.291502622129181,133797.10298638509,6.525663816434482e-16,1,1,1,6,6,True,0,2,-1.0,0.0,-6,5.2915026221291805,5.291502622129181,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--,--,True,1,7,7,0.5281529477305951,3.697070634114165,8.881784197001252e-16,1.96734662909421,13.77142640365947,7.291502622129181,956873.4290675259,6.083109755716681e-16,1,1,1,7,7,True,0,3,0.0,1.0,-7,5.291502622129177,5.291502622129181,-1,-1,True,1.7763568394002505e-15,True,0.0,0.0,0.0,0,0
--,--,True,1,8,8,0.5281529477305951,4.2252235818447605,0.0,1.96734662909421,15.73877303275368,7.291502622129181,6843248.014105221,6.804682313835825e-16,1,1,1,8,8,True,0,0,1.0,0.0,-8,5.2915026221291805,5.291502622129181,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--,--,True,1,9,9,0.5281529477305951,4.753376529575355,0.0,1.96734662909421,17.70611966184789,7.291502622129181,48940687.40966101,6.089477685148383e-16,1,1,1,9,9,True,0,1,0.0,-1.0,-9,5.29150262212918,5.291502622129181,-1,-1,True,3.552713678800501e-15,True,0.0,0.0,0.0,0,0
--,--,True,1,10,10,0.5281529477305951,5.28152947730595,0.0,1.96734662909421,19.673466290942102,7.291502622129181,350007902.5622427,3.405902800425542e-16,1,1,1,10,10,True,0,2,-1.0,0.0,-10,5.2915026221291805,5.291502622129181,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--,--,True,1,11,11,0.5281529477305951,5.809682425036545,8.881784197001252e-16,1.96734662909421,21.64081292003631,7.291502622129181,2503142851.888867,3.80990767541137e-16,1,1,1,11,11,True,0,3,0.0,1.0,-11,5.291502622129182,5.291502622129181,-1,-1,True,0.0,True,0.0,0.0,0.0,0,0
--,--,True,1,12,12,0.5281529477305951,6.33783537276714,8.881784197001252e-16,1.96734662909421,23.60815954913052,7.291502622129181,17901664765.549347,4.2618352154221436e-16,1,1,1,12,12,True,0,0,1.0,0.0,-12,5.2915026221291805,5.291502622129181,1,1,True,3.552713678800501e-15,True,0.0,0.0,0.0,0,0
--,--,True,1,13,13,0.5281529477305951,6.865988320497735,8.881784197001252e-16,1.96734662909421,25.57550617822473,7.291502622129181,128026892726.59177,4.767369960336679e-16,1,1,1,13,13,True,0,1,0.0,-1.0,-13,5.291502622129181,5.291502622129181,-1,-1,True,3.552713678800501e-15,True,0.0,0.0,0.0,0,0
--,--,True,1,14,14,0.5281529477305951,7.39414126822833,1.7763568394002505e-15,1.96734662909421,27.54285280731894,7.291502622129181,915606759253.4459,3.999653058465795e-16,1,1,1,14,14,True,0,2,-1.0,0.0,-14,5.291502622129179,5.291502622129181,1,1,True,7.105427357601002e-15,True,0.0,0.0,0.0,0,0
--,--,True,1,15,15,0.5281529477305951,7.9222942159589245,1.7763568394002505e-15,1.96734662909421,29.510199436413153,7.291502622129181,6548122193209.111,4.474088011122186e-16,1,1,1,15,15,True,0,3,0.0,1.0,-15,5.291502622129183,5.291502622129181,-1,-1,True,7.105427357601002e-15,True,0.0,0.0,0.0,0,0
--,--,True,1,16,16,0.5281529477305951,8.450447163689521,0.0,1.96734662909421,31.47754606550736,7.291502622129181,46830043382553.08,1.6682666586874468e-16,1,1,1,16,16,True,0,0,1.0,0.0,-16,5.291502622129181,5.291502622129181,1,1,True,1.0658141036401503e-14,True,0.0,0.0,0.0,0,0
--,--,True,1,17,17,0.5281529477305951,8.978600111420116,0.0,1.96734662909421,33.44489269460157,7.291502622129181,334913261925099.94,3.7323096518033683e-16,1,1,1,17,17,True,0,1,0.0,-1.0,-17,5.291502622129181,5.291502622129181,-1,-1,True,1.4210854715202004e-14,True,0.0,0.0,0.0,0,0
--,--,True,1,18,18,0.5281529477305951,9.50675305915071,0.0,1.96734662909421,35.41223932369578,7.291502622129181,2395190884130150.5,2.0875162948926408e-16,1,1,1,18,18,True,0,2,-1.0,0.0,-18,5.291502622129184,5.291502622129181,1,1,True,1.4210854715202004e-14,True,0.0,0.0,0.0,0,0
--,--,True,1,19,19,0.5281529477305951,10.034906006881306,0.0,1.96734662909421,37.379585952789995,7.291502622129181,1.7129627350209804e+16,3.502703168803326e-16,1,1,1,19,19,True,0,3,0.0,1.0,-19,5.2915026221291805,5.291502622129181,-1,-1,True,1.4210854715202004e-14,True,0.0,0.0,0.0,0,0
--,--,True,1,20,20,0.5281529477305951,10.5630589546119,0.0,1.96734662909421,39.346932581884204,7.291502622129181,1.2250553185602038e+17,3.918190409263637e-16,1,1,1,20,20,True,0,0,1.0,0.0,-20,5.291502622129183,5.291502622129181,1,1,True,1.4210854715202004e-14,True,0.0,0.0,0.0,0,0
--|+-|-+,--|+-|-+,True,3,1,3,0.04963592384257312,0.04963592384257309,2.7755575615628914e-17,4.882099205829174,4.882099205829174,-131.91485505499116,-131.91485505499116,2.1545495705207642e-16,-1,-1,2,2,2,True,0,2,-1.0,0.0,-1,3.6693457956495408,2.4721359549995796,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|+-|-+,--|+-|-+,True,3,2,6,0.04963592384257312,0.09927184768514619,5.551115123125783e-17,4.882099205829174,9.764198411658349,-131.91485505499116,17399.528984179327,2.0908490168898117e-16,-1,1,2,4,4,True,0,0,1.0,0.0,-2,3.4721359549995796,2.4721359549995796,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|+-|-+,--|+-|-+,True,3,3,9,0.04963592384257312,0.14890777152771928,8.326672684688674e-17,4.882099205829174,14.646297617487523,-131.91485505499116,-2295124.4291180787,4.0578304287116463e-16,-1,-1,2,6,6,True,0,2,-1.0,0.0,-3,3.5186104510647507,2.4721359549995796,1,1,True,1.7763568394002505e-15,True,0.0,0.0,0.0,0,0
--|+-|-+,--|+-|-+,True,3,4,12,0.04963592384257312,0.19854369537029237,1.1102230246251565e-16,4.882099205829174,19.528396823316697,-131.91485505499116,302743606.8712965,1.9688159691091338e-16,-1,1,2,8,8,True,0,0,1.0,0.0,-4,3.472135954999578,2.4721359549995796,1,1,True,3.552713678800501e-15,True,0.0,0.0,0.0,0,0
--|+-|-+,--|+-|-+,True,3,5,15,0.04963592384257312,0.24817961921286547,1.3877787807814457e-16,4.882099205829174,24.41049602914587,-131.91485505499116,-39934083894.8232,1.9104969457529053e-16,-1,-1,2,10,10,True,0,2,-1.0,0.0,-5,3.489698650283777,2.4721359549995796,1,1,True,7.105427357601002e-15,True,0.0,0.0,0.0,0,0
--|+-|-+,--|+-|-+,True,3,6,18,0.04963592384257312,0.29781554305543856,1.6653345369377348e-16,4.882099205829174,29.292595234975046,-131.91485505499116,5267596145132.588,3.7078108233577177e-16,-1,1,2,12,12,True,0,0,1.0,0.0,-6,3.4721359549995827,2.4721359549995796,1,1,True,1.0658141036401503e-14,True,0.0,0.0,0.0,0,0
--|+-|++|-+,--|+-|++|-+,True,4,1,4,0.0,0.0,0.0,6.359570875399758,6.359570875399758,578.0,578.0,3.933800613204707e-16,1,1,2,2,2,True,0,2,-1.0,0.0,0,3.9999999999999982,2.8989794855663558,1,1,True,8.881784197001252e-16,True,0.0,0.0,0.0,0,0
--|+-|++|-+,--|+-|++|-+,True,4,2,8,0.0,0.0,0.0,6.359570875399758,12.719141750799515,578.0,334082.0,6.969266337422239e-16,1,1,2,4,4,True,0,0,1.0,0.0,0,3.9999999999999982,2.8989794855663558,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|+-|++|-+,--|+-|++|-+,True,4,3,12,0.0,0.0,0.0,6.359570875399758,19.078712626199273,578.0,193098818.0,9.260229357083475e-16,1,1,2,6,6,True,0,2,-1.0,0.0,0,3.9999999999999973,2.8989794855663558,1,1,True,0.0,True,0.0,0.0,0.0,0,0
--|+-|++|-+,--|+-|++|-+,True,4,4,16,0.0,0.0,0.0,6.359570875399758,25.43828350159903,578.0,111610782722.0,1.0937143304876965e-15,1,1,2,8,8,True,0,0,1.0,0.0,0,4.0,2.8989794855663558,1,1,True,3.552713678800501e-15,True,0.0,0.0,0.0,0,0
--|+-|++|-+,--|+-|++|-+,True,4,5,20,0.0,0.0,0.0,6.359570875399758,31.79785437699879,578.0,64510839314498.0,1.332140473030346e-15,1,1,2,10,10,True,0,2,-1.0,0.0,0,3.999999999999996,2.8989794855663558,1,1,True,7.105427357601002e-15,True,0.0,0.0,0.0,0,0
--|--|+-|-+,--|--|+-|-+,True,4,1,4,0.5443310539518174,0.5443310539518174,0.0,6.951103111002082,6.951103111002082,-1044.30203061437,-1044.30203061437,2.177278878883981e-16,-1,-1,3,3,3,True,0,3,0.0,1.0,-2,4.237784053866295,2.8989794855663558,-1,-1,True,0.0,True,0.0,0.0,0.0,0,0
--|--|+-|-+,--|--|+-|-+,True,4,2,8,0.5443310539518174,1.0886621079036347,0.0,6.951103111002082,13.902206222004164,-1044.30203061437,1090564.7311452967,0.0,-1,1,3,6,6,True,0,2,-1.0,0.0,-4,4.099885618658982,2.8989794855663558,1,1,True,1.7763568394002505e-15,True,0.0,0.0,0.0,0,0
--|--|+-|-+,--|--|+-|-+,True,4,3,12,0.5443310539518174,1.632993161855452,0.0,6.951103111002082,20.853309333006244,-1044.30203061437,-1138877918.9494174,0.0,-1,-1,3,9,9,True,0,1,0.0,-1.0,-6,4.129682729551673,2.8989794855663558,-1,-1,True,3.552713678800501e-15,True,0.0,0.0,0.0,0,0
--|--|+-|-+,--|--|+-|-+,True,4,4,16,0.5443310539518174,2.1773242158072694,0.0,6.951103111002082,27.804412444008328,-1044.30203061437,1189331432816.0134,2.052755172054449e-16,-1,1,3,12,12,True,0,0,1.0,0.0,-8,4.0998856186589805,2.8989794855663558,1,1,True,3.552713678800501e-15,True,0.0,0.0,0.0,0,0
