object,kind,cutoff_or_size,atom_count,diagonal,nonzero_mixed_pairs,positive_b4_pairs,full_minus_lead_shift
divisibility_12,source_locked_baseline,12,5,85694802853596707/32887427507550000,10,10,2351512537926707/32887427507550000
divisibility_18,source_locked_baseline,18,7,49884023653371891751367522407/17337691547974399064012550000,21,21,1239795164847939411641852407/17337691547974399064012550000
divisibility_30,source_locked_baseline,30,10,17786684491397423858068435549135877615247867565351/5667459777354529661710447865095133373707142150000,45,45,405279370156083846477745209935116128375704755351/5667459777354529661710447865095133373707142150000
mutated_cover_promote_6,control,18,8,6294442751951052829150462794823/1872470687181235098913355400000,3,3,not_applicable
composite_only,control,7,3,16675255/15116544,2,2,not_applicable
seeded_generic_dag_29031,control,12,4,906033760201291/1737161015625000,4,4,not_applicable
seeded_random_inventory_29032,control,10,5,512702067832456893005189376401511745089770591138035764331/673545769153445504723165671776275446496770601779200000000,9,9,not_applicable
