cutoff,p,q,gram_over_C_eta,mixed_rational,mixed_radicand,b4_over_C_eta_squared,nonzero
12,2,3,1/1394,1/2091,6,1/2914854,true
12,2,5,1/10642,1/26605,10,1/283130410,true
12,2,7,1/40834,1/142919,14,1/5835954446,true
12,2,11,1/248914,1/1369027,22,1/340769986678,true
12,3,5,1/51332,1/192495,15,1/9881153340,true
12,3,7,1/196964,1/1034061,21,1/203672790804,true
12,3,11,1/1200644,1/9905313,33,1/11892754621572,true
12,5,7,1/1503652,1/13156955,35,1/19783481699660,true
12,5,11,1/9165892,1/126031015,55,1/1155186672140380,true
12,7,11,1/35170084,1/677024117,77,1/23810995064915828,true
18,2,3,1/1394,1/2091,6,1/2914854,true
18,2,5,1/10642,1/26605,10,1/283130410,true
18,2,7,1/40834,1/142919,14,1/5835954446,true
18,2,11,1/248914,1/1369027,22,1/340769986678,true
18,2,13,1/485554,1/3156101,26,1/1532457464954,true
18,2,17,1/1419874,1/12068929,34,1/17136358494946,true
18,3,5,1/51332,1/192495,15,1/9881153340,true
18,3,7,1/196964,1/1034061,21,1/203672790804,true
18,3,11,1/1200644,1/9905313,33,1/11892754621572,true
18,3,13,1/2342084,1/22835319,39,1/53482235264796,true
18,3,17,1/6848804,1/87322251,51,1/598052981937804,true
18,5,7,1/1503652,1/13156955,35,1/19783481699660,true
18,5,11,1/9165892,1/126031015,55,1/1155186672140380,true
18,5,13,1/17879812,1/290546945,65,1/5194924753774340,true
18,5,17,1/52284772,1/1111051405,85,1/58091069390704660,true
18,7,11,1/35170084,1/677024117,77,1/23810995064915828,true
18,7,13,1/68605924,1/1560784771,91,1/107079081379583404,true
18,7,17,1/200619844,1/5968440359,119,1/1197387573745883996,true
18,11,13,1/418204804,1/14950821743,143,1/6252505476670253372,true
18,11,17,1/1222929124,1/57171936547,187,1/69917226278806294828,true
18,13,17,1/2385555364,1/131801933861,221,1/314420810307681780404,true
30,2,3,1/1394,1/2091,6,1/2914854,true
30,2,5,1/10642,1/26605,10,1/283130410,true
30,2,7,1/40834,1/142919,14,1/5835954446,true
30,2,11,1/248914,1/1369027,22,1/340769986678,true
30,2,13,1/485554,1/3156101,26,1/1532457464954,true
30,2,17,1/1419874,1/12068929,34,1/17136358494946,true
30,2,19,1/2215474,1/21047003,38,1/46629087924422,true
30,2,23,1/4757314,1/54709111,46,1/260268419687854,true
30,2,29,1/12023794,1/174345013,58,1/2096288521239322,true
30,3,5,1/51332,1/192495,15,1/9881153340,true
30,3,7,1/196964,1/1034061,21,1/203672790804,true
30,3,11,1/1200644,1/9905313,33,1/11892754621572,true
30,3,13,1/2342084,1/22835319,39,1/53482235264796,true
30,3,17,1/6848804,1/87322251,51,1/598052981937804,true
30,3,19,1/10686404,1/152281257,57,1/1627339033929828,true
30,3,23,1/22947044,1/395836509,69,1/9083277788829396,true
30,3,29,1/57997124,1/1261437447,87,1/73159744031902428,true
30,5,7,1/1503652,1/13156955,35,1/19783481699660,true
30,5,11,1/9165892,1/126031015,55,1/1155186672140380,true
30,5,13,1/17879812,1/290546945,65,1/5194924753774340,true
30,5,17,1/52284772,1/1111051405,85,1/58091069390704660,true
30,5,19,1/81581572,1/1937562335,95,1/158069381137290620,true
30,5,23,1/175181092,1/5036456395,115,1/882291931086483340,true
30,5,29,1/442758532,1/16049996785,145,1/7106273015131319620,true
30,7,11,1/35170084,1/677024117,77,1/23810995064915828,true
30,7,13,1/68605924,1/1560784771,91,1/107079081379583404,true
30,7,17,1/200619844,1/5968440359,119,1/1197387573745883996,true
30,7,19,1/313033444,1/10408362013,133,1/3258165407328162772,true
30,7,23,1/672180484,1/27055264481,161,1/18186020773586588804,true
30,7,29,1/1698891364,1/86218736723,203,1/146476267233694360172,true
30,11,13,1/418204804,1/14950821743,143,1/6252505476670253372,true
30,11,17,1/1222929124,1/57171936547,187,1/69917226278806294828,true
30,11,19,1/1908174724,1/99702129329,209,1/190249083114576880196,true
30,11,23,1/4097446564,1/259163495173,253,1/1061908572810839435572,true
30,11,29,1/10356023044,1/825892837759,319,1/8552965259706757318396,true
30,13,17,1/2385555364,1/131801933861,221,1/314420810307681780404,true
30,13,19,1/3722256964,1/229849367527,247,1/855558408948371208028,true
30,13,23,1/7992847204,1/597465328499,299,1/4775449080380173666796,true
30,13,29,1/20201388484,1/1903980864617,377,1/38463057112230226870628,true
30,17,19,1/10884754084,1/878943892283,323,1/9567088121134240333772,true
30,17,23,1/23372963524,1/2284707184471,391,1/53400377685661422235804,true
30,17,29,1/59073607204,1/7280822087893,493,1/430104424142398245981172,true
30,19,23,1/36469569124,1/3984300426797,437,1/145305719825855893415828,true
30,19,29,1/92174404804,1/12697024261751,551,1/1170340654108845927851804,true
30,23,29,1/197927209444,1/33004362174787,667,1/6532461304734697885088428,true
