control,left_weight,right_weight,gram,mixed_rational,mixed_radicand,b4_coefficient,nonzero
mutated_cover_promote_6,2,3,0,0,6,0,false
mutated_cover_promote_6,2,5,1/10000,1/25000,10,1/250000000,true
mutated_cover_promote_6,2,6,0,0,3,0,false
mutated_cover_promote_6,2,7,1/38416,1/134456,14,1/5165261696,true
mutated_cover_promote_6,2,11,0,0,22,0,false
mutated_cover_promote_6,2,13,0,0,26,0,false
mutated_cover_promote_6,2,17,0,0,34,0,false
mutated_cover_promote_6,3,5,1/50625,4/759375,15,4/38443359375,true
mutated_cover_promote_6,3,6,0,0,2,0,false
mutated_cover_promote_6,3,7,0,0,21,0,false
mutated_cover_promote_6,3,11,0,0,33,0,false
mutated_cover_promote_6,3,13,0,0,39,0,false
mutated_cover_promote_6,3,17,0,0,51,0,false
mutated_cover_promote_6,5,6,0,0,30,0,false
mutated_cover_promote_6,5,7,0,0,35,0,false
mutated_cover_promote_6,5,11,0,0,55,0,false
mutated_cover_promote_6,5,13,0,0,65,0,false
mutated_cover_promote_6,5,17,0,0,85,0,false
mutated_cover_promote_6,6,7,0,0,42,0,false
mutated_cover_promote_6,6,11,0,0,66,0,false
mutated_cover_promote_6,6,13,0,0,78,0,false
mutated_cover_promote_6,6,17,0,0,102,0,false
mutated_cover_promote_6,7,11,0,0,77,0,false
mutated_cover_promote_6,7,13,0,0,91,0,false
mutated_cover_promote_6,7,17,0,0,119,0,false
mutated_cover_promote_6,11,13,0,0,143,0,false
mutated_cover_promote_6,11,17,0,0,187,0,false
mutated_cover_promote_6,13,17,0,0,221,0,false
composite_only,4,6,1/20736,1/62208,6,1/2579890176,true
composite_only,4,9,0,0,1,0,false
composite_only,6,9,1/104976,1/472392,6,1/148769467776,true
seeded_generic_dag_29031,10,14,84103/405168750000,84103/7090453125000,35,7073314609/5745660059179687500000000,true
seeded_generic_dag_29031,10,21,24061/303876562500,24061/15953519531250,210,578931721/4847900674932861328125000,true
seeded_generic_dag_29031,10,25,1/92236816,1/1152960200,10,1/531726889113616000,true
seeded_generic_dag_29031,14,21,26513/607753125000,26513/6381407812500,6,702939169/27148243779624023437500000,true
seeded_generic_dag_29031,14,25,0,0,14,0,false
seeded_generic_dag_29031,21,25,0,0,21,0,false
seeded_random_inventory_29032,58,64,9075761/282576100000000,9075761/32778827600000000,58,82369437729121/74100106126242880000000000000000,true
seeded_random_inventory_29032,58,66,47837201/535279123210000,47837201/256131060455985000,957,2288397799514401/274203218935454307193823700000000,true
seeded_random_inventory_29032,58,111,1837571508403961281/15125708704810128100000000,63364534772550389/839476833116962109550000000,6438,116436863741310673957405110777488309/12697682042163673002265698114781733355000000000000000,true
seeded_random_inventory_29032,58,118,2349961/42367448492168,2349961/36245352185049724,1711,5522316701521/3071246183561166106391809123264,true
seeded_random_inventory_29032,64,66,0,0,66,0,false
seeded_random_inventory_29032,64,111,9075761/282576100000000,9075761/62731894200000000,111,82369437729121/141812272069188960000000000000000,true
seeded_random_inventory_29032,64,118,1/45212176,1/10670073536,118,1/3859337941140594688,true
seeded_random_inventory_29032,66,111,47837201/535279123210000,47837201/326787904719705000,814,2288397799514401/524768229341990139629559150000000,true
seeded_random_inventory_29032,66,118,1/29986576,1/29191931736,1947,1/1750732159176751872,true
seeded_random_inventory_29032,111,118,2349961/42367448492168,2349961/138732210087604116,13098,5522316701521/5877729765091197203611910563488,true
