object,class,atoms,pair_rows,nonzero_mixed,positive_b4
divisibility_12,baseline,5,10,10,10
divisibility_18,baseline,7,21,21,21
divisibility_30,baseline,10,45,45,45
mutated_cover_promote_6,control,8,28,3,3
composite_only,control,3,3,2,2
seeded_generic_dag_29031,control,4,6,4,4
seeded_random_inventory_29032,control,5,10,9,9
