trace_abs,repetition,discriminant,rational_coefficient_a,irrational_coefficient_b,exact_field_norm,galois_equals_inverse_exact,irrational_coefficient_nonzero,decimal_norm_residual,decimal_galois_inverse_residual
3,1,5,7/2,3/2,1,True,True,3.00000000E-99,4.00000000E-100
3,2,5,47/2,21/2,1,True,True,1.32400000E-97,2.82000000E-99
3,3,5,161,72,1,True,True,7.06900000E-97,2.19500000E-99
3,4,5,2207/2,987/2,1,True,True,6.67722500E-94,3.02547700E-97
3,5,5,15127/2,6765/2,1,True,True,1.27613500E-93,8.43613800E-98
3,6,5,51841,23184,1,True,True,2.99960067E-91,2.89307756E-96
4,1,12,7,2,1,True,True,1.00000000E-98,6.90000000E-100
4,2,12,97,28,1,True,True,1.52000000E-96,7.83400000E-99
4,3,12,1351,390,1,True,True,7.29230000E-95,2.69884000E-98
4,4,12,18817,5432,1,True,True,2.31072850E-91,6.14000240E-96
4,5,12,262087,75658,1,True,True,1.20910980E-89,2.30669548E-95
4,6,12,3650401,1053780,1,True,True,1.10185624E-87,1.50922631E-94
5,1,21,23/2,5/2,1,True,True,3.90000000E-98,1.69000000E-99
5,2,21,527/2,115/2,1,True,True,1.10869000E-95,2.10380000E-98
5,3,21,6049,1320,1,True,True,1.04716274E-92,8.65566830E-97
5,4,21,277727/2,60605/2,1,True,True,7.53473750E-91,2.71300144E-96
5,5,21,6375623/2,1391275/2,1,True,True,5.14738474E-88,8.07354002E-95
5,6,21,73180801,15969360,1,True,True,4.33175779E-85,2.95962721E-93
6,1,32,17,3,1,True,True,9.60000000E-98,2.82000000E-99
6,2,32,577,102,1,True,True,2.78277000E-95,2.41141000E-98
6,3,32,19601,3465,1,True,True,7.41979425E-92,1.89270809E-96
6,4,32,665857,117708,1,True,True,3.46617997E-89,2.60279608E-95
6,5,32,22619537,3998607,1,True,True,2.29952835E-85,5.08305796E-93
6,6,32,768398401,135834930,1,True,True,1.50574468E-83,9.79794259E-93
7,1,45,47/2,7/2,1,True,True,1.32400000E-97,2.82000000E-99
7,2,45,2207/2,329/2,1,True,True,6.67722500E-94,3.02547700E-97
7,3,45,51841,7728,1,True,True,2.99960067E-91,2.89307756E-96
7,4,45,4870847/2,726103/2,1,True,True,1.47721680E-87,3.03277193E-94
7,5,45,228826127/2,34111385/2,1,True,True,4.34566787E-84,1.89911350E-92
7,6,45,5374978561,801254496,1,True,True,5.66221669E-81,5.26719933E-91
8,1,60,31,4,1,True,True,2.06000000E-97,3.33000000E-99
8,2,60,1921,248,1,True,True,4.36121100E-94,1.13514100E-97
8,3,60,119071,15372,1,True,True,8.29181749E-90,3.48187950E-95
8,4,60,7380481,952816,1,True,True,4.33793390E-87,2.93878807E-94
8,5,60,457470751,59059220,1,True,True,5.11055878E-84,5.58566724E-93
8,6,60,28355806081,3660718824,1,True,True,3.32887244E-80,5.86982510E-91
9,1,77,79/2,9/2,1,True,True,1.36000000E-97,1.72000000E-99
9,2,77,6239/2,711/2,1,True,True,1.47137400E-93,2.35834900E-97
9,3,77,246401,28080,1,True,True,1.31722228E-89,2.67292397E-95
9,4,77,38925119/2,4435929/2,1,True,True,9.28218468E-86,2.38462590E-93
9,5,77,3074591599/2,350382231/2,1,True,True,1.46354303E-81,4.76012175E-91
9,6,77,121426905601,13837880160,1,True,True,8.97767952E-78,3.69674228E-89
10,1,96,49,5,1,True,True,3.55500000E-97,3.63000000E-99
10,2,96,4801,490,1,True,True,2.34716500E-93,2.44445400E-97
10,3,96,470449,48015,1,True,True,6.96942802E-91,7.40720888E-97
10,4,96,46099201,4704980,1,True,True,1.78204307E-85,1.93283509E-93
10,5,96,4517251249,461040025,1,True,True,8.39459757E-82,9.29170983E-92
10,6,96,442644523201,45177217470,1,True,True,1.59759768E-77,1.80460572E-89
11,1,117,119/2,11/2,1,True,True,2.57100000E-96,2.16100000E-98
11,2,117,14159/2,1309/2,1,True,True,3.04693900E-92,2.15194508E-96
11,3,117,842401,77880,1,True,True,4.67094260E-88,2.77239853E-94
11,4,117,200477279/2,18534131/2,1,True,True,1.51294971E-83,7.54673906E-92
11,5,117,23855111399/2,2205405829/2,1,True,True,4.31620608E-80,1.80934224E-90
11,6,117,1419278889601,131212379760,1,True,True,4.77548344E-76,1.68236260E-88
12,1,140,71,6,1,True,True,3.25640000E-96,2.29330000E-98
12,2,140,10081,852,1,True,True,1.08266294E-92,5.36981920E-97
12,3,140,1431431,120978,1,True,True,2.02229278E-87,7.06388496E-94
12,4,140,203253121,17178024,1,True,True,3.59134563E-83,8.83466294E-92
12,5,140,28860511751,2439158430,1,True,True,5.37354734E-79,9.30951499E-90
12,6,140,4097989415521,346343319036,1,True,True,8.89806918E-75,1.08566278E-87
13,1,165,167/2,13/2,1,True,True,3.54430000E-96,2.12240000E-98
13,2,165,27887/2,2171/2,1,True,True,2.17927225E-91,7.81465288E-96
13,3,165,2328481,181272,1,True,True,2.96748980E-87,6.37215807E-94
13,4,165,777684767/2,60542677/2,1,True,True,1.00085872E-82,1.28697225E-91
13,5,165,129868699127/2,10110264515/2,1,True,True,2.38488274E-78,1.83637994E-89
13,6,165,10843647534721,844176815664,1,True,True,1.26788824E-73,5.84622580E-87
14,1,192,97,7,1,True,True,6.23950000E-96,3.21630000E-98
14,2,192,18817,1358,1,True,True,1.45267150E-91,3.85999760E-96
14,3,192,3650401,263445,1,True,True,6.19894576E-87,8.49077369E-94
14,4,192,708158977,51106972,1,True,True,3.78506936E-82,2.67247150E-91
14,5,192,137379191137,9914489123,1,True,True,1.11151025E-77,4.04540980E-89
14,6,192,26650854921601,1923359782890,1,True,True,5.77690741E-73,1.08381278E-86
15,1,221,223/2,15/2,1,True,True,1.23610000E-95,5.54300000E-98
15,2,221,49727/2,3345/2,1,True,True,4.77981820E-92,9.61211850E-97
15,3,221,5544449,372960,1,True,True,1.39825250E-87,1.26094811E-94
15,4,221,2472774527/2,166336815/2,1,True,True,1.14780798E-81,4.64178182E-91
15,5,221,551417630623/2,37092363825/2,1,True,True,3.36252312E-77,6.09796084E-89
15,6,221,61481829427201,4135715398080,1,True,True,5.65646977E-74,4.60011504E-88
16,1,252,127,8,1,True,True,2.41900000E-96,9.52300000E-99
16,2,252,32257,2032,1,True,True,6.85065607E-91,1.06188673E-95
16,3,252,8193151,516120,1,True,True,3.05421461E-86,1.86388278E-93
16,4,252,2081028097,131092448,1,True,True,2.45447112E-81,5.89725608E-91
16,5,252,528572943487,33296965672,1,True,True,1.34363708E-76,1.27100440E-88
16,6,252,134255446617601,8457298188240,1,True,True,1.97661400E-71,7.36139221E-86
17,1,285,287/2,17/2,1,True,True,1.32690000E-95,4.62360000E-98
17,2,285,82367/2,4879/2,1,True,True,1.62243720E-91,1.96976604E-96
17,3,285,11819521,700128,1,True,True,1.05079717E-85,4.44517662E-93
17,4,285,6784322687/2,401868593/2,1,True,True,3.07829957E-82,4.53737198E-92
17,5,285,1947076972127/2,115334885935/2,1,True,True,5.81549297E-77,2.98678124E-89
17,6,285,279402153338881,16550355197376,1,True,True,1.74335674E-71,3.11979832E-86
18,1,320,161,9,1,True,True,7.06900000E-97,2.19500000E-99
18,2,320,51841,2898,1,True,True,2.99960067E-91,2.89307756E-96
18,3,320,16692641,933147,1,True,True,5.58277643E-86,1.67222683E-93
18,4,320,5374978561,300470436,1,True,True,5.66221669E-81,5.26719933E-91
18,5,320,1730726404001,96750547245,1,True,True,6.92124918E-76,1.99952146E-88
18,6,320,557288527109761,31153375742454,1,True,True,1.28275956E-71,1.15089357E-86
19,1,357,359/2,19/2,1,True,True,1.03532000E-95,2.88390000E-98
19,2,357,128879/2,6821/2,1,True,True,2.12049829E-90,1.64534043E-95
19,3,357,23133601,1224360,1,True,True,3.09455083E-86,6.68843304E-94
19,4,357,16609796639/2,879083659/2,1,True,True,3.74040710E-80,2.25192829E-90
19,5,357,5962870726199/2,315588584861/2,1,True,True,3.35633052E-75,5.62871588E-88
19,6,357,1070326990454401,56647711440720,1,True,True,1.33055877E-70,6.21566483E-86
20,1,396,199,10,1,True,True,1.81403000E-95,4.55790000E-98
20,2,396,79201,3980,1,True,True,2.58837424E-90,1.63405401E-95
20,3,396,31521799,1584030,1,True,True,7.22642877E-85,1.14625894E-92
20,4,396,12545596801,630439960,1,True,True,7.63488447E-80,3.04285424E-90
20,5,396,4993116004999,250913520050,1,True,True,1.44650024E-74,1.44849452E-87
20,6,396,1987247624392801,99862950539940,1,True,True,1.21642518E-69,3.06057777E-85
