x,baseline_proxy,smooth_bump,shifted_proxy,absolute_difference,inside_audited_neighborhood
-1,0.49994375949040815,0,0.49994375949040815,0,False
-0.98999999999999999,0.50245547028697757,0,0.50245547028697757,0,False
-0.97999999999999998,0.50499254320891285,0,0.50499254320891285,0,False
-0.96999999999999997,0.50755536430371739,0,0.50755536430371739,0,False
-0.95999999999999996,0.51014432749284733,0,0.51014432749284733,0,False
-0.94999999999999996,0.51275983477346609,0,0.51275983477346609,0,False
-0.93999999999999995,0.51540229642643387,0,0.51540229642643387,0,False
-0.92999999999999994,0.51807213123075779,0,0.51807213123075779,0,False
-0.92000000000000004,0.52076976668473718,0,0.52076976668473718,0,False
-0.91000000000000003,0.52349563923405096,0,0.52349563923405096,0,False
-0.90000000000000002,0.52625019450704147,0,0.52625019450704147,0,False
-0.89000000000000001,0.52903388755745973,0,0.52903388755745973,0,False
-0.88,0.53184718311495349,0,0.53184718311495349,0,False
-0.87,0.53469055584358272,0,0.53469055584358272,0,False
-0.85999999999999999,0.53756449060866918,0,0.53756449060866918,0,False
-0.84999999999999998,0.54046948275229012,0,0.54046948275229012,0,False
-0.83999999999999997,0.54340603837775014,0,0.54340603837775014,0,False
-0.82999999999999996,0.54637467464336886,0,0.54637467464336886,0,False
-0.82000000000000006,0.5493759200659466,0,0.5493759200659466,0,False
-0.81000000000000005,0.55241031483427849,0,0.55241031483427849,0,False
-0.80000000000000004,0.55547841113311103,0,0.55547841113311103,0,False
-0.79000000000000004,0.55858077347794555,0,0.55858077347794555,0,False
-0.78000000000000003,0.56171797906111642,0,0.56171797906111642,0,False
-0.77000000000000002,0.5648906181095894,0,0.5648906181095894,0,False
-0.76000000000000001,0.56809929425494587,0,0.56809929425494587,0,False
-0.75,0.57134462491603777,0,0.57134462491603777,0,False
-0.73999999999999999,0.57462724169482615,0,0.57462724169482615,0,False
-0.72999999999999998,0.57794779078593272,0,0.57794779078593272,0,False
-0.71999999999999997,0.58130693340046324,0,0.58130693340046324,0,False
-0.70999999999999996,0.58470534620468617,0,0.58470534620468617,0,False
-0.69999999999999996,0.58814372177417817,0,0.58814372177417817,0,False
-0.68999999999999995,0.59162276906407496,0,0.59162276906407496,0,False
-0.67999999999999994,0.59514321389609803,0,0.59514321389609803,0,False
-0.66999999999999993,0.59870579946306113,0,0.59870579946306113,0,False
-0.65999999999999992,0.60231128685159074,0,0.60231128685159074,0,False
-0.64999999999999991,0.60596045558383194,0,0.60596045558383194,0,False
-0.64000000000000001,0.60965410417895249,0,0.60965410417895249,0,False
-0.63,0.61339305073528949,0,0.61339305073528949,0,False
-0.62,0.6171781335340315,0,0.6171781335340315,0,False
-0.60999999999999999,0.62101021166537407,0,0.62101021166537407,0,False
-0.59999999999999998,0.62489016567812317,0,0.62489016567812317,0,False
-0.58999999999999997,0.62881889825378756,0,0.62881889825378756,0,False
-0.58000000000000007,0.63279733490623169,0,0.63279733490623169,0,False
-0.57000000000000006,0.63682642470803907,0,0.63682642470803907,0,False
-0.56000000000000005,0.64090714104477353,0,0.64090714104477353,0,False
-0.55000000000000004,0.64504048239840106,0,0.64504048239840106,0,False
-0.54000000000000004,0.64922747316119545,0,0.64922747316119545,0,False
-0.53000000000000003,0.65346916448151926,0,0.65346916448151926,0,False
-0.52000000000000002,0.65776663514294564,0,0.65776663514294564,0,False
-0.51000000000000001,0.6621209924782655,0,0.6621209924782655,0,False
-0.5,0.66653337332000473,0,0.66653337332000473,0,False
-0.48999999999999999,0.67100494498916319,0,0.67100494498916319,0,False
-0.47999999999999998,0.67553690632398267,0,0.67553690632398267,0,False
-0.46999999999999997,0.68013048875064364,0,0.68013048875064364,0,False
-0.45999999999999996,0.68478695739790074,0,0.68478695739790074,0,False
-0.44999999999999996,0.68950761225777257,0,0.68950761225777257,0,False
-0.43999999999999995,0.69429378939452235,0,0.69429378939452235,0,False
-0.42999999999999994,0.69914686220428734,0,0.69914686220428734,0,False
-0.42000000000000004,0.70406824272785185,0,0.70406824272785185,0,False
-0.41000000000000003,0.70905938301919502,0,0.70905938301919502,0,False
