p,iterate,fix_count
5,45,17
5,46,0
5,47,0
5,48,11
5,49,0
5,50,5
5,51,3
5,52,8
5,53,0
5,54,12
5,55,5
5,56,8
5,57,3
5,58,0
5,59,0
5,60,16
5,61,0
5,62,0
5,63,12
5,64,8
7,1,1
7,2,1
7,3,1
7,4,1
7,5,6
7,6,7
7,7,15
7,8,1
7,9,1
7,10,16
7,11,1
7,12,7
7,13,14
7,14,15
7,15,6
7,16,1
7,17,1
7,18,7
7,19,1
7,20,16
7,21,15
7,22,1
7,23,1
7,24,7
7,25,6
7,26,14
7,27,1
7,28,15
7,29,1
7,30,22
7,31,1
7,32,1
7,33,1
7,34,1
7,35,20
7,36,7
7,37,1
7,38,1
7,39,14
7,40,16
7,41,1
7,42,21
7,43,1
7,44,1
7,45,6
7,46,1
7,47,1
7,48,7
7,49,15
7,50,16
7,51,1
7,52,14
7,53,1
7,54,7
7,55,6
7,56,15
7,57,1
7,58,1
7,59,1
7,60,22
7,61,1
7,62,1
7,63,15
7,64,1
11,1,0
11,2,2
11,3,6
11,4,2
11,5,10
11,6,8
11,7,7
11,8,10
11,9,6
11,10,12
11,11,0
11,12,8
11,13,0
11,14,9
11,15,16
11,16,26
11,17,0
11,18,44
11,19,0
11,20,12
11,21,13
11,22,2
11,23,0
11,24,16
11,25,10
11,26,2
11,27,6
11,28,9
11,29,0
11,30,18
11,31,0
11,32,26
11,33,6
11,34,2
11,35,17
11,36,80
11,37,0
11,38,2
11,39,6
11,40,20
11,41,0
11,42,15
11,43,0
11,44,2
11,45,16
11,46,2
11,47,0
11,48,32
11,49,7
11,50,12
11,51,6
11,52,2
11,53,0
11,54,44
11,55,10
11,56,17
11,57,6
11,58,2
11,59,0
11,60,18
11,61,0
11,62,2
11,63,13
11,64,26
13,1,0
13,2,2
13,3,0
13,4,2
13,5,0
13,6,8
13,7,14
13,8,2
13,9,0
13,10,12
13,11,22
13,12,8
13,13,0
13,14,16
13,15,15
13,16,18
13,17,17
13,18,8
13,19,0
13,20,32
13,21,14
13,22,46
13,23,0
13,24,8
13,25,25
13,26,2
13,27,0
13,28,16
13,29,0
13,30,33
13,31,0
13,32,18
13,33,22
13,34,19
13,35,14
13,36,8
13,37,0
13,38,2
13,39,0
13,40,32
13,41,0
13,42,22
13,43,0
13,44,46
13,45,15
13,46,2
13,47,0
13,48,24
13,49,14
13,50,37
13,51,17
13,52,2
13,53,0
13,54,8
13,55,22
13,56,16
13,57,0
13,58,2
13,59,0
13,60,53
13,61,0
13,62,2
13,63,14
13,64,18
17,1,0
17,2,0
17,3,0
17,4,0
17,5,15
17,6,6
17,7,14
17,8,16
17,9,9
17,10,25
17,11,11
17,12,6
17,13,0
17,14,14
17,15,15
17,16,32
17,17,0
17,18,15
17,19,0
17,20,25
17,21,14
17,22,11
17,23,0
17,24,46
17,25,15
17,26,0
17,27,9
17,28,14
17,29,29
17,30,61
17,31,0
17,32,32
17,33,11
17,34,0
17,35,29
17,36,51
17,37,0
17,38,0
17,39,0
17,40,41
17,41,0
17,42,20
17,43,0
17,44,11
17,45,24
17,46,0
17,47,0
17,48,62
17,49,14
17,50,25
17,51,0
17,52,0
17,53,0
17,54,15
17,55,26
17,56,30
17,57,0
17,58,29
17,59,0
17,60,61
17,61,0
17,62,0
17,63,23
17,64,32
19,1,2
19,2,2
19,3,5
19,4,10
19,5,2
19,6,5
19,7,9
19,8,10
19,9,14
19,10,2
19,11,2
19,12,13
19,13,28
19,14,23
19,15,5
19,16,10
19,17,19
19,18,14
19,19,2
19,20,30
19,21,33
19,22,24
19,23,2
19,24,13
19,25,27
19,26,28
19,27,14
19,28,31
19,29,2
19,30,5
19,31,2
19,32,42
19,33,5
19,34,53
19,35,9
19,36,22
19,37,2
19,38,2
19,39,31
19,40,30
19,41,2
19,42,47
19,43,2
19,44,32
19,45,14
19,46,2
19,47,2
19,48,13
19,49,9
19,50,27
19,51,22
19,52,36
19,53,2
19,54,14
19,55,2
19,56,31
19,57,5
19,58,60
19,59,2
19,60,33
19,61,2
19,62,2
19,63,105
19,64,42
23,1,0
23,2,2
23,3,0
23,4,6
23,5,0
23,6,8
23,7,0
23,8,14
23,9,18
23,10,2
23,11,11
23,12,24
23,13,13
23,14,2
23,15,0
23,16,14
23,17,17
23,18,44
23,19,19
23,20,6
23,21,21
23,22,35
23,23,0
23,24,32
23,25,0
23,26,15
23,27,18
23,28,6
23,29,29
23,30,8
23,31,0
23,32,14
23,33,44
23,34,53
23,35,35
23,36,60
23,37,37
23,38,59
23,39,13
23,40,14
23,41,0
23,42,29
23,43,0
23,44,83
23,45,18
23,46,2
23,47,0
23,48,32
23,49,0
23,50,2
23,51,17
23,52,71
23,53,0
23,54,44
23,55,11
23,56,70
23,57,19
23,58,31
23,59,0
23,60,24
23,61,0
23,62,2
23,63,39
23,64,14
29,1,2
29,2,2
29,3,8
29,4,10
29,5,7
29,6,20
29,7,30
29,8,26
29,9,8
29,10,7
29,11,24
29,12,28
29,13,2
29,14,30
29,15,28
29,16,26
29,17,2
29,18,38
29,19,21
29,20,35
29,21,36
29,22,24
29,23,2
29,24,44
29,25,32
29,26,2
29,27,8
29,28,38
29,29,2
29,30,40
29,31,2
29,32,26
29,33,63
29,34,2
29,35,35
29,36,46
29,37,2
29,38,21
29,39,47
29,40,51
29,41,2
29,42,48
29,43,45
29,44,32
29,45,73
29,46,2
29,47,49
29,48,44
29,49,30
29,50,32
29,51,59
29,52,10
29,53,55
29,54,38
29,55,29
29,56,54
29,57,27
29,58,2
29,59,2
29,60,68
29,61,2
29,62,2
29,63,36
29,64,26
31,1,2
31,2,2
31,3,8
31,4,2
31,5,12
31,6,14
31,7,9
31,8,34
31,9,8
31,10,12
31,11,2
31,12,26
31,13,28
31,14,37
31,15,18
31,16,50
31,17,2
31,18,14
31,19,2
31,20,32
31,21,78
31,22,2
31,23,2
31,24,82
31,25,12
31,26,54
31,27,8
31,28,37
31,29,2
31,30,24
31,31,64
31,32,50
31,33,8
31,34,2
31,35,19
31,36,98
31,37,2
31,38,2
31,39,34
31,40,64
31,41,2
31,42,112
31,43,2
31,44,2
31,45,18
31,46,48
31,47,2
31,48,98
31,49,9
31,50,12
31,51,8
31,52,54
31,53,2
31,54,14
31,55,12
31,56,69
31,57,8
31,58,2
31,59,2
31,60,56
31,61,2
31,62,64
31,63,78
31,64,50
37,1,2
37,2,4
37,3,2
37,4,4
37,5,2
37,6,10
37,7,2
37,8,4
37,9,11
37,10,14
37,11,13
37,12,34
37,13,15
37,14,18
37,15,17
37,16,4
37,17,2
37,18,19
37,19,2
37,20,54
37,21,44
37,22,15
37,23,25
37,24,34
37,25,2
37,26,17
37,27,11
