p,bad_reduction,exceptional_fixed_discriminant,n_points,num_cycles,fixed_points,predicted_fixed_points,largest_cycle,largest_cycle_fraction,short_threshold,short_cycle_count,short_point_mass,short_point_mass_fraction,symmetric_cycle_count,symmetric_degree,symmetric_degree_fraction,paired_cycle_pair_count,paired_base_degree,uniform_theory_cycle_z,uniform_num_cycles_mean,uniform_num_cycles_sd,uniform_num_cycles_z,uniform_num_cycles_outside95,uniform_fixed_points_mean,uniform_fixed_points_sd,uniform_fixed_points_z,uniform_fixed_points_outside95,uniform_largest_cycle_fraction_mean,uniform_largest_cycle_fraction_sd,uniform_largest_cycle_fraction_z,uniform_largest_cycle_fraction_outside95,uniform_short_point_mass_fraction_mean,uniform_short_point_mass_fraction_sd,uniform_short_point_mass_fraction_z,uniform_short_point_mass_fraction_outside95,reversible_num_cycles_mean,reversible_num_cycles_sd,reversible_num_cycles_z,reversible_num_cycles_outside95,reversible_fixed_points_mean,reversible_fixed_points_sd,reversible_fixed_points_z,reversible_fixed_points_outside95,reversible_largest_cycle_fraction_mean,reversible_largest_cycle_fraction_sd,reversible_largest_cycle_fraction_z,reversible_largest_cycle_fraction_outside95,reversible_short_point_mass_fraction_mean,reversible_short_point_mass_fraction_sd,reversible_short_point_mass_fraction_z,reversible_short_point_mass_fraction_outside95,reversible_symmetric_cycle_count_mean,reversible_symmetric_cycle_count_sd,reversible_symmetric_cycle_count_z,reversible_symmetric_cycle_count_outside95,reversible_symmetric_degree_fraction_mean,reversible_symmetric_degree_fraction_sd,reversible_symmetric_degree_fraction_z,reversible_symmetric_degree_fraction_outside95
2,True,False,4,1,0,0,4,1.0,2,0,0,0.0,1,4,1.0,0,0,-1.3337718577107003,2.1875,0.6343057228182637,-1.872125628512157,False,1.125,0.6959705453537527,-1.6164477182409742,False,0.6875,0.16535945694153692,1.889822365046136,False,0.5,0.39528470752104744,-1.2649110640673518,False,1.375,0.7806247497997998,-0.48038446141526137,False,0.375,0.7806247497997998,-0.48038446141526137,False,0.90625,0.19515618744994995,0.48038446141526137,False,0.1875,0.3903123748998999,-0.48038446141526137,False,1.0,0.0,0.0,False,0.90625,0.19515618744994995,0.48038446141526137,False
3,True,False,9,3,1,1,4,0.4444444444444444,3,1,1,0.1111111111111111,3,9,1.0,0,0,0.1506317400311871,2.8125,1.0135796712641785,0.1849879247934622,False,1.0,0.9354143466934853,0.0,False,0.6736111111111112,0.19030818897284335,-1.2041871025285644,False,0.3194444444444444,0.23854950051830096,-0.8733337646093728,False,3.25,0.6614378277661477,-0.3779644730092272,False,1.0625,1.0879309490955758,-0.0574484989621426,False,0.5208333333333334,0.1286129109545287,-0.5939441718716433,False,0.4861111111111111,0.2774303382699747,-1.351690670668749,False,3.0,0.0,0.0,False,0.9722222222222222,0.0734930919740164,0.3779644730092274,False
5,False,False,25,5,0,0,9,0.36,5,4,16,0.64,5,25,1.0,0,0,0.7964304184444481,3.6875,1.7218721642444887,0.7622517090726592,False,0.8125,1.0135796712641785,-0.8016143407716696,False,0.605,0.2457132475061123,-0.9970972362566876,False,0.17,0.11789826122551596,3.986487969495863,True,5.375,0.7806247497997998,-0.48038446141526137,False,1.4375,1.27322179921646,-1.1290255954497768,False,0.41000000000000003,0.08544003745317531,-0.5852057359806533,False,0.28500000000000003,0.1502497920131672,2.362732056021012,True,5.0,0.0,0.0,False,0.98,0.044721359549995794,0.4472135954999583,False
7,False,True,49,7,1,1,13,0.2653061224489796,7,5,26,0.5306122448979592,7,49,1.0,0,0,1.4920196085769528,4.6875,1.8946882989030147,1.220517380794978,False,1.0,1.0,0.0,False,0.6007653061224489,0.18109999142175923,-1.852342349880221,True,0.14158163265306123,0.08732355625899359,4.455047743258064,True,8.875,2.1758618981911515,-0.8617274844321391,False,2.1875,2.098176291449315,-0.5659676952977744,False,0.3329081632653061,0.07894779655838664,-0.856287873295244,False,0.3979591836734694,0.15857418640734747,0.8365362877141233,False,7.0,0.0,0.0,False,0.923469387755102,0.12319078028213916,0.6212365249219368,False
11,False,False,121,11,0,0,36,0.2975206611570248,11,7,33,0.2727272727272727,11,121,1.0,0,0,2.9073486623545044,4.4375,1.6944302139657448,3.872983346207417,True,0.625,0.8569568250501305,-0.7293249574894728,False,0.5583677685950413,0.16326154872930393,-1.5977253031607246,True,0.07954545454545454,0.057915769795081735,3.335565060523867,True,11.75,1.1989578808281798,-0.6255432421712244,False,1.0625,1.0288798520721456,-1.0326764566923379,False,0.2799586776859504,0.07517226306705121,0.2336231843307642,False,0.3662190082644628,0.08572357373667733,-1.0906187348695322,False,11.0,0.0,0.0,False,0.9855371900826446,0.027332141643229235,0.5291502622129185,False
13,False,False,169,13,0,0,25,0.14792899408284024,13,7,54,0.31952662721893493,13,169,1.0,0,0,3.6130244636375246,6.125,1.6909686573085854,4.06571699025015,True,1.125,0.7806247497997998,-1.4411533842457842,False,0.6630917159763313,0.20451116556167875,-2.5189955789388065,True,0.07877218934911243,0.0514877377785883,4.675956805582216,True,15.125,2.496873044429772,-0.8510644963469901,False,2.0,2.179449471770337,-0.917662935482247,False,0.2533284023668639,0.08032472865744628,-1.3121663782209725,True,0.34356508875739644,0.09305353997632371,-0.2583293611890293,False,13.0,0.0,0.0,False,0.9652366863905325,0.056363664535568986,0.6167681589888407,False
17,False,False,289,17,0,0,73,0.25259515570934254,17,12,97,0.3356401384083045,17,289,1.0,0,0,5.012251667391468,6.5,1.6583123951777,6.331738236133036,True,1.0,0.7071067811865476,-1.414213562373095,False,0.6401384083044983,0.19381024083858364,-1.9996015221812977,True,0.07482698961937716,0.03862580255080396,6.752303682127603,True,19.125,2.394655507583502,-0.887392776652197,False,2.1875,1.911110606427582,-1.144622395293525,False,0.1745242214532872,0.038218630408798665,2.042745473110463,False,0.2945501730103806,0.07570934058374396,0.5427331037505636,False,17.0,0.0,0.0,False,0.9770761245674741,0.030727612870088898,0.7460350248958216,False
19,False,False,361,19,2,2,63,0.1745152354570637,19,11,86,0.23822714681440443,19,361,1.0,0,0,5.705265448060194,7.625,1.9324531042175384,5.886300668913673,True,1.125,0.7806247497997998,1.12089707663561,False,0.6073407202216067,0.18656849011961615,-2.319928110513421,True,0.07340720221606647,0.03835840006683166,4.296840960811007,True,21.75,1.984313483298443,-1.3858697343671664,False,2.0,1.541103500742244,0.0,False,0.1772853185595568,0.047708600137534175,-0.05806255254833491,False,0.31024930747922436,0.07379165515220212,-0.9760203984619609,False,19.0,0.0,0.0,False,0.967797783933518,0.029719954898783128,1.0835217003576443,False
23,False,False,529,23,0,0,56,0.10586011342155009,23,14,171,0.32325141776937616,23,529,1.0,0,0,7.078463758370243,7.125,2.315032397181517,6.857355438881694,True,1.375,1.3635890143294642,-1.0083683467310325,False,0.6704867674858223,0.17372508586246474,-3.250115844013902,True,0.04312381852551985,0.029439110458508225,9.515491293076636,True,25.125,2.057759704144291,-1.0326764566923379,False,1.6875,1.3095204274848102,-1.2886396917390386,False,0.16174385633270322,0.04245933929880517,-1.3161708079787697,True,0.3146266540642722,0.07119959684832759,0.1211350075966974,False,23.0,0.0,0.0,False,0.9766068052930057,0.03634258519267227,0.6436854886072072,False
29,False,False,841,33,2,2,94,0.1117717003567182,29,22,196,0.23305588585017836,29,805,0.9571938168846611,2,18,10.789056022289303,7.375,2.315032397181517,11.068959566698796,True,0.9375,1.1439378261076953,0.9288092200038602,False,0.6024078478002378,0.16772809663874205,-2.925187593944185,True,0.03136147443519619,0.025791500342771043,7.820189160554748,True,31.25,2.1065374432940898,0.8307471607356973,False,2.5,2.0615528128088303,-0.24253562503633297,False,0.13785671819262782,0.03662390925400315,-0.7122401285727962,False,0.27563912009512487,0.06395999463744069,-0.6657792028647118,False,29.0,0.0,0.0,False,0.9921224732461356,0.015428462761613172,-2.2639103390377167,False
