p,bad_reduction,exceptional_fixed_discriminant,n_points,num_cycles,fixed_points,predicted_fixed_points,largest_cycle,largest_cycle_fraction,short_threshold,short_cycle_count,short_point_mass,short_point_mass_fraction,symmetric_cycle_count,symmetric_degree,symmetric_degree_fraction,paired_cycle_pair_count,paired_base_degree,uniform_theory_cycle_z,uniform_num_cycles_mean,uniform_num_cycles_sd,uniform_num_cycles_z,uniform_num_cycles_outside95,uniform_fixed_points_mean,uniform_fixed_points_sd,uniform_fixed_points_z,uniform_fixed_points_outside95,uniform_largest_cycle_fraction_mean,uniform_largest_cycle_fraction_sd,uniform_largest_cycle_fraction_z,uniform_largest_cycle_fraction_outside95,uniform_short_point_mass_fraction_mean,uniform_short_point_mass_fraction_sd,uniform_short_point_mass_fraction_z,uniform_short_point_mass_fraction_outside95,reversible_num_cycles_mean,reversible_num_cycles_sd,reversible_num_cycles_z,reversible_num_cycles_outside95,reversible_fixed_points_mean,reversible_fixed_points_sd,reversible_fixed_points_z,reversible_fixed_points_outside95,reversible_largest_cycle_fraction_mean,reversible_largest_cycle_fraction_sd,reversible_largest_cycle_fraction_z,reversible_largest_cycle_fraction_outside95,reversible_short_point_mass_fraction_mean,reversible_short_point_mass_fraction_sd,reversible_short_point_mass_fraction_z,reversible_short_point_mass_fraction_outside95,reversible_symmetric_cycle_count_mean,reversible_symmetric_cycle_count_sd,reversible_symmetric_cycle_count_z,reversible_symmetric_cycle_count_outside95,reversible_symmetric_degree_fraction_mean,reversible_symmetric_degree_fraction_sd,reversible_symmetric_degree_fraction_z,reversible_symmetric_degree_fraction_outside95
31,False,False,961,35,2,2,99,0.10301768990634755,31,26,340,0.3537981269510926,31,917,0.9542143600416233,2,22,11.439505080956783,7.9375,1.5995604865087159,16.9187100008128,True,1.1875,0.9499177595981665,0.8553372034476997,False,0.6445109261186264,0.18400811326095767,-2.9427682650293843,True,0.037265868886576486,0.01958611509491111,16.161053712318783,True,33.5,3.122498999199199,0.48038446141526137,False,1.9375,1.5194057226429023,0.04113450348948636,False,0.12779656607700313,0.028649632025240387,-0.864893348327313,False,0.29786680541103017,0.0532053570562194,1.0512347747419988,False,31.0,0.0,0.0,False,0.9864724245577523,0.019716228222160688,-1.6361174233047027,False
37,False,False,1369,37,2,2,101,0.07377647918188458,37,21,331,0.24178232286340395,37,1369,1.0,0,0,11.769824606903738,7.5625,2.6685377550261493,11.03132228298248,True,1.375,1.0532687216470449,0.5933908290969266,False,0.652072680788897,0.2308903835081411,-2.5046352854562346,True,0.025794375456537618,0.018123508460897875,11.917557126031538,True,40.25,2.6339134382131846,-1.2339053944782488,False,2.3125,1.3095204274848102,-0.23863697995167382,False,0.11828889700511322,0.035985330728241095,-1.2369600868582689,True,0.29967129291453615,0.03568664360532432,-1.622146668971003,False,37.0,0.0,0.0,False,0.9884039444850256,0.015464971770297901,0.7498271375603728,False
41,False,False,1681,41,0,0,171,0.10172516359309934,41,25,425,0.2528256989886972,41,1681,1.0,0,0,13.08317753797635,9.0,2.8722813232690143,11.140969981164663,True,1.5,0.7071067811865476,-2.1213203435596424,True,0.5523497917906008,0.16728620344510237,-2.693734563384847,True,0.025431290898274835,0.02724437195000231,8.34647275069239,True,45.125,2.6896793489187516,-1.5336400607225713,False,2.25,1.8874586088176875,-1.1920791213585393,False,0.09607376561570494,0.01902350291968576,0.297074518886123,False,0.28390838786436645,0.04468292665502918,-0.695627865104731,False,41.0,0.0,0.0,False,0.9823022010707911,0.021641332853740706,0.8177776779654216,False
43,False,False,1849,43,0,0,320,0.17306652244456464,43,32,681,0.3683071930773391,43,1849,1.0,0,0,13.736058691188413,8.9375,2.2491317769308226,15.14473289176585,True,1.0,1.2747548783981961,-0.7844645405527362,False,0.49421984856679285,0.181723693384142,-1.767261715528469,True,0.024202271498107084,0.020760076436971454,16.575320549707527,True,46.125,1.8666480653835098,-1.6741238254560626,False,1.75,1.75,-1.0,False,0.09464575446187128,0.02795378870297583,2.8053717088569483,True,0.2691657652785289,0.0427517698160486,2.319001721458405,True,43.0,0.0,0.0,False,0.9848566792861005,0.01606646920228551,0.94254191902632,False
47,False,False,2209,47,2,2,168,0.07605251244907198,47,27,506,0.22906292440018108,47,2209,1.0,0,0,15.034789706628883,8.75,2.0766559657295187,18.419035522122687,True,1.0,1.0606601717798212,0.9428090415820635,False,0.5463162064282481,0.20014297174271478,-2.349638810118716,True,0.017287234042553192,0.01052721586089272,20.116970446511683,True,50.5,2.7838821814150108,-1.2572371141874243,False,2.375,1.4086784586980805,-0.26620695282483414,False,0.0876244907197827,0.021635346069955385,-0.5348644867197445,False,0.2955805794477139,0.05089644127986156,-1.306921532721231,False,47.0,0.0,0.0,False,0.9800814848347669,0.024531227874309672,0.811965681754267,False
53,False,False,2809,53,2,2,180,0.06407974368102527,53,31,712,0.25347098611605556,53,2809,1.0,0,0,16.966752977665177,8.8125,2.6272311946229627,16.81903750626766,True,0.8125,0.5266343608235224,2.254885150568321,True,0.6726593093627625,0.20631415190210475,-2.9497713078378927,True,0.024652901388394446,0.016444716402726215,13.914383144347052,True,55.25,1.984313483298443,-1.1338934190276817,False,2.0,2.3979157616563596,0.0,False,0.08648540405838377,0.01673499511360931,-1.3388507271888994,True,0.2917853328586686,0.0435248980514106,-0.8802857320276088,False,53.0,0.0,0.0,False,0.9963510145959417,0.003724185822874274,0.9798075546193075,False
59,False,False,3481,59,2,2,309,0.08876759551852915,59,38,1131,0.324906636024131,59,3481,1.0,0,0,18.881327084700438,9.125,2.2878756522153907,21.799698751855306,True,0.75,0.9013878188659973,1.386750490563073,False,0.6379632289571963,0.2056254584087331,-2.670854269158639,True,0.021850761275495546,0.01285107456856636,23.582142733021566,True,62.0,2.449489742783178,-1.2247448713915892,False,2.0625,1.3448396744593758,-0.04647394123401731,False,0.07469118069520253,0.014347160844419242,0.9811289478086578,False,0.28865627693191614,0.029707014427299776,1.2202626144383584,False,59.0,0.0,0.0,False,0.9946854352197645,0.006337952161134783,0.8385302768337651,False
61,False,False,3721,61,0,0,306,0.08223595807578608,61,35,773,0.20773985487772104,61,3721,1.0,0,0,19.515982369291883,8.8125,2.098176291449315,24.872790819665344,True,1.0625,0.8267972847076845,-1.2850792082313727,False,0.6319537758667025,0.19551653053222698,-2.81161810868113,True,0.015520021499596883,0.009369771001749093,20.51489127559699,True,63.625,2.4206145913796355,-1.0844353369380768,False,1.5,1.4577379737113252,-1.028991510855053,False,0.07153654931470035,0.011633979431694103,0.9196688737421737,False,0.2681234883095942,0.03317051006362973,-1.8204011127969255,True,61.0,0.0,0.0,False,0.9937180865358775,0.007222989553735915,0.8697109994951301,False
67,False,False,4489,71,0,0,396,0.08821563822677657,67,47,1392,0.3100913343729116,67,4435,0.9879705947872578,2,27,22.88640285260521,8.25,3.6827299656640586,17.03899025588348,True,0.6875,0.8454843286542927,-0.8131433980500301,False,0.5994932056137224,0.16743252537510547,-3.0536334935014042,True,0.014298841612831365,0.014936220500296455,19.803704207112457,True,69.75,2.331844763272204,0.5360562674188973,False,1.6875,1.9273929931386593,-0.8755349874194541,False,0.07652038315883271,0.01667480277228723,0.7013729174284956,False,0.2809785030073513,0.020442828791694758,1.4241097287567113,False,67.0,0.0,0.0,False,0.9936511472488305,0.006969253825333322,-0.8150876125251534,False
71,False,False,5041,73,0,0,286,0.05673477484626066,71,43,1091,0.21642531243800833,71,5029,0.9976195199365205,1,6,23.397705466790043,10.4375,2.474084426611186,25.287132212255745,True,0.9375,0.899218410621135,-1.0425720702853738,False,0.5906070224161872,0.15727272520235397,-3.3945634685418162,True,0.015510315413608412,0.0071957241232911565,27.92144245414818,True,74.125,2.117634293262177,-0.5312532024908597,False,1.8125,1.7036266463048764,-1.0639068154582267,False,0.07047212854592343,0.02208529899968102,-0.6220134805447359,False,0.2777970640745884,0.02886646278804442,-2.1260572203532426,True,71.0,0.0,0.0,False,0.9898085697282285,0.010523811951634024,0.7422168168901225,False
73,False,False,5329,79,0,0,327,0.061362356914993435,73,52,1390,0.2608369300056296,73,5225,0.9804841433664853,3,52,25.479718401069587,8.4375,2.8932842497756766,24.388374562738136,True,0.6875,0.8454843286542927,-0.8131433980500301,False,0.6715964533683618,0.20580383337478825,-2.965125024382196,True,0.014894914618127229,0.00906792445765341,27.122195000193795,True,76.375,2.6190408549696205,1.00227531579703,False,2.125,1.899835519196333,-1.1185178814316072,False,0.0672030399699756,0.015214014948389941,-0.38390149311640287,False,0.267568962281854,0.03447822868026668,-0.19525458626815861,False,73.0,0.0,0.0,False,0.9932914242822293,0.0073829680755127785,-1.7347062569892655,False
79,False,False,6241,81,0,0,478,0.07659029001762538,79,56,1670,0.2675853228649255,79,6187,0.9913475404582599,1,27,25.88113140686072,10.4375,2.6918569334197535,26.213317328999693,True,0.9375,0.9662265521087692,-0.9702693410297263,False,0.6035591251402019,0.2090355696911557,-2.5209529454779322,True,0.013489424771671206,0.00995434935360099,25.526118188863343,True,82.125,1.8666480653835098,-0.6026845771641826,False,2.1875,1.589762167747113,-1.375991984448815,False,0.0566315494311809,0.010215568225311458,1.9537572601191222,True,0.2762277679858997,0.023767372721986237,-0.3636264395761107,False,79.0,0.0,0.0,False,0.9932102227207178,0.01452817392869161,-0.12821172651156745,False
83,False,False,6889,85,2,2,498,0.07228915662650602,83,50,1509,0.2190448541152562,83,6815,0.9892582377703586,1,37,27.11566364173793,8.875,3.1399641717701177,24.243907202637104,True,1.0625,0.899218410621135,1.0425720702853738,False,0.6676041515459428,0.1879992553334147,-3.166581664718043,True,0.011222601248366961,0.0108665458375315,19.124959851464556,True,87.375,1.899835519196333,-1.250108220423561,False,2.4375,1.9990231989649345,-0.21885688981825285,False,0.060068587603425753,0.008720148062297175,1.4014176061892425,False,0.2552983016402961,0.020619821048291437,-1.7581843916169129,True,83.0,0.0,0.0,False,0.9968427928581798,0.004077229098400823,-1.8602229368950627,False
89,False,False,7921,89,0,0,510,0.06438580987249085,89,58,2336,0.29491225855321296,89,7921,1.0,0,0,28.24800721103841,9.5625,2.3175620272173947,34.276321007631225,True,1.25,1.6007810593582121,-0.7808688094430304,False,0.6067652442873375,0.1992421964012057,-2.722211681117386,True,0.01159891427850019,0.00802050012770176,35.323650615774625,True,93.875,2.6427968139832467,-1.8446367023775683,True,1.875,1.165922381636102,-1.6081688022566922,False,0.05359960863527332,0.009078134083935218,1.1881517873044996,False,0.2579851028910491,0.021759569483417875,1.6970535970532241,True,89.0,0.0,0.0,False,0.9934509531624794,0.009115792635657453,0.718428676394329,True
97,False,False,9409,97,0,0,429,0.045594643426506536,97,62,2832,0.3009884153470082,97,9409,1.0,0,0,30.699104175126983,11.9375,3.613667631368441,23.5391044991562,True,1.8125,1.589762167747113,-1.1401076442575897,False,0.5281047401424168,0.16266866522857829,-2.966214150942335,True,0.01026942289297481,0.0064782386899682135,44.87623972611911,True,101.375,2.2603926650031405,-1.9355044226326585,True,1.9375,1.71277370075559,-1.1312060660116814,False,0.04944733765543628,0.008166944181089248,-0.471742446562908,False,0.2705986289722606,0.03129872465922191,0.97095925490988,False,97.0,0.0,0.0,False,0.9938356892337125,0.0059246418247077244,1.040452899714598,True
101,False,False,10201,101,0,0,764,0.07489461817468876,101,68,2623,0.25713165375943536,101,10201,1.0,0,0,31.91853749561305,9.75,3.7165171868296265,24.552556980865404,True,0.875,0.7806247497997998,-1.12089707663561,False,0.6366042544848545,0.1640622894261194,-3.4237583680868666,True,0.012615184785805313,0.010178671600209,24.022434221044065,True,104.75,1.3919410907075054,-2.694079530401624,True,1.3125,1.260890062614501,-1.0409313539028804,False,0.05074870110773454,0.009644944891089087,2.503479007875152,True,0.26558670718557004,0.022277578210901913,-0.3795319826100778,False,101.0,0.0,0.0,False,0.9970836192530144,0.0033508886452054045,0.8703305468412146,True
103,False,False,10609,109,2,2,405,0.03817513431991705,103,72,3157,0.29757752851352626,103,10451,0.9851069846356867,3,79,34.62185642621835,9.625,3.295356581616017,30.15606886198254,True,0.9375,0.6584783595532961,1.6135685927792485,False,0.6709103119992459,0.2359668624087092,-2.6814577742843926,True,0.01099302479027241,0.00872918848580829,32.83060094179158,True,106.375,1.964529205687714,1.3361980022491333,False,1.5625,1.6944302139657448,0.25819888974716115,False,0.04989277971533604,0.008508769908129613,-1.3771256623385115,False,0.26247172212272596,0.0209475895053067,1.6758876424376594,True,103.0,0.0,0.0,False,0.9967833914600811,0.006447476167327343,-1.8110042629649004,False
107,False,False,11449,109,0,0,496,0.043322560922351296,107,69,3450,0.301336361254258,107,11423,0.9977290593064897,1,13,34.43567950402017,10.375,3.179524335494226,31.018790735146144,True,1.1875,0.9499177595981665,-1.250108220423561,False,0.647420080356363,0.21801612793416797,-2.7708845449104786,True,0.012533845750720586,0.008093282973391297,35.68422313331293,True,111.75,2.7271780286589284,-1.0083683467310325,False,2.75,1.75,-1.5714285714285714,True,0.053978513407284476,0.019290789582665932,-0.5523855018618973,False,0.2783267097563106,0.0283974221717248,0.810272543712015,False,107.0,0.0,0.0,False,0.9939514368067079,0.006720336282040208,0.5621180758286272,False
109,False,False,11881,111,2,2,575,0.048396599612827204,109,72,3176,0.2673175658614595,109,11861,0.9983166400134669,1,10,35.03964558790056,10.8125,2.1857135562557137,45.83743359840275,True,1.3125,1.0439558180306292,0.6585527740981746,False,0.5848360828213114,0.16630658740412216,-3.2256057416712274,True,0.010594646915242825,0.0044822793637132605,57.27508218799182,True,112.5,1.6583123951777,-0.9045340337332909,False,1.75,0.9013878188659973,0.2773500981126146,False,0.05197373958421008,0.010435686422201043,-0.34277955724817616,False,0.2759184832926521,0.0246303635786526,-0.3491997754611763,False,109.0,0.0,0.0,False,0.994739500042084,0.005467843722161311,0.6542140107049201,False
113,False,False,12769,113,2,2,415,0.03250058736001253,113,73,3951,0.30942125460098674,113,12769,1.0,0,0,35.55447777720579,10.625,3.018174116912409,33.91951426073774,True,1.1875,0.8816709987291178,0.9215455665108366,False,0.6573292740230245,0.22946666898990623,-2.7229605476623577,True,0.009525021536533793,0.006361161362204646,47.14488691425289,True,117.875,3.3888604279314896,-1.4385366714484693,True,1.875,2.0879116360612584,0.05986843400892496,False,0.04688111833346386,0.010403473460461577,-1.3822816992905849,False,0.27346992716735846,0.033531843817453284,1.0721548039334377,False,113.0,0.0,0.0,False,0.9953892239016368,0.004294461352750497,1.0736564424803023,True
127,False,False,16129,129,0,0,622,0.03856407712815425,127,76,4247,0.26331452662905325,127,16113,0.999007998015996,1,8,40.43933370357025,9.25,2.331844763272204,51.35419041873037,True,1.0,0.8660254037844386,-1.1547005383792517,False,0.613491226982454,0.20505293357363627,-2.8037987061903626,True,0.006138012276024552,0.0063655515535438285,40.40129314636584,True,131.5,2.29128784747792,-1.091089451179962,False,1.5,1.3693063937629153,-1.0954451150103321,False,0.04310558621117242,0.007140132644130133,-0.6360538815412231,False,0.2586257672515345,0.03132530476360045,0.14967960927764046,False,127.0,0.0,0.0,False,0.9963962427924856,0.002465418676540108,1.0593556576669088,False
131,False,False,17161,131,2,2,559,0.032573859332206745,131,79,4156,0.24217702931064622,131,17161,1.0,0,0,40.952349091442414,11.1875,2.4550649176752946,48.802171843769685,True,0.9375,0.9662265521087692,1.0996385865003566,False,0.5313064506730377,0.17089291735129883,-2.918392400754697,True,0.00901389779150399,0.004556135989711655,51.17563041262481,True,135.875,3.461845606031557,-1.4082083821145317,True,2.75,1.4361406616345072,-0.5222329678670935,False,0.03888905075461803,0.006307045274410956,-1.001291594977664,False,0.26728483188625374,0.025712002746529766,-0.976501240417618,False,131.0,0.0,0.0,False,0.9972903676941903,0.004372219566709569,0.619738387898227,True
137,False,False,18769,137,2,2,622,0.03313975171825883,137,80,4775,0.25440886568277477,137,18769,1.0,0,0,42.73831223345536,10.0,3.4641016151377544,36.661742093541235,True,0.9375,0.899218410621135,1.1815816796567569,False,0.6789852949011668,0.16017907972975254,-4.03202181129116,True,0.007072832862699132,0.0033484753456376284,73.86526920148998,True,141.5,3.2015621187164243,-1.4055638569974547,False,2.1875,1.2358574958303243,-0.15171652122725207,False,0.042540225904416855,0.013174576480188155,-0.7135314141061307,False,0.274365309819383,0.02023586862518157,-0.9861916237079336,False,137.0,0.0,0.0,False,0.9974425915072727,0.002845087015786237,0.8988858613242116,False
139,False,False,19321,141,2,2,642,0.033228093783965636,139,88,4808,0.2488484032917551,139,19287,0.9982402567154909,1,17,44.006412470981466,10.0625,2.536452985962878,51.622285421661,True,0.6875,0.46351240544347894,2.8316394223456167,True,0.6211343874540656,0.2143203237156897,-2.7431196606906822,True,0.008565809223125097,0.005560824041630283,43.20988980586151,True,142.375,3.059309562630104,-0.4494478155449903,False,1.875,1.79843682124227,0.06950480468569159,False,0.03904753894725946,0.009140487454293118,-0.6366668290278694,False,0.27244966616634747,0.028963227410369396,-0.8148699224777234,False,139.0,0.0,0.0,False,0.9956071114331556,0.005256214826859466,0.5009584594753991,False
149,False,False,22201,151,2,2,595,0.02680059456781226,149,91,4644,0.2091797666771767,149,22187,0.999369397774875,1,7,46.96112235998434,10.8125,3.282886496667224,42.70251199434336,True,0.875,0.9921567416492215,1.1338934190276817,False,0.6279503175532634,0.16693054174735333,-3.6011967414284287,True,0.007713616503761091,0.007017654563735743,28.708473514000968,True,153.375,2.5708704751503917,-0.9238116128199988,False,2.0,1.118033988749895,0.0,False,0.035803567406873564,0.0071226183034444925,-1.26399765584904,False,0.2760601999909914,0.025441222058838867,-2.628821569936296,True,149.0,0.0,0.0,False,0.9952592225575424,0.005914619263278941,0.6949179709420544,False
151,False,False,22801,151,0,0,940,0.04122626200605237,151,92,6603,0.2895925617297487,151,22801,1.0,0,0,46.88233998962353,9.625,2.341874249399399,60.368313984517854,True,1.1875,0.8816709987291178,-1.346874289515838,False,0.648853120477172,0.17477893866663863,-3.4765450752053453,True,0.0059509451339853515,0.005369140401801974,52.82812431214658,True,156.125,2.7357585785299112,-1.8733378157783107,True,2.5625,2.3443749166888814,-1.093041894348192,False,0.03618536467698785,0.006491137268488403,0.7765815327209052,False,0.2689958773737994,0.017412213521657678,1.1828871918168653,False,151.0,0.0,0.0,False,0.9968477259769308,0.0024647239404547707,1.2789562235872698,True
157,False,False,24649,165,0,0,819,0.0332265000608544,157,109,6691,0.2714511744898373,157,24409,0.9902632966854639,4,120,51.30911646102246,11.0625,2.946793808531571,52.23897904031135,True,0.875,1.0532687216470449,-0.8307471607356973,False,0.6061757069252303,0.21441447563867538,-2.6721573026155756,True,0.008524686599862063,0.003693250635527578,71.19107632737641,True,161.375,2.027159342528357,1.7882166063368015,False,2.4375,1.5799030824705673,-1.5428161556520092,True,0.03707300499006045,0.007925183042044483,-0.4853521879305085,False,0.26864426548744375,0.027787098648892967,0.10101482842309557,False,157.0,0.0,0.0,False,0.9970587042070672,0.002178610031088963,-3.119148183764999,True
163,False,False,26569,165,0,0,1474,0.05547818886672438,163,104,6967,0.26222289133953103,163,26551,0.9993225187248297,1,9,51.072852145056935,10.5,2.7386127875258306,56.41542342303211,True,0.75,0.9013878188659973,-0.8320502943378437,False,0.6649831570627422,0.17265796296751088,-3.530129498346443,True,0.0061114456697655166,0.004300070156774882,59.559829568421044,True,167.375,2.5708704751503917,-0.9238116128199988,False,2.0625,1.6381678027601445,-1.259028529632251,False,0.033474161616921974,0.004860838807813855,4.526796324624193,True,0.2703338477172645,0.02418601533804146,-0.3353572824778614,False,163.0,0.0,0.0,False,0.9972853701682411,0.003044186418724346,0.6691931033061373,False
