component_count,label_family,labels,labels_distinct,topology_open_count,borel_event_count,k0_class_count,abstract_signature,abstract_mechanism_detects_primality,arithmetic_provenance_external,scope
2,prime,2|3,true,4,4,2,tagged=2;opens=4;k0=2,false,true,label-neutral copied control; no source-global credit
2,composite,4|6,true,4,4,2,tagged=2;opens=4;k0=2,false,false,label-neutral copied control; no source-global credit
2,arbitrary,alpha|beta,true,4,4,2,tagged=2;opens=4;k0=2,false,false,label-neutral copied control; no source-global credit
3,prime,2|3|5,true,8,8,3,tagged=3;opens=8;k0=3,false,true,label-neutral copied control; no source-global credit
3,composite,4|6|8,true,8,8,3,tagged=3;opens=8;k0=3,false,false,label-neutral copied control; no source-global credit
3,arbitrary,alpha|beta|cedar,true,8,8,3,tagged=3;opens=8;k0=3,false,false,label-neutral copied control; no source-global credit
5,prime,2|3|5|7|11,true,32,32,5,tagged=5;opens=32;k0=5,false,true,label-neutral copied control; no source-global credit
5,composite,4|6|8|9|10,true,32,32,5,tagged=5;opens=32;k0=5,false,false,label-neutral copied control; no source-global credit
5,arbitrary,alpha|beta|cedar|delta|ember,true,32,32,5,tagged=5;opens=32;k0=5,false,false,label-neutral copied control; no source-global credit
8,prime,2|3|5|7|11|13|17|19,true,256,256,8,tagged=8;opens=256;k0=8,false,true,label-neutral copied control; no source-global credit
8,composite,4|6|8|9|10|12|14|15,true,256,256,8,tagged=8;opens=256;k0=8,false,false,label-neutral copied control; no source-global credit
8,arbitrary,alpha|beta|cedar|delta|ember|fjord|gamma|helix,true,256,256,8,tagged=8;opens=256;k0=8,false,false,label-neutral copied control; no source-global credit
