source_group,source_topology,group_operations_continuous,target_kind,target_order,target_hausdorff,hom_exponent,map_values,image_size,algebraic_homomorphism,nontrivial,continuous_actual_topology,control_type,scope
C1,indiscrete,true,finite_cyclic_discrete,2,true,0,0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C1,indiscrete,true,finite_circle_mesh_discrete_proxy,2,true,0,0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C1,indiscrete,true,finite_cyclic_discrete,3,true,0,0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C1,indiscrete,true,finite_circle_mesh_discrete_proxy,3,true,0,0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C1,indiscrete,true,finite_cyclic_discrete,4,true,0,0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C1,indiscrete,true,finite_circle_mesh_discrete_proxy,4,true,0,0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C1,indiscrete,true,finite_cyclic_discrete,5,true,0,0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C1,indiscrete,true,finite_circle_mesh_discrete_proxy,5,true,0,0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C1,indiscrete,true,finite_cyclic_discrete,6,true,0,0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C1,indiscrete,true,finite_circle_mesh_discrete_proxy,6,true,0,0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C2,indiscrete,true,finite_cyclic_discrete,2,true,0,0|0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C2,indiscrete,true,finite_circle_mesh_discrete_proxy,2,true,0,0|0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C2,indiscrete,true,finite_cyclic_discrete,2,true,1,0|1,2,true,true,false,algebraic_character_noncontinuous_negative,finite cyclic/mesh control; not a classification of the full circle
C2,indiscrete,true,finite_circle_mesh_discrete_proxy,2,true,1,0|1,2,true,true,false,algebraic_character_noncontinuous_negative,finite cyclic/mesh control; not a classification of the full circle
C2,indiscrete,true,finite_cyclic_discrete,3,true,0,0|0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C2,indiscrete,true,finite_circle_mesh_discrete_proxy,3,true,0,0|0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C2,indiscrete,true,finite_cyclic_discrete,4,true,0,0|0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C2,indiscrete,true,finite_circle_mesh_discrete_proxy,4,true,0,0|0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C2,indiscrete,true,finite_cyclic_discrete,4,true,2,0|2,2,true,true,false,algebraic_character_noncontinuous_negative,finite cyclic/mesh control; not a classification of the full circle
C2,indiscrete,true,finite_circle_mesh_discrete_proxy,4,true,2,0|2,2,true,true,false,algebraic_character_noncontinuous_negative,finite cyclic/mesh control; not a classification of the full circle
C2,indiscrete,true,finite_cyclic_discrete,5,true,0,0|0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C2,indiscrete,true,finite_circle_mesh_discrete_proxy,5,true,0,0|0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C2,indiscrete,true,finite_cyclic_discrete,6,true,0,0|0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C2,indiscrete,true,finite_circle_mesh_discrete_proxy,6,true,0,0|0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C2,indiscrete,true,finite_cyclic_discrete,6,true,3,0|3,2,true,true,false,algebraic_character_noncontinuous_negative,finite cyclic/mesh control; not a classification of the full circle
C2,indiscrete,true,finite_circle_mesh_discrete_proxy,6,true,3,0|3,2,true,true,false,algebraic_character_noncontinuous_negative,finite cyclic/mesh control; not a classification of the full circle
C3,indiscrete,true,finite_cyclic_discrete,2,true,0,0|0|0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C3,indiscrete,true,finite_circle_mesh_discrete_proxy,2,true,0,0|0|0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C3,indiscrete,true,finite_cyclic_discrete,3,true,0,0|0|0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C3,indiscrete,true,finite_circle_mesh_discrete_proxy,3,true,0,0|0|0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C3,indiscrete,true,finite_cyclic_discrete,3,true,1,0|1|2,3,true,true,false,algebraic_character_noncontinuous_negative,finite cyclic/mesh control; not a classification of the full circle
C3,indiscrete,true,finite_circle_mesh_discrete_proxy,3,true,1,0|1|2,3,true,true,false,algebraic_character_noncontinuous_negative,finite cyclic/mesh control; not a classification of the full circle
C3,indiscrete,true,finite_cyclic_discrete,3,true,2,0|2|1,3,true,true,false,algebraic_character_noncontinuous_negative,finite cyclic/mesh control; not a classification of the full circle
C3,indiscrete,true,finite_circle_mesh_discrete_proxy,3,true,2,0|2|1,3,true,true,false,algebraic_character_noncontinuous_negative,finite cyclic/mesh control; not a classification of the full circle
C3,indiscrete,true,finite_cyclic_discrete,4,true,0,0|0|0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
C3,indiscrete,true,finite_circle_mesh_discrete_proxy,4,true,0,0|0|0,1,true,false,true,trivial_continuous_character,finite cyclic/mesh control; not a classification of the full circle
