source_size,source_sigma,source_sigma_cardinality,target_size,target_sigma,target_countably_separated,map_values,image_size,constant,measurable,collapse_match,scope
1,"{empty,X}",2,2,power_set,true,0,1,true,true,true,finite exhaustive measurable control; not an actual-packet proof
1,"{empty,X}",2,2,power_set,true,1,1,true,true,true,finite exhaustive measurable control; not an actual-packet proof
1,"{empty,X}",2,3,power_set,true,0,1,true,true,true,finite exhaustive measurable control; not an actual-packet proof
1,"{empty,X}",2,3,power_set,true,1,1,true,true,true,finite exhaustive measurable control; not an actual-packet proof
1,"{empty,X}",2,3,power_set,true,2,1,true,true,true,finite exhaustive measurable control; not an actual-packet proof
2,"{empty,X}",2,2,power_set,true,00,1,true,true,true,finite exhaustive measurable control; not an actual-packet proof
2,"{empty,X}",2,2,power_set,true,01,2,false,false,true,finite exhaustive measurable control; not an actual-packet proof
2,"{empty,X}",2,2,power_set,true,10,2,false,false,true,finite exhaustive measurable control; not an actual-packet proof
2,"{empty,X}",2,2,power_set,true,11,1,true,true,true,finite exhaustive measurable control; not an actual-packet proof
2,"{empty,X}",2,3,power_set,true,00,1,true,true,true,finite exhaustive measurable control; not an actual-packet proof
2,"{empty,X}",2,3,power_set,true,01,2,false,false,true,finite exhaustive measurable control; not an actual-packet proof
2,"{empty,X}",2,3,power_set,true,02,2,false,false,true,finite exhaustive measurable control; not an actual-packet proof
2,"{empty,X}",2,3,power_set,true,10,2,false,false,true,finite exhaustive measurable control; not an actual-packet proof
2,"{empty,X}",2,3,power_set,true,11,1,true,true,true,finite exhaustive measurable control; not an actual-packet proof
2,"{empty,X}",2,3,power_set,true,12,2,false,false,true,finite exhaustive measurable control; not an actual-packet proof
2,"{empty,X}",2,3,power_set,true,20,2,false,false,true,finite exhaustive measurable control; not an actual-packet proof
2,"{empty,X}",2,3,power_set,true,21,2,false,false,true,finite exhaustive measurable control; not an actual-packet proof
2,"{empty,X}",2,3,power_set,true,22,1,true,true,true,finite exhaustive measurable control; not an actual-packet proof
3,"{empty,X}",2,2,power_set,true,000,1,true,true,true,finite exhaustive measurable control; not an actual-packet proof
3,"{empty,X}",2,2,power_set,true,001,2,false,false,true,finite exhaustive measurable control; not an actual-packet proof
3,"{empty,X}",2,2,power_set,true,010,2,false,false,true,finite exhaustive measurable control; not an actual-packet proof
3,"{empty,X}",2,2,power_set,true,011,2,false,false,true,finite exhaustive measurable control; not an actual-packet proof
3,"{empty,X}",2,2,power_set,true,100,2,false,false,true,finite exhaustive measurable control; not an actual-packet proof
