component_count,profile,weights_exact,zero_component_count,total_mass_exact,even_component_union,even_component_mass_exact,nonnegative,finite_total,finite_ell1_gate,topology_fingerprint,topology_selects_weights,scope
2,all_zero,0/1|0/1,2,0/1,0,0/1,true,true,true,components=2;opens=4,false,finite exact mass ledger; infinite classification needs ell1 summability
2,unit_first,1/1|0/1,1,1/1,0,1/1,true,true,true,components=2;opens=4,false,finite exact mass ledger; infinite classification needs ell1 summability
2,unit_last_same_total,0/1|1/1,1,1/1,0,0/1,true,true,true,components=2;opens=4,false,finite exact mass ledger; infinite classification needs ell1 summability
2,increasing_with_zero,0/1|1/2,1,1/2,0,0/1,true,true,true,components=2;opens=4,false,finite exact mass ledger; infinite classification needs ell1 summability
2,alternating_with_zeros,1/3|0/1,1,1/3,0,1/3,true,true,true,components=2;opens=4,false,finite exact mass ledger; infinite classification needs ell1 summability
3,all_zero,0/1|0/1|0/1,3,0/1,0|2,0/1,true,true,true,components=3;opens=8,false,finite exact mass ledger; infinite classification needs ell1 summability
3,unit_first,1/1|0/1|0/1,2,1/1,0|2,1/1,true,true,true,components=3;opens=8,false,finite exact mass ledger; infinite classification needs ell1 summability
3,unit_last_same_total,0/1|0/1|1/1,2,1/1,0|2,1/1,true,true,true,components=3;opens=8,false,finite exact mass ledger; infinite classification needs ell1 summability
3,increasing_with_zero,0/1|1/2|1/1,1,3/2,0|2,1/1,true,true,true,components=3;opens=8,false,finite exact mass ledger; infinite classification needs ell1 summability
3,alternating_with_zeros,1/3|0/1|1/3,1,2/3,0|2,2/3,true,true,true,components=3;opens=8,false,finite exact mass ledger; infinite classification needs ell1 summability
5,all_zero,0/1|0/1|0/1|0/1|0/1,5,0/1,0|2|4,0/1,true,true,true,components=5;opens=32,false,finite exact mass ledger; infinite classification needs ell1 summability
5,unit_first,1/1|0/1|0/1|0/1|0/1,4,1/1,0|2|4,1/1,true,true,true,components=5;opens=32,false,finite exact mass ledger; infinite classification needs ell1 summability
5,unit_last_same_total,0/1|0/1|0/1|0/1|1/1,4,1/1,0|2|4,1/1,true,true,true,components=5;opens=32,false,finite exact mass ledger; infinite classification needs ell1 summability
5,increasing_with_zero,0/1|1/2|1/1|3/2|2/1,1,5/1,0|2|4,3/1,true,true,true,components=5;opens=32,false,finite exact mass ledger; infinite classification needs ell1 summability
5,alternating_with_zeros,1/3|0/1|1/3|0/1|1/3,2,1/1,0|2|4,1/1,true,true,true,components=5;opens=32,false,finite exact mass ledger; infinite classification needs ell1 summability
8,all_zero,0/1|0/1|0/1|0/1|0/1|0/1|0/1|0/1,8,0/1,0|2|4|6,0/1,true,true,true,components=8;opens=256,false,finite exact mass ledger; infinite classification needs ell1 summability
8,unit_first,1/1|0/1|0/1|0/1|0/1|0/1|0/1|0/1,7,1/1,0|2|4|6,1/1,true,true,true,components=8;opens=256,false,finite exact mass ledger; infinite classification needs ell1 summability
8,unit_last_same_total,0/1|0/1|0/1|0/1|0/1|0/1|0/1|1/1,7,1/1,0|2|4|6,0/1,true,true,true,components=8;opens=256,false,finite exact mass ledger; infinite classification needs ell1 summability
8,increasing_with_zero,0/1|1/2|1/1|3/2|2/1|5/2|3/1|7/2,1,14/1,0|2|4|6,6/1,true,true,true,components=8;opens=256,false,finite exact mass ledger; infinite classification needs ell1 summability
8,alternating_with_zeros,1/3|0/1|1/3|0/1|1/3|0/1|1/3|0/1,4,4/3,0|2|4|6,4/3,true,true,true,components=8;opens=256,false,finite exact mass ledger; infinite classification needs ell1 summability
