exponent_k,integer_bound_2_power_k,selected_prime_label,prime_exceeds_bound,external_scalar,exact_lower_bound,finite_growth_witness,symbolic_unbounded_template,topology_selects_log_label,mass_ledger_selects_log_label,actual_source_observable_credit,scope
1,2,3,true,log(3),log(3)>1*log(2),true,for increasing k choose prime p>2^k,false,false,false,finite witnesses plus symbolic template; not an unboundedness proof
2,4,5,true,log(5),log(5)>2*log(2),true,for increasing k choose prime p>2^k,false,false,false,finite witnesses plus symbolic template; not an unboundedness proof
4,16,17,true,log(17),log(17)>4*log(2),true,for increasing k choose prime p>2^k,false,false,false,finite witnesses plus symbolic template; not an unboundedness proof
8,256,257,true,log(257),log(257)>8*log(2),true,for increasing k choose prime p>2^k,false,false,false,finite witnesses plus symbolic template; not an unboundedness proof
12,4096,4099,true,log(4099),log(4099)>12*log(2),true,for increasing k choose prime p>2^k,false,false,false,finite witnesses plus symbolic template; not an unboundedness proof
16,65536,65537,true,log(65537),log(65537)>16*log(2),true,for increasing k choose prime p>2^k,false,false,false,finite witnesses plus symbolic template; not an unboundedness proof
