period,exact_points,cyclic_orbits,axial_exact_points,parabolic_exact_points,diagonal_orbits,nondiagonal_orbits,chiral_cyclic_orbits,chiral_doublets,dihedral_orbits
1,2,2,2,2,2,0,0,0,2
2,2,1,0,2,0,1,0,0,1
3,6,2,2,2,2,0,0,0,2
4,12,3,2,4,1,2,0,0,3
5,30,6,6,6,6,0,0,0,6
6,54,9,4,10,2,5,2,1,8
7,126,18,14,14,14,0,4,2,16
8,240,30,12,24,6,12,12,6,24
9,504,56,28,28,28,0,28,14,42
10,990,99,24,54,12,27,60,30,69
11,2046,186,62,62,62,0,124,62,124
12,4020,335,54,108,27,54,254,127,208
13,8190,630,126,126,126,0,504,252,378
14,16254,1161,112,238,56,119,986,493,668
15,32730,2182,246,246,246,0,1936,968,1214
16,65280,4080,240,480,120,240,3720,1860,2220
17,131070,7710,510,510,510,0,7200,3600,4110
18,261576,14532,476,980,238,490,13804,6902,7630
19,524286,27594,1022,1022,1022,0,26572,13286,14308
20,1047540,52377,990,1980,495,990,50892,25446,26931
21,2097018,99858,2030,2030,2030,0,97828,48914,50944
22,4192254,190557,1984,4030,992,2015,187550,93775,96782
23,8388606,364722,4094,4094,4094,0,360628,180314,184408
24,16772880,698870,4020,8040,2010,4020,692840,346420,352450
25,33554400,1342176,8184,8184,8184,0,1333992,666996,675180
26,67100670,2580795,8064,16254,4032,8127,2568636,1284318,1296477
27,134217216,4971008,16352,16352,16352,0,4954656,2477328,2493680
28,268419060,9586395,16254,32508,8127,16254,9562014,4781007,4805388
29,536870910,18512790,32766,32766,32766,0,18480024,9240012,9272778
30,1073708010,35790267,32484,65214,16242,32607,35741418,17870709,17919558
31,2147483646,69273666,65534,65534,65534,0,69208132,34604066,34669600
32,4294901760,134215680,65280,130560,32640,65280,134117760,67058880,67156800
33,8589932538,260300986,131006,131006,131006,0,260169980,130084990,130215996
34,17179738110,505286415,130560,261630,65280,130815,505090320,252545160,252741255
35,34359738210,981706806,262122,262122,262122,0,981444684,490722342,490984464
