unit_size,period,profile,time_values,nonzero_time_projection,ambient_support,support_time_projection,support_equals_x_times_projection,projection_matches_group_support,finite_quasi_compact,scope
2,3,empty,"0,0,0",{},{},{},true,true,true,finite ambient-closure and support-projection witness
2,3,time_zero,"1,0,0",{0},"{0@0,1@0}",{0},true,true,true,finite ambient-closure and support-projection witness
2,3,two_times,"1,0,1","{0,2}","{0@0,1@0,0@2,1@2}","{0,2}",true,true,true,finite ambient-closure and support-projection witness
2,3,alternating_full,"1,-1,1","{0,1,2}","{0@0,1@0,0@1,1@1,0@2,1@2}","{0,1,2}",true,true,true,finite ambient-closure and support-projection witness
2,3,middle_signed,"0,0,1",{2},"{0@2,1@2}",{2},true,true,true,finite ambient-closure and support-projection witness
3,4,empty,"0,0,0,0",{},{},{},true,true,true,finite ambient-closure and support-projection witness
3,4,time_zero,"1,0,0,0",{0},"{0@0,1@0,2@0}",{0},true,true,true,finite ambient-closure and support-projection witness
3,4,two_times,"1,0,0,1","{0,3}","{0@0,1@0,2@0,0@3,1@3,2@3}","{0,3}",true,true,true,finite ambient-closure and support-projection witness
3,4,alternating_full,"1,-1,1,-1","{0,1,2,3}","{0@0,1@0,2@0,0@1,1@1,2@1,0@2,1@2,2@2,0@3,1@3,2@3}","{0,1,2,3}",true,true,true,finite ambient-closure and support-projection witness
3,4,middle_signed,"0,0,1,0",{2},"{0@2,1@2,2@2}",{2},true,true,true,finite ambient-closure and support-projection witness
4,4,empty,"0,0,0,0",{},{},{},true,true,true,finite ambient-closure and support-projection witness
4,4,time_zero,"1,0,0,0",{0},"{0@0,1@0,2@0,3@0}",{0},true,true,true,finite ambient-closure and support-projection witness
4,4,two_times,"1,0,0,1","{0,3}","{0@0,1@0,2@0,3@0,0@3,1@3,2@3,3@3}","{0,3}",true,true,true,finite ambient-closure and support-projection witness
4,4,alternating_full,"1,-1,1,-1","{0,1,2,3}","{0@0,1@0,2@0,3@0,0@1,1@1,2@1,3@1,0@2,1@2,2@2,3@2,0@3,1@3,2@3,3@3}","{0,1,2,3}",true,true,true,finite ambient-closure and support-projection witness
4,4,middle_signed,"0,0,1,0",{2},"{0@2,1@2,2@2,3@2}",{2},true,true,true,finite ambient-closure and support-projection witness
