unit_size,period,actual_arrow_topology,proxy_arrow_topology,actual_to_proxy_identity_continuous,proxy_to_actual_identity_continuous,actual_global_dimension,proxy_function_dimension,dimension_gap,witness_proxy_delta,witness_proxy_continuous,witness_actual_continuous,strict_extra_proxy_function,scope
2,3,indiscrete_unit_x_discrete_time,fully_discrete,false,true,3,6,3,"1,0,0,0,0,0",true,false,true,finite discrete proxy is a separate finer modeling choice
2,4,indiscrete_unit_x_discrete_time,fully_discrete,false,true,4,8,4,"1,0,0,0,0,0,0,0",true,false,true,finite discrete proxy is a separate finer modeling choice
3,3,indiscrete_unit_x_discrete_time,fully_discrete,false,true,3,9,6,"1,0,0,0,0,0,0,0,0",true,false,true,finite discrete proxy is a separate finer modeling choice
3,4,indiscrete_unit_x_discrete_time,fully_discrete,false,true,4,12,8,"1,0,0,0,0,0,0,0,0,0,0,0",true,false,true,finite discrete proxy is a separate finer modeling choice
4,3,indiscrete_unit_x_discrete_time,fully_discrete,false,true,3,12,9,"1,0,0,0,0,0,0,0,0,0,0,0",true,false,true,finite discrete proxy is a separate finer modeling choice
4,4,indiscrete_unit_x_discrete_time,fully_discrete,false,true,4,16,12,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",true,false,true,finite discrete proxy is a separate finer modeling choice
